,PARID,"2021 BOR Final 
Assessed Value","2022 CCAO Initial 
Assessed Value",$ Difference,% Difference2,Class,Township,ADDRESS,geo_address,geocoded,lat,lon
30,17151030050000,"10,199,247","17,219,630","-7,020,383",-0.69,5-91,South Chicago,104 S MICHIGAN AVE,"104 S MICHIGAN AVE Cook County, IL","(41.8806338, -87.62492379999999)",41.8806338,-87.62492379999999
31,17094560020000,"9,049,430","16,002,381","-6,952,951",-0.77,5-91,South Chicago,1 N FRANKLIN ST,"1 N FRANKLIN ST Cook County, IL","(41.8822063, -87.63500409999999)",41.8822063,-87.63500409999999
32,17153050520000,"1,467,141","8,182,079","-6,714,938",-4.58,5-29,South Chicago,800 S MICHIGAN AVE,"800 S MICHIGAN AVE Cook County, IL","(41.8717202, -87.62458099999999)",41.8717202,-87.62458099999999
33,17094460160000,"15,857,108","22,564,745","-6,707,637",-0.42,5-91,South Chicago,120 N LA SALLE ST,"120 N LA SALLE ST Cook County, IL","(41.8834728, -87.6291268)",41.8834728,-87.6291268
34,17093340046002,"17,515,028","24,147,004","-6,631,976",-0.38,5-91,West Chicago,420 W WASHINGTON ST,"420 W WASHINGTON ST Cook County, IL","(41.8839948, -87.6385316)",41.8839948,-87.6385316
35,17104000360000,"9,624,800","16,154,905","-6,530,105",-0.68,3-91,South Chicago,400 E SOUTH WATER ST,"400 E SOUTH WATER ST Cook County, IL","(41.8866104, -87.6166818)",41.8866104,-87.6166818
36,17093410140000,"27,470,548","33,991,832","-6,521,284",-0.24,5-91,West Chicago,30 N CLINTON ST,"30 N CLINTON ST Cook County, IL","(41.8827659, -87.64138109999999)",41.8827659,-87.64138109999999
37,17162000220000,"74,265,850","80,705,908","-6,440,058",-0.09,5-91,South Chicago,30 S WACKER DR,"30 S WACKER DR Cook County, IL","(41.8809837, -87.6372562)",41.8809837,-87.6372562
38,17342180520000,"3,763,332","10,200,948","-6,437,616",-1.71,3-91,South Chicago,533 E 33RD PL,"533 E 33RD PL Cook County, IL","(41.8330668, -87.6129685)",41.8330668,-87.6129685
39,17162430330000,"10,319,683","16,619,679","-6,299,996",-0.61,5-91,South Chicago,427 S LA SALLE ST,"427 S LA SALLE ST Cook County, IL","(41.8761247, -87.6316307)",41.8761247,-87.6316307
