,PARID,"2021 BOR Final 
Assessed Value","2022 CCAO Initial 
Assessed Value",$ Difference,% Difference2,Class,Township,ADDRESS
59,17103040170000,37971478,42502531,-4531053,-0.11932780177795554,5-91,South Chicago,225 N MICHIGAN AVE
60,17102190250000,9410538,13907924,-4497386,-0.4779095520362384,3-97,North Chicago,455 E ILLINOIS ST
61,17102180140000,14572014,19041613,-4469599,-0.3067248631520667,5-22,North Chicago,514 N PESHTIGO CT
62,17092620230000,16429772,20861814,-4432042,-0.2697567562106158,5-91,North Chicago,28 W KINZIE ST
63,17102120360000,8897829,13310454,-4412625,-0.49592153321894594,3-91,North Chicago,200 E ILLINOIS ST
64,17091150120000,7104734,11338892,-4234158,-0.5959629171197682,3-91,North Chicago,425 W CHICAGO AVE
65,17094000370000,11963012,16190765,-4227753,-0.3534020529278079,3-91,North Chicago,343 W WOLF POINT  PLAZA 
66,17094170050000,13630176,17834705,-4204529,-0.3084720989662937,5-91,South Chicago,222 N LA SALLE ST
67,17103180610000,11605952,15764285,-4158333,-0.3582931413123198,3-91,South Chicago,345 E WACKER DR
68,17044130150000,4118492,8239579,-4121087,-1.0006300849922738,3-91,North Chicago,1130 N DEARBORN ST
69,17092430220000,7437357,11532737,-4095380,-0.5506499150168533,3-97,North Chicago,320 W ILLINOIS ST
70,17094210120000,18970221,23048171,-4077950,-0.2149658667656007,5-91,South Chicago,77 W WACKER DR
71,17094180180000,4759052,8831268,-4072216,-0.8556779795639973,3-97,South Chicago,201 N WELLS ST
72,17093050450000,8675865,12678767,-4002902,-0.46138361996181354,3-91,West Chicago,300 N CANAL ST
73,17162270250000,9295160,13294747,-3999587,-0.4302870526166307,5-91,South Chicago,311 S WACKER DR
74,17094130020000,8311648,12281436,-3969788,-0.4776174351945608,5-91,South Chicago,225 W WACKER DR
75,17094150010000,8000148,11969936,-3969788,-0.49621432003507926,5-91,South Chicago,223 W LAKE ST
76,17032160230000,7202115,11163738,-3961623,-0.5500638354150136,3-97,North Chicago,1 E DELAWARE PL
77,17151000730000,12529217,16471275,-3942058,-0.31462923820379207,5-97,South Chicago,60 S STATE ST
78,17103180710000,16111801,20003014,-3891213,-0.2415132237544393,5-97,South Chicago,225 N COLUMBUS DR
79,17103030420000,9472908,13322329,-3849421,-0.406361066738957,3-91,South Chicago,201 N GARLAND CT
80,17102100260000,16115001,19865990,-3750989,-0.23276380808167496,5-97,North Chicago,541 N FAIRBANKS CT
81,17102080110000,5284827,8906452,-3621625,-0.6852873329628386,3-97,North Chicago,420 E OHIO ST
82,17162010120000,45768161,49366853,-3598692,-0.07862872183131842,5-91,South Chicago,300 W MONROE ST
83,17164110150000,9282517,12862968,-3580451,-0.38571984301240714,3-91,South Chicago,900 S CLARK ST
84,17092130280000,12559560,16106606,-3547046,-0.2824180146438251,3-97,North Chicago,1 W SUPERIOR ST
85,17162010070000,16378190,19910784,-3532594,-0.2156889131216575,5-91,South Chicago,303 W MADISON ST
86,17161080310000,17973113,21452477,-3479364,-0.1935871654509711,5-91,West Chicago,525 W MONROE ST
87,17044130100000,2846227,6292000,-3445773,-1.2106458831287878,3-91,North Chicago,1100 N DEARBORN ST
88,17151000690000,10391560,13813262,-3421702,-0.32927702866557085,5-97,South Chicago,60 S STATE ST
89,17202190460000,1189883,4548960,-3359077,-2.823031340056123,3-91,West Chicago,1401 S BLUE ISLAND AVE
90,17164160130000,12457195,15806343,-3349148,-0.26885249849584913,3-91,South Chicago,1000 S CLARK ST
91,17171170230000,1966680,5252558,-3285878,-1.6707740964468036,5-91,West Chicago,300 S RACINE AVE
92,17031040190000,5052598,8275302,-3222704,-0.6378310722523344,3-91,North Chicago,1340 N ASTOR ST
93,17032040030000,2688004,5891101,-3203097,-1.1916265749604538,5-97,North Chicago,21 E BELLEVUE PL
94,17094120130000,8707017,11786413,-3079396,-0.35366831143203226,5-91,South Chicago,333 W WACKER DR
95,17094290190000,29623993,32689833,-3065840,-0.10349178788963398,5-91,South Chicago,155 N WACKER DR
96,17092240150000,10563017,13574086,-3011069,-0.2850576686565969,3-97,North Chicago,637 N WELLS ST
97,17032210050000,3790457,6774096,-2983639,-0.7871449273794691,3-97,North Chicago,200 E CHESTNUT ST
98,17093000090000,10200011,13177728,-2977717,-0.2919327243862777,3-91,West Chicago,365 N HALSTED ST
