,SOLD DATE,ADDRESS,CITY,PRICE,BEDS,BATHS,LOCATION,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL,LATITUDE,LONGITUDE,Unnamed: 0,URL,PRICE_AS_CURRENCY,YEAR BUILT DISPLAY,PRICE_SQUARE_FEET_AS_CURRENCY,COLOR,RANK,FULL_ADDRESS
1336,March-22-2023,514 E Scranton Ave,Lake Bluff,1419500.0,4.0,4.5,Lake Bluff,1900.0,,435.0,https://www.redfin.com/IL/Lake-Bluff/514-E-Scranton-Ave-60044/home/23461155,42.2798978,-87.8347497,,,"$1,419,500",1900,$435,blue,21,514 E Scranton Ave Lake Bluff
2957,March-21-2023,16330 S Alberta Ct,Homer Glen,1410000.0,6.0,5.5,Evergreen,2001.0,,135.0,https://www.redfin.com/IL/Homer-Glen/16330-S-Alberta-Ct-60491/home/23307341,41.5916507,-87.9619368,,,"$1,410,000",2001,$135,blue,22,16330 S Alberta Ct Homer Glen
1392,March-2-2023,1365 Sheridan Rd,Highland Park,1405500.0,5.0,4.0,Highland Park,1971.0,,293.0,https://www.redfin.com/IL/Highland-Park/1365-Sheridan-Rd-60035/home/17624574,42.1776465,-87.7833083,,,"$1,405,500",1971,$293,blue,23,1365 Sheridan Rd Highland Park
1351,March-23-2023,1755 Wildrose Ct,Highland Park,1400000.0,6.0,5.5,Hybernia,1993.0,,298.0,https://www.redfin.com/IL/Highland-Park/1755-Wildrose-Ct-60035/home/17626803,42.195822,-87.8389932,,,"$1,400,000",1993,$298,blue,24,1755 Wildrose Ct Highland Park
446,March-10-2023,241 Grant Ave,Clarendon Hills,1400000.0,5.0,5.5,Clarendon Hills,2001.0,,230.0,https://www.redfin.com/IL/Clarendon-Hills/241-Grant-Ave-60514/home/18021729,41.7904483,-87.9532189,,,"$1,400,000",2001,$230,blue,25,241 Grant Ave Clarendon Hills
2251,March-8-2023,7707 Oak Ridge Ct,Crystal Lake,1375000.0,5.0,5.0,Crystal Lake / Lakewood / Prairie Grove,1996.0,,234.0,https://www.redfin.com/IL/Crystal-Lake/7707-Oak-Ridge-Ct-60012/home/17829252,42.2727232,-88.3479532,,,"$1,375,000",1996,$234,blue,26,7707 Oak Ridge Ct Crystal Lake
679,March-23-2023,672 S Euclid Ave,Elmhurst,1350000.0,5.0,4.5,Elmhurst,2023.0,,398.0,https://www.redfin.com/IL/Elmhurst/672-S-Euclid-Ave-60126/home/14200569,41.8791993,-87.9402012,,,"$1,350,000",2023,$398,blue,27,672 S Euclid Ave Elmhurst
75,March-16-2023,1005 Heatherton Dr,Naperville,1350000.0,5.0,5.0,Cress Creek,1970.0,,320.0,https://www.redfin.com/IL/Naperville/1005-Heatherton-Dr-60563/home/18078683,41.7865196,-88.176128,,,"$1,350,000",1970,$320,blue,28,1005 Heatherton Dr Naperville
55,March-16-2023,312 Hudson Ave,Clarendon Hills,1330000.0,4.0,2.5,Clarendon Hills,1988.0,,,https://www.redfin.com/IL/Clarendon-Hills/312-Hudson-Ave-60514/home/18022665,41.791446,-87.9564128,,,"$1,330,000",1988,$nan,blue,29,312 Hudson Ave Clarendon Hills
639,March-16-2023,12 Sylvan Glen Ct,Burr Ridge,1325000.0,6.0,5.5,Falling Water,1995.0,,166.0,https://www.redfin.com/IL/Burr-Ridge/12-Sylvan-Glen-Ct-60527/home/17994468,41.7206091,-87.9367355,,,"$1,325,000",1995,$166,blue,30,12 Sylvan Glen Ct Burr Ridge
69,March-30-2023,191 S Sunnyside Ave,Elmhurst,1315000.0,5.0,4.5,Elmhurst,2014.0,,380.0,https://www.redfin.com/IL/Elmhurst/191-S-Sunnyside-Ave-60126/home/18113335,41.8953951,-87.9565557,,,"$1,315,000",2014,$380,blue,31,191 S Sunnyside Ave Elmhurst
845,March-16-2023,635 N Main St,Naperville,1304744.0,4.0,3.5,Naperville,2021.0,,367.0,https://www.redfin.com/IL/Naperville/635-N-Main-St-60563/home/18077365,41.7828458,-88.1490577,,,"$1,304,744",2021,$367,blue,32,635 N Main St Naperville
1328,March-6-2023,408 Woodland Chase Ln,Vernon Hills,1302101.0,4.0,5.0,Woodland Chase,2022.0,,351.0,https://www.redfin.com/IL/Vernon-Hills/408-Woodland-Chase-Ln-60061/home/167572730,42.2115113,-87.9593574,,,"$1,302,101",2022,$351,blue,33,408 Woodland Chase Ln Vernon Hills
590,March-16-2023,38 Forest Gate Cir,Oak Brook,1295000.0,3.0,3.0,Forest Gate,2002.0,,409.0,https://www.redfin.com/IL/Oak-Brook/38-Forest-Gate-Cir-60523/home/17991107,41.8337744,-87.9521279,,,"$1,295,000",2002,$409,blue,34,38 Forest Gate Cir Oak Brook
77,March-17-2023,525 N Grant St,Hinsdale,1275000.0,6.0,6.0,Hinsdale,2007.0,,385.0,https://www.redfin.com/IL/Hinsdale/525-N-Grant-St-60521/home/14152862,41.8111213,-87.9323121,,,"$1,275,000",2007,$385,blue,35,525 N Grant St Hinsdale
791,March-20-2023,480 S Cottage Hill Ave,Elmhurst,1255000.0,5.0,5.5,Elmhurst,2004.0,,339.0,https://www.redfin.com/IL/Elmhurst/480-S-Cottage-Hill-Ave-60126/home/18102030,41.8861998,-87.9430085,,,"$1,255,000",2004,$339,blue,36,480 S Cottage Hill Ave Elmhurst
1926,March-30-2023,59 Sheridan Rd,Highland Park,1250000.0,4.0,4.5,Highland Park,1958.0,,362.0,https://www.redfin.com/IL/Highland-Park/59-Sheridan-Rd-60035/home/17615722,42.153348,-87.7682232,,,"$1,250,000",1958,$362,blue,37,59 Sheridan Rd Highland Park
1544,March-15-2023,235 Clair View Ct,Lake Zurich,1250000.0,5.0,4.5,Hawthorn Woods / Lake Zurich / Kildeer / Long Grove,2008.0,,205.0,https://www.redfin.com/IL/Lake-Zurich/235-Clair-View-Ct-60047/home/17601332,42.2032376,-88.089351,,,"$1,250,000",2008,$205,blue,38,235 Clair View Ct Lake Zurich
1912,March-13-2023,1056 Sir William Ln,Lake Forest,1243750.0,5.0,5.0,Arbor Ridge,1989.0,,309.0,https://www.redfin.com/IL/Lake-Forest/1056-Sir-William-Ln-60045/home/17631852,42.2209253,-87.8761102,,,"$1,243,750",1989,$309,blue,39,1056 Sir William Ln Lake Forest
1830,March-1-2023,1000 Hawthorne Pl,Lake Forest,1240000.0,4.0,4.5,Lake Forest,1973.0,,307.0,https://www.redfin.com/IL/Lake-Forest/1000-Hawthorne-Pl-60045/home/17666244,42.2574924,-87.8296084,,,"$1,240,000",1973,$307,blue,40,1000 Hawthorne Pl Lake Forest
134,March-7-2023,804 S Wright St,Naperville,1225000.0,5.0,4.5,East Highlands,2006.0,,298.0,https://www.redfin.com/IL/Naperville/804-S-Wright-St-60540/home/17976288,41.7626563,-88.1379649,,,"$1,225,000",2006,$298,blue,41,804 S Wright St Naperville
210,March-20-2023,437 S Madison St,Hinsdale,1210000.0,5.0,6.5,Hinsdale,1996.0,,324.0,https://www.redfin.com/IL/Hinsdale/437-S-Madison-St-60521/home/14176804,41.7970581,-87.9363702,,,"$1,210,000",1996,$324,blue,42,437 S Madison St Hinsdale
720,March-1-2023,142 Juliet Ct,Clarendon Hills,1205000.0,5.0,4.5,Clarendon Hills,2003.0,,238.0,https://www.redfin.com/IL/Clarendon-Hills/142-Juliet-Ct-60514/home/18023010,41.8025045,-87.9531232,,,"$1,205,000",2003,$238,blue,43,142 Juliet Ct Clarendon Hills
1271,March-2-2023,1118 Fargo Blvd,Geneva,1200000.0,4.0,5.0,Geneva,2002.0,,286.0,https://www.redfin.com/IL/Geneva/1118-Fargo-Blvd-60134/home/16928092,41.8735587,-88.3203245,,,"$1,200,000",2002,$286,blue,44,1118 Fargo Blvd Geneva
308,March-7-2023,336 S York St,Elmhurst,1200000.0,5.0,4.5,Elmhurst,2023.0,,342.0,https://www.redfin.com/IL/Elmhurst/336-S-York-St-60126/home/14164362,41.8911446,-87.9404309,,,"$1,200,000",2023,$342,blue,45,336 S York St Elmhurst
2189,March-24-2023,20419 River Rd,Marengo,1200000.0,3.0,2.5,Harmony / Marengo,1989.0,,436.0,https://www.redfin.com/IL/Marengo/20419-River-Rd-60152/home/181279345,42.2727535,-88.597542,,,"$1,200,000",1989,$436,blue,46,20419 River Rd Marengo
36,March-31-2023,1021 Penny Ln,Wheaton,1199234.0,5.0,5.0,Wheaton,2000.0,,271.0,https://www.redfin.com/IL/Wheaton/1021-Penny-Ln-60189/home/18124921,41.8509285,-88.1208637,,,"$1,199,234",2000,$271,blue,47,1021 Penny Ln Wheaton
1805,March-31-2023,125 E Ellis Ave,Libertyville,1199000.0,4.0,4.5,Green Oaks / Libertyville,2007.0,,311.0,https://www.redfin.com/IL/Libertyville/125-E-Ellis-Ave-60048/home/14157268,42.2935915,-87.9541686,,,"$1,199,000",2007,$311,blue,48,125 E Ellis Ave Libertyville
1290,March-22-2023,613 Creekside Dr,Geneva,1192000.0,5.0,4.5,Herrington Trails,1996.0,,,https://www.redfin.com/IL/Geneva/613-Creekside-Dr-60134/home/16977355,41.8826953,-88.3134515,,,"$1,192,000",1996,$nan,blue,49,613 Creekside Dr Geneva
591,March-31-2023,9290 Forest Edge Ln,Burr Ridge,1180000.0,5.0,3.5,Forest Edge,2005.0,,247.0,https://www.redfin.com/IL/Burr-Ridge/9290-Forest-Edge-Dr-60527/home/14195645,41.7199464,-87.9214911,,,"$1,180,000",2005,$247,blue,50,9290 Forest Edge Ln Burr Ridge
2519,March-31-2023,16200 Syd Creek Dr,Homer Glen,1175000.0,5.0,5.5,Evlyn's Gate,2007.0,,198.0,https://www.redfin.com/IL/Homer-Glen/16200-Syd-Creek-Dr-60491/unit-G/home/23205781,41.5932074,-87.9756273,,,"$1,175,000",2007,$198,blue,51,16200 Syd Creek Dr Homer Glen
865,March-24-2023,522 Campbell St,Geneva,1175000.0,3.0,3.5,Geneva,2015.0,,386.0,https://www.redfin.com/IL/Geneva/522-Campbell-St-60134/home/96983661,41.8860205,-88.3121226,,,"$1,175,000",2015,$386,blue,52,522 Campbell St Geneva
1746,March-30-2023,4754 Wellington Dr,Long Grove,1149000.0,6.0,5.5,Royal Melbourne,1995.0,,244.0,https://www.redfin.com/IL/Long-Grove/4754-Wellington-Dr-60047/home/17642689,42.2058375,-88.0018677,,,"$1,149,000",1995,$244,blue,53,4754 Wellington Dr Long Grove
646,March-13-2023,941 S Fairfield Ave,Elmhurst,1135000.0,4.0,4.5,Elmhurst,2022.0,,353.0,https://www.redfin.com/IL/Elmhurst/941-S-Fairfield-Ave-60126/home/18097467,41.870116,-87.951313,,,"$1,135,000",2022,$353,blue,54,941 S Fairfield Ave Elmhurst
843,March-27-2023,110 S Washington St #402,Naperville,1125389.0,2.0,2.5,Naperville,2022.0,,517.0,https://www.redfin.com/IL/Naperville/110-S-Washington-St-60540/unit-402/home/177944230,41.7736732,-88.1473339,,,"$1,125,389",2022,$517,blue,55,110 S Washington St #402 Naperville
1432,March-17-2023,1845 N Sawgrass St,Vernon Hills,1120000.0,7.0,6.5,Greggs Landing,2005.0,,157.0,https://www.redfin.com/IL/Vernon-Hills/1845-Sawgrass-St-60061/home/17600072,42.2596483,-87.9568173,,,"$1,120,000",2005,$157,blue,56,1845 N Sawgrass St Vernon Hills
1866,March-21-2023,860 Beverly Pl,Lake Forest,1120000.0,3.0,4.5,Stonebridge,1961.0,,317.0,https://www.redfin.com/IL/Lake-Forest/860-Beverly-Pl-60045/home/17630182,42.2241065,-87.8287831,,,"$1,120,000",1961,$317,blue,57,860 Beverly Pl Lake Forest
2597,March-28-2023,4455 Esquire Cir,Naperville,1120000.0,5.0,5.0,River Run,1996.0,,254.0,https://www.redfin.com/IL/Naperville/4455-Esquire-Cir-60564/home/23153735,41.6870404,-88.1794797,,,"$1,120,000",1996,$254,blue,58,4455 Esquire Cir Naperville
1925,March-28-2023,897 Hampstead Ct,Barrington,1117000.0,5.0,5.5,Barrington Court,2003.0,,175.0,https://www.redfin.com/IL/Barrington/897-Hampstead-Ct-60010/home/23439917,42.1667014,-88.1373359,,,"$1,117,000",2003,$175,blue,59,897 Hampstead Ct Barrington
1791,March-6-2023,1080 Timber Ln,Lake Forest,1100000.0,5.0,3.5,Whispering Oaks,1965.0,,363.0,https://www.redfin.com/IL/Lake-Forest/1080-Timber-Ln-60045/home/17630823,42.2202172,-87.8339844,,,"$1,100,000",1965,$363,blue,60,1080 Timber Ln Lake Forest
61,March-30-2023,40 Landon Cir,Wheaton,1088500.0,5.0,5.0,Amberwood Estates,2016.0,,317.0,https://www.redfin.com/IL/Wheaton/40-Landon-Cir-60189/home/17972997,41.834515,-88.1280329,,,"$1,088,500",2016,$317,blue,61,40 Landon Cir Wheaton
1552,March-23-2023,2111 Malory Ln,Highland Park,1085000.0,4.0,3.5,High Ridge,1977.0,,258.0,https://www.redfin.com/IL/Highland-Park/2111-Malory-Ln-60035/home/17628412,42.193204,-87.8484144,,,"$1,085,000",1977,$258,blue,62,2111 Malory Ln Highland Park
264,March-16-2023,803 Deer Trail Ln,Oak Brook,1060000.0,4.0,3.0,Oak Brook,1985.0,,254.0,https://www.redfin.com/IL/Oak-Brook/803-Deer-Trail-Ln-60523/home/18083186,41.8256897,-87.9514388,,,"$1,060,000",1985,$254,blue,63,803 Deer Trail Ln Oak Brook
656,March-9-2023,101 Carmela Ct,Bloomingdale,1060000.0,5.0,7.5,Seven Oaks Estates,2007.0,,177.0,https://www.redfin.com/IL/Bloomingdale/101-Carmela-Ct-60108/home/17982803,41.9637361,-88.0894274,,,"$1,060,000",2007,$177,blue,64,101 Carmela Ct Bloomingdale
749,March-31-2023,1209 Curtiss St,Downers Grove,1050000.0,3.0,2.5,Downers Grove,2022.0,,457.0,https://www.redfin.com/IL/Downers-Grove/1209-Curtiss-St-60515/home/18026205,41.7931501,-88.0144278,,,"$1,050,000",2022,$457,blue,65,1209 Curtiss St Downers Grove
2636,March-6-2023,3007 Seiler Dr,Naperville,1050000.0,4.0,5.0,Kinloch,2004.0,,234.0,https://www.redfin.com/IL/Naperville/3007-Seiler-Dr-60565/home/23353715,41.7101599,-88.1555549,,,"$1,050,000",2004,$234,blue,66,3007 Seiler Dr Naperville
783,March-17-2023,2013 Hitchcock Ave,Lisle,1025000.0,6.0,4.5,Lisle,2005.0,,128.0,https://www.redfin.com/IL/Lisle/2013-Hitchcock-Ave-60532/home/18058228,41.7924928,-88.0928048,,,"$1,025,000",2005,$128,blue,67,2013 Hitchcock Ave Lisle
1794,March-28-2023,1870 Haven Ln,Libertyville,1017000.0,5.0,5.5,Green Oaks / Libertyville,2001.0,,233.0,https://www.redfin.com/IL/Libertyville/1870-Haven-Ln-60048/home/17353933,42.306968,-87.9163574,,,"$1,017,000",2001,$233,blue,68,1870 Haven Ln Libertyville
2320,March-23-2023,1747 Baybrook Ln,Naperville,1000000.0,6.0,5.0,River Run,1997.0,,250.0,https://www.redfin.com/IL/Naperville/1747-Baybrook-Ln-60564/home/21757527,41.6858729,-88.1794797,,,"$1,000,000",1997,$250,blue,69,1747 Baybrook Ln Naperville
1395,March-15-2023,25399 N Countryside Dr,Lake Barrington,999000.0,4.0,4.5,Tanglewood Estates,1995.0,,226.0,https://www.redfin.com/IL/Lake-Barrington/25399-N-Countryside-Dr-60010/home/17664028,42.2323828,-88.1708714,,,"$999,000",1995,$226,blue,70,25399 N Countryside Dr Lake Barrington
698,March-30-2023,195 N Addison Ave #404,Elmhurst,985000.0,3.0,2.5,Elmhurst,2021.0,,448.0,https://www.redfin.com/IL/Elmhurst/195-N-Addison-Ave-60126/unit-404/home/175477106,41.9033276,-87.9411333,,,"$985,000",2021,$448,blue,71,195 N Addison Ave #404 Elmhurst
1945,March-10-2023,1600 Timber Woods Ln,Libertyville,975500.0,4.0,6.0,Daybreak Farms,1995.0,,222.0,https://www.redfin.com/IL/Libertyville/1600-Timber-Woods-Ln-60048/home/17710844,42.3308325,-87.937827,,,"$975,500",1995,$222,blue,72,1600 Timber Woods Ln Libertyville
1705,March-17-2023,1829 Sawgrass St,Vernon Hills,975000.0,4.0,3.5,Sawgrass/Greggs Landing,2014.0,,232.0,https://www.redfin.com/IL/Vernon-Hills/1829-Sawgrass-St-60061/home/18982138,42.2592708,-87.9572383,,,"$975,000",2014,$232,blue,73,1829 Sawgrass St Vernon Hills
284,March-20-2023,318 S Cottage Hill Ave,Elmhurst,970000.0,4.0,2.5,Elmhurst,1962.0,,389.0,https://www.redfin.com/IL/Elmhurst/318-S-Cottage-Hill-Ave-60126/home/16906051,41.8918705,-87.9430922,,,"$970,000",1962,$389,blue,74,318 S Cottage Hill Ave Elmhurst
1519,March-31-2023,855 Holmes Ave,Deerfield,965000.0,4.0,4.5,"Deerfield, Bannockburn, Riverwoods",2004.0,,273.0,https://www.redfin.com/IL/Deerfield/855-Holmes-Ave-60015/home/16877716,42.1690342,-87.8624844,,,"$965,000",2004,$273,blue,75,855 Holmes Ave Deerfield
762,March-6-2023,586 Crescent Blvd #501,Glen Ellyn,959000.0,2.0,3.0,Crescent Station,2004.0,,377.0,https://www.redfin.com/IL/Glen-Ellyn/586-Crescent-Blvd-60137/unit-501/home/16885275,41.8772723,-88.0634168,,,"$959,000",2004,$377,blue,76,586 Crescent Blvd #501 Glen Ellyn
738,March-20-2023,793 S Mitchell Ave,Elmhurst,950000.0,4.0,4.5,Elmhurst,,,288.0,https://www.redfin.com/IL/Elmhurst/793-S-Mitchell-Ave-60126/home/17372623,41.875152,-87.9453908,,,"$950,000",nan,$288,blue,77,793 S Mitchell Ave Elmhurst
81,March-23-2023,472 N Oak St,Elmhurst,949000.0,5.0,3.5,Elmhurst,2002.0,,288.0,https://www.redfin.com/IL/Elmhurst/472-N-Oak-St-60126/home/18155399,41.9128272,-87.9542805,,,"$949,000",2002,$288,blue,78,472 N Oak St Elmhurst
72,March-16-2023,122 S Bruner St,Hinsdale,940000.0,4.0,2.5,Hinsdale,1937.0,,256.0,https://www.redfin.com/IL/Hinsdale/122-S-Bruner-St-60521/home/16885735,41.8007741,-87.9431688,,,"$940,000",1937,$256,blue,79,122 S Bruner St Hinsdale
1740,March-13-2023,28 Dukes Ln,Lincolnshire,930000.0,6.0,5.5,Lincolnshire,1971.0,,186.0,https://www.redfin.com/IL/Lincolnshire/28-Dukes-Ln-60069/home/17640823,42.1925813,-87.901794,,,"$930,000",1971,$186,blue,80,28 Dukes Ln Lincolnshire
583,March-31-2023,9 Arcadia Ct,Burr Ridge,917000.0,4.0,2.5,Falling Water,2000.0,,138.0,https://www.redfin.com/IL/Burr-Ridge/9-Arcadia-Ct-60527/home/17994454,41.7181569,-87.9344377,,,"$917,000",2000,$138,blue,81,9 Arcadia Ct Burr Ridge
1605,March-30-2023,176 Ranney Ave,Vernon Hills,915000.0,5.0,3.0,Centennial Crossing,1998.0,,239.0,https://www.redfin.com/IL/Vernon-Hills/176-Ranney-Ave-60061/home/17645301,42.2182984,-87.9609321,,,"$915,000",1998,$239,blue,82,176 Ranney Ave Vernon Hills
523,March-31-2023,191 Reber St,Wheaton,910000.0,3.0,4.0,Wheaton,2008.0,,267.0,https://www.redfin.com/IL/Wheaton/191-Reber-St-60187/home/17973580,41.8646033,-88.1041878,,,"$910,000",2008,$267,blue,83,191 Reber St Wheaton
2388,March-3-2023,4635 Sassafras Ln,Naperville,910000.0,4.0,3.5,Ashwood Park,2011.0,,224.0,https://www.redfin.com/IL/Naperville/4635-Sassafras-Ln-60564/home/23284929,41.6843846,-88.2301244,,,"$910,000",2011,$224,blue,84,4635 Sassafras Ln Naperville
2308,March-17-2023,11336 Mckenna Dr,Frankfort,910000.0,6.0,4.5,Frankfort,2007.0,,178.0,https://www.redfin.com/IL/Frankfort/11336-McKenna-Dr-60423/home/12632331,41.4684512,-87.8906033,,,"$910,000",2007,$178,blue,85,11336 Mckenna Dr Frankfort
1829,March-3-2023,2124 Tennyson Ln,Highland Park,900000.0,4.0,5.5,Highland Park,1976.0,,222.0,https://www.redfin.com/IL/Highland-Park/2124-Tennyson-Ln-60035/home/14154729,42.1913067,-87.850026,,,"$900,000",1976,$222,blue,86,2124 Tennyson Ln Highland Park
1346,March-15-2023,3156 W Cuba Rd,Long Grove,900000.0,5.0,4.5,Hawthorn Woods / Lake Zurich / Kildeer / Long Grove,1982.0,,207.0,https://www.redfin.com/IL/Long-Grove/3156-Cuba-Rd-60047/home/17652229,42.184007,-88.0133956,,,"$900,000",1982,$207,blue,87,3156 W Cuba Rd Long Grove
798,March-21-2023,133 S Park Ave,Hinsdale,900000.0,5.0,3.5,Hinsdale,,,249.0,https://www.redfin.com/IL/Hinsdale/133-S-Park-Ave-60521/home/18020813,41.8005916,-87.9243259,,,"$900,000",nan,$249,blue,88,133 S Park Ave Hinsdale
834,March-15-2023,12 Wyndham Ct,Oak Brook,898000.0,5.0,2.5,Ginger Creek,1969.0,,261.0,https://www.redfin.com/IL/Oak-Brook/12-Wyndham-Ct-60523/home/18085389,41.838802,-87.9897249,,,"$898,000",1969,$261,blue,89,12 Wyndham Ct Oak Brook
1274,March-3-2023,Lot 52 Hilldale Dr,St. Charles,890000.0,4.0,3.5,Reserve of St. Charles,2023.0,,225.0,https://www.redfin.com/IL/St-Charles/Lot-52-Hilldale-Ln-60175/home/182161570,41.9589937,-88.3289666,,,"$890,000",2023,$225,blue,90,Lot 52 Hilldale Dr St. Charles
