,SOLD DATE,ADDRESS,CITY,PRICE,BEDS,BATHS,LOCATION,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL,LATITUDE,LONGITUDE,Unnamed: 0.2,URL,Unnamed: 0,URL.2,PRICE_AS_CURRENCY,YEAR BUILT DISPLAY,PRICE_SQUARE_FEET_AS_CURRENCY,COLOR,RANK,FULL_ADDRESS,Unnamed: 0.1,URL.1
7175,April-21-2023,185 S Orchard Cir,Lake Forest,1900000.0,5.0,4.5,Westleigh Farm,2023.0,,375.0,https://www.redfin.com/IL/Lake-Forest/185-S-Orchard-Cir-60045/home/176202504,42.23695,-87.86608,,,,,"$1,900,000",2023,$375,blue,19,185 S Orchard Cir Lake Forest,,
7181,April-17-2023,841 Interlaken Ct,Libertyville,1900000.0,4.0,5.0,Green Oaks / Libertyville,1984.0,,260.0,https://www.redfin.com/IL/Libertyville/841-Interlaken-Ln-60048/home/14157785,42.2918778,-87.976163,,,,,"$1,900,000",1984,$260,blue,20,841 Interlaken Ct Libertyville,,
1318,April-17-2023,841 Interlaken Ct,Libertyville,1900000.0,4.0,5.0,Green Oaks / Libertyville,1984.0,,260.0,,42.2918778,-87.976163,1312.0,,1353.0,https://www.redfin.com/IL/Libertyville/841-Interlaken-Ln-60048/home/14157785,"$1,900,000",1984,$260,blue,21,841 Interlaken Ct Libertyville,,
7721,April-13-2023,23 Scott Loop,Highland Park,1899000.0,7.0,6.0,Fort Sheridan,1890.0,,308.0,https://www.redfin.com/IL/Highland-Park/23-Scott-Loop-60035/home/17612243,42.2207898,-87.8072613,,,,,"$1,899,000",1890,$308,blue,22,23 Scott Loop Highland Park,,
1320,April-13-2023,23 Scott Loop,Highland Park,1899000.0,7.0,6.0,Fort Sheridan,1890.0,,308.0,,42.2207898,-87.8072613,1313.0,,1893.0,https://www.redfin.com/IL/Highland-Park/23-Scott-Loop-60035/home/17612243,"$1,899,000",1890,$308,blue,23,23 Scott Loop Highland Park,,
1321,April-13-2023,23 Scott Loop,Highland Park,1899000.0,7.0,6.0,Fort Sheridan,1890.0,,308.0,,42.2207898,-87.8072613,4807.0,https://www.redfin.com/IL/Highland-Park/23-Scott-Loop-60035/home/17612243,,,"$1,899,000",1890,$308,blue,24,23 Scott Loop Highland Park,,
1322,April-17-2023,1670 Tallgrass Ln,Lake Forest,1895000.0,4.0,6.0,Conway Farms,2005.0,,338.0,,42.2248298,-87.8873064,1314.0,,1364.0,https://www.redfin.com/IL/Lake-Forest/1670-Tallgrass-Ln-60045/home/17609790,"$1,895,000",2005,$338,blue,25,1670 Tallgrass Ln Lake Forest,,
7192,April-17-2023,1670 Tallgrass Ln,Lake Forest,1895000.0,4.0,6.0,Conway Farms,2005.0,,338.0,https://www.redfin.com/IL/Lake-Forest/1670-Tallgrass-Ln-60045/home/17609790,42.2248298,-87.8873064,,,,,"$1,895,000",2005,$338,blue,26,1670 Tallgrass Ln Lake Forest,,
1323,April-17-2023,1670 Tallgrass Ln,Lake Forest,1895000.0,4.0,6.0,Conway Farms,2005.0,,338.0,,42.2248298,-87.8873064,4278.0,https://www.redfin.com/IL/Lake-Forest/1670-Tallgrass-Ln-60045/home/17609790,,,"$1,895,000",2005,$338,blue,27,1670 Tallgrass Ln Lake Forest,,
1324,April-18-2023,30 Breakenridge Farm,Oak Brook,1839000.0,7.0,8.0,Breakenridge Farm,1985.0,,197.0,,41.8230039,-87.9444707,1315.0,,735.0,https://www.redfin.com/IL/Oak-Brook/30-Breakenridge-Farm-60523/home/14357976,"$1,839,000",1985,$197,blue,28,30 Breakenridge Farm Oak Brook,,
1325,April-18-2023,30 Breakenridge Farm,Oak Brook,1839000.0,7.0,8.0,Breakenridge Farm,1985.0,,197.0,,41.8230039,-87.9444707,735.0,https://www.redfin.com/IL/Oak-Brook/30-Breakenridge-Farm-60523/home/14357976,,,"$1,839,000",1985,$197,blue,29,30 Breakenridge Farm Oak Brook,,
735,April-18-2023,30 Breakenridge Farm,Oak Brook,1839000.0,7.0,8.0,Breakenridge Farm,1985.0,,197.0,https://www.redfin.com/IL/Oak-Brook/30-Breakenridge-Farm-60523/home/14357976,41.8230039,-87.9444707,,,,,"$1,839,000",1985,$197,blue,30,30 Breakenridge Farm Oak Brook,,
1326,April-7-2023,519 S Hawthorne Ave,Elmhurst,1699900.0,6.0,5.5,Elmhurst,2023.0,,409.0,,41.8849342,-87.9530658,1316.0,,564.0,https://www.redfin.com/IL/Elmhurst/519-S-Hawthorne-Ave-60126/home/18101932,"$1,699,900",2023,$409,blue,31,519 S Hawthorne Ave Elmhurst,,
