,SOLD DATE,ADDRESS,CITY,PRICE,BEDS,BATHS,LOCATION,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL,LATITUDE,LONGITUDE,PRICE_AS_CURRENCY,YEAR BUILT DISPLAY,PRICE_SQUARE_FEET_AS_CURRENCY,COLOR,RANK,FULL_ADDRESS
735,April-7-2023,5701 N Sheridan Rd Unit 29L,Chicago,305000.0,2.0,2.0,CHI - Edgewater,1966.0,,244.0,https://www.redfin.com/IL/Chicago/5701-N-Sheridan-Rd-60660/unit-29L/home/13408203,41.9860059,-87.6544907,"$305,000",1966,$244,blue,809,5701 N Sheridan Rd Unit 29L Chicago
996,April-17-2023,2706 W Cortland St #2,Chicago,305000.0,2.0,1.0,Cortland Towers,,,,https://www.redfin.com/IL/Chicago/2706-W-Cortland-St-60647/unit-2/home/21795971,41.9158892,-87.6949538,"$305,000",nan,$nan,blue,810,2706 W Cortland St #2 Chicago
1556,April-14-2023,2961 N Halsted St #2,Chicago,305000.0,3.0,1.0,CHI - Lake View,1899.0,,,https://www.redfin.com/IL/Chicago/2961-N-Halsted-St-60657/unit-2/home/13373184,41.9362782,-87.6489209,"$305,000",1899,$nan,blue,811,2961 N Halsted St #2 Chicago
1354,April-20-2023,11110 Waters Edge Dr Unit 3A,Orland Park,304999.0,2.0,2.0,Fountain Hills,2004.0,,168.0,https://www.redfin.com/IL/Orland-Park/11110-Waters-Edge-Dr-60467/unit-3A/home/12986965,41.5594768,-87.8883411,"$304,999",2004,$168,blue,812,11110 Waters Edge Dr Unit 3A Orland Park
1076,April-4-2023,1632 S Indiana Ave #106,Chicago,304000.0,1.0,1.5,CHI - Near South Side,,,276.0,https://www.redfin.com/IL/Chicago/1632-S-Indiana-Ave-60616/unit-106/home/12816901,41.859186,-87.6228432,"$304,000",nan,$276,blue,813,1632 S Indiana Ave #106 Chicago
1045,April-25-2023,3100 Lexington Ln #101,Glenview,303500.0,2.0,2.0,Princeton Club,1991.0,,,https://www.redfin.com/IL/Glenview/3100-Lexington-Ln-60026/unit-101/home/13804389,42.1062437,-87.8337157,"$303,500",1991,$nan,blue,814,3100 Lexington Ln #101 Glenview
359,April-3-2023,437 W Division St #506,Chicago,303000.0,1.0,1.0,CHI - Near North Side,2005.0,,320.0,https://www.redfin.com/IL/Chicago/437-W-Division-St-60610/unit-506/home/21793137,41.9034475,-87.6394341,"$303,000",2005,$320,blue,815,437 W Division St #506 Chicago
1094,April-26-2023,1417 Bonnie Brae Pl Unit 4C,River Forest,303000.0,2.0,2.0,River Forest,1972.0,,227.0,https://www.redfin.com/IL/River-Forest/1417-Bonnie-Brae-Pl-60305/unit-4C/home/13341659,41.9058502,-87.8068393,"$303,000",1972,$227,blue,816,1417 Bonnie Brae Pl Unit 4C River Forest
964,April-28-2023,720 W Gordon Ter Unit 12K,Chicago,302250.0,2.0,2.0,CHI - Uptown,1966.0,,275.0,https://www.redfin.com/IL/Chicago/720-W-Gordon-Ter-60613/unit-12K/home/13395407,41.9582919,-87.6485882,"$302,250",1966,$275,blue,817,720 W Gordon Ter Unit 12K Chicago
511,April-13-2023,3417 N Wolcott Ave #1,Chicago,302000.0,2.0,1.0,CHI - North Center,,,,https://www.redfin.com/IL/Chicago/3417-N-Wolcott-Ave-60657/unit-1/home/12617865,41.9439031,-87.6758314,"$302,000",nan,$nan,blue,818,3417 N Wolcott Ave #1 Chicago
740,April-28-2023,2712 W Greenleaf Ave #3,Chicago,302000.0,3.0,2.0,CHI - West Ridge,,,178.0,https://www.redfin.com/IL/Chicago/2712-W-Greenleaf-Ave-60645/unit-3/home/178676404,42.009659,-87.697974,"$302,000",nan,$178,blue,819,2712 W Greenleaf Ave #3 Chicago
1452,April-4-2023,405 N Wabash Ave #2915,Chicago,302000.0,1.0,1.0,CHI - Near North Side,1977.0,,417.0,https://www.redfin.com/IL/Chicago/405-N-Wabash-Ave-60611/unit-2915/home/14098353,41.8897222,-87.6257722,"$302,000",1977,$417,blue,820,405 N Wabash Ave #2915 Chicago
240,April-14-2023,4849 N Ravenswood Ave Unit 2N,Chicago,301000.0,2.0,1.0,Ravenswood,1920.0,,,https://www.redfin.com/IL/Chicago/4849-N-Ravenswood-Ave-60640/unit-2N/home/13402108,41.9702792,-87.673774,"$301,000",1920,$nan,blue,821,4849 N Ravenswood Ave Unit 2N Chicago
830,April-27-2023,155 N Harbor Dr #4406,Chicago,300000.0,1.0,1.0,CHI - Loop,1974.0,,368.0,https://www.redfin.com/IL/Chicago/155-N-Harbor-Dr-60601/unit-4406/home/14093373,41.8848951,-87.6153982,"$300,000",1974,$368,blue,822,155 N Harbor Dr #4406 Chicago
595,April-10-2023,1660 N Lasalle St #905,Chicago,300000.0,1.0,1.0,CHI - Lincoln Park,1972.0,,375.0,https://www.redfin.com/IL/Chicago/1660-N-La-Salle-Dr-60614/unit-905/home/13342637,41.912262,-87.633973,"$300,000",1972,$375,blue,823,1660 N Lasalle St #905 Chicago
512,April-20-2023,222 E Pearson St #2009,Chicago,300000.0,2.0,1.0,Pearson on the Park,1963.0,,,https://www.redfin.com/IL/Chicago/222-E-Pearson-St-60611/unit-2009/home/12596427,41.8979891,-87.6206819,"$300,000",1963,$nan,blue,824,222 E Pearson St #2009 Chicago
