Person,2025,2026
JANICE CHANG TEAM,34.0,1.0
NIKKI FIELD TEAM,29.0,2.0
DEBORAH KERN,1.0,3.0
BENALLOUL TEAM,37.0,4.0
HILARY LANDIS,,5.0
NOBLE BLACK & PARTNERS,13.0,6.0
GOLD TEAM,2.0,7.0
SABRINA SALTIEL TEAM,15.0,8.0
ALEXA LAMBERT,,9.0
PETER ZAITZEFF TEAM,,10.0
ELENA S SARKISSIAN,,11.0
EKLUND|GOMES TEAM,,12.0
KAI WONG TEAM,,13.0
SHLOMI REUVENI,7.0,14.0
CHRISTOPHER A SALIERNO,,15.0
ANDREW AND AMELIA TEAM,,16.0
JANE POWERS,19.0,17.0
DONNA STRUGATZ,,18.0
TIROSH & TEAM,6.0,19.0
HOTTINGER TEAM,,20.0
