Person,2024,2025,2026
COMPASS,2.0,2.0,1.0
CORCORAN GROUP,1.0,1.0,2.0
DOUGLAS ELLIMAN,3.0,3.0,3.0
BROWN HARRIS STEVENS,4.0,4.0,4.0
SOTHEBYS INTERNATIONAL REALTY,11.0,9.0,5.0
SERHANT,6.0,6.0,6.0
CORE,7.0,7.0,7.0
COLDWELL BANKER WARBURG,10.0,8.0,8.0
MODLIN GROUP,9.0,10.0,9.0
CHRISTIES INTERNATIONAL REAL ESTATE,12.0,11.0,10.0
