Person,2024,2025,2026
E REALTY INTERNATIONAL,23.0,1.0,1.0
DOUGLAS ELLIMAN,2.0,2.0,2.0
COMPASS,4.0,4.0,3.0
KELLER WILLIAMS LANDMARK,24.0,3.0,4.0
WINZONE REALTY,6.0,23.0,5.0
EXP REALTY,25.0,7.0,6.0
CORCORAN GROUP,9.0,10.0,7.0
SERHANT,26.0,24.0,8.0
B SQUARE REALTY,22.0,22.0,9.0
REMAX 1ST CHOICE,27.0,12.0,10.0
