full_address,developers,description,story_link,story_link_2
16955-17071 West Dixie Highway,Trinsic Residential Group,"This will be the nine-story, 373-unit Aura North Miami Beach with 17,000 square feet of retail. ",https://therealdeal.com/miami/2022/08/16/trinsic-nabs-99m-loan-to-build-north-miami-beach-rentals/,
 16375 Biscayne Boulevard,Estate Companies ,"This will be a 28-story, 363-unit Soleste on the Bay tower with 14,000 square feet of retail. It will rise on the lot immediarely south of Estate's other North Miami Beach apartment tower, which is under construction and I have provided info on next. ",https://therealdeal.com/miami/2022/08/15/estate-proposes-360-unit-north-miami-beach-rental-tower/,
 16395 Biscayne Boulevard,Estate Companies ,"This will be the 23-story, 367-unit Soleste NoMi apartment tower that is under construction. ",https://therealdeal.com/miami/2020/12/14/estate-companies-pay-13m-for-north-miami-beach-apartments-dev-site/,
2261 Northeast 164th Street,BH Group ,"This will be a 30-story, 400-unit apartment tower. ",https://therealdeal.com/miami/2022/08/16/bh-plans-30-story-north-miami-beach-rental-tower/,
 4098 Northeast 167 Street,Macken Companies ,"This is the Koya Bay project, a collection of 10 four-story townhomes on the Intracoastal Waterway in the Eastern Shores neighborhood of North Miami Beach. ",https://therealdeal.com/miami/2022/08/01/macken-scores-16-5m-construction-loan-for-koya-bay-townhome-development-in-north-miami-beach/,https://therealdeal.com/miami/2020/10/26/macken-wins-approval-for-north-miami-beach-townhomes/
" 1750 and 1775 Northeast 167th Street (This is the Nova Southeastern University campus in North Miami Beach. The school leases part of the property but once its lease runs out next summer, it will move out. ",Ari Pearl’s PPG Development. Matt Press of EquiShares and Isaac Khabie of ARK Ventures are project partners.,This is a plan for an apartment complex with several buildings ranging in height from three stories to eight stories. It will have roughly 700-unit. ,https://therealdeal.com/miami/2022/07/20/ari-pearl-partners-plan-700-apartments-in-north-miami-beach/,
Southeast corner of Northeast 159th Street and West Dixie Highway. This is motly land except for the buildings at 15530 and 15540 West Dixie Highway,AHS Residential,"We don't know what is AHS' plan. If you have time, maybe reach out to them to see. But the site was approved in 2018 for  a 2.5 million-square-foot mixed-use project, called New North Town Center. The “micro-city” development was slated to have 1,650 residential units, 260,000 square feet of office space, 175,000 square feet of retail space, a 175-room hotel and a 120,000-square-foot school. The approved heights range from three stories to 20 stories. It was never built. I don't know if AHS will pursue this plan. ",https://therealdeal.com/miami/2022/03/28/ahs-residential-pays-57m-for-north-miami-beach-dev-site/,
2050 Northeast 164th Street,Carpe Real Estate Partners ,"This is the 26-story, 440-unit Venus apartment tower. I know it was approved by a city board earlier this year but the full City Commission was supposed to have voted on the proposal in April. Maybe double check if it was approved. ",https://therealdeal.com/miami/2022/03/16/carpe-secures-approval-for-north-miami-beach-mixed-use-apartment-project/,
13899 Biscayne Boulevard,Fortune International Group and Blue Road,"This will be the Nexo, a 16-story, 254-unit project, which will be a condominium but short-term friendly. ",https://therealdeal.com/miami/2022/04/19/blue-road-fortune-launch-short-term-rental-friendly-condo-project-in-north-miami-beach/,
