Name,Region,Research URL,Description,Use Case,Data type,Brokerage type,Notes
Home Buying Institute,National,https://homebuyinginstitute.com/mortgage/us-housing-market-forecast/,U.S. residential news aimed at educating home buyers.,Newsletter and website provide a range of residential market news for consumers.,Residential,N/A,
Realtors Land Institute,National,https://www.rliland.com/Resources,Resources for land real estate.,"Offers a land consultant finder, annual land market survey, etc.",Land,N/A,
Deloitte,National,https://www2.deloitte.com/global/en/insights/industry/financial-services.html?icid=subnav_financial-services,Accounting and consulting firm for a range of industries.,"Publishes reports on various real estate issues and sectors, along with financial services.",Commercial,N/A,
Insitute for Housing Studies at DePaul University,Chicago,https://price-index.housingstudies.org/,Publisher of the Cook County House Price Index .,This index tracks quarterly price trends for single family homes in 33 submarkets in the City of Chicago and suburban Cook County.,Residential,N/A,
Livabl,National,https://www.livabl.com/,Database of new home construction.,Provides a look at new residential developments around the country.,Residential,N/A,
Nancy Packes,NYC,http://www.nancypackesinc.com/proprietary-research/,Residential consultant and agent on new or re-use developments.,Publishes NYC development pipeline and transactions databases.,Residential,N/A,
MarketProof,NYC,https://marketproof.com/research?tab=sales,"NYC sale, listings and building information provider.",Publishes databases of developments in pipeline and transactions.,Residential,N/A,
Urban Digs,NYC,https://www.urbandigs.com/marketwide-charts/,NYC real estate analytics and insights provider that uses artificial intelligence.,"Publishes msnapshots for Manhattan and Brooklyn, including data like the number of monthly closed sales and sales that closed over their asking prices.",Residential,N/A,
SafeGraph,National,https://www.safegraph.com/?utm_campaign=branded_exact&utm_term=safegraph_data&rm_ci=8481213813&rm_gid=88800951800&utm_medium=cpc&utm_source=google&utm_content=404850132212&utm_term=safegraph%20data&rm_kw=safegraph%20data&rm_mt=e&rm_n=g&rm_cr=404850132212device=c&creative=404850132212&placement=&gclid=CjwKCAjw5Kv7BRBSEiwAXGDElbOT65MIcVQekDw6rt7NpHIRVBRTSQYec5MjOb-5ZhbV5MJ04odQQBoCX8wQAvD_BwE,Provides accurate point of interest and foot traffic data in markets.,"Brokers, buyers, developers, and investors can see foot traffic near or at properties of interest.","Location, Retail",N/A,
Replica,National,https://replicahq.com/,"Provides weekly mobility and economic insights, nationwide, at census-tract level fidelity.","Some use case examples: analyzing how many peoplke take public transit in an area, analyzing weekend vs. weekday spend in a neighorhood, analyzing travel patterns in cities.","Mobility, Economy",N/A,
