,Project Type,Project Name,Association Name,City,Zip,County,ID,Address,__lat,__lon,__geocode_status
41,CONDOMINIUM,THE EDGE CONDO ASSOC,EDGE CONDO ONE,WEST PALM BEACH,33401-5087,PALM BEACH,205199,"EDGE CONDO ONE, WEST PALM BEACH, FL 33401-5087",26.7244754,-80.0499188,OK
42,CONDOMINIUM,"PORTOFINO SOUTH CONDOMINIUM ASSOCIATION OF WEST PALM BEACH, INC.","PORTOFINO SOUTH CONDOMINIUM ASSOCIATION OF WEST PALM BEACH, INC.",WEST PALM BEACH,33405-2366,PALM BEACH,207816,"PORTOFINO SOUTH CONDOMINIUM ASSOCIATION OF WEST PALM BEACH, INC., WEST PALM BEACH, FL 33405-2366",26.6772716,-80.0493745,OK
43,CONDOMINIUM,"SEMINOLE CONDO ASSOC, INC",SEMINOLE CONDO,JUNO BEACH,33408-2372,PALM BEACH,259092,"SEMINOLE CONDO, JUNO BEACH, FL 33408-2372",26.8797819,-80.0533743,OK
44,CONDOMINIUM,MARINA BAY COA,MARINA BAY CONDO,NORTH PALM BEACH,33408-3818,PALM BEACH,298087,"MARINA BAY CONDO, NORTH PALM BEACH, FL 33408-3818",26.8295717,-80.0599433,OK
46,CONDOMINIUM,CENTURY VILLAGE SOUTHAMPTON B,SOUTHAMPTON B CONDO. ASSOC. INC.,WEST PALM BEACH,33417-7812,PALM BEACH,249461,"SOUTHAMPTON B CONDO. ASSOC. INC., WEST PALM BEACH, FL 33417-7812",26.707749,-80.12325299999999,OK
48,CONDOMINIUM,JUPITER HARBOUR CONDOMINIUM,ISLAND AT RIVE HARBOUR,JUPITER,33477-4449,PALM BEACH,237754,"ISLAND AT RIVE HARBOUR, JUPITER, FL 33477-4449",26.9145908,-80.0853503,OK
49,CONDOMINIUM,HAMILTON HOUSE CONDOMINIUM APARTMENTS INC.,HAMILTON HOUSE CONDOMINIUM APARTMENTS INC.,DELRAY BEACH,33483-6538,PALM BEACH,229110,"HAMILTON HOUSE CONDOMINIUM APARTMENTS INC., DELRAY BEACH, FL 33483-6538",26.4437326,-80.0611603,OK
50,CONDOMINIUM,EL CORTIJO,EL CORTIJO CONDOMIIUM,GULF STREAM,33483-7273,PALM BEACH,207006,"EL CORTIJO CONDOMIIUM, GULF STREAM, FL 33483-7273",26.4936835,-80.05504169999999,OK
51,CONDOMINIUM,"LATITUDE DELRAY BEACH CONDOMINIUM ASSOCIATION, INC.","LATITUDE DELRAY BEACH CONDOMINIUM ASSOCIATION, INC.",DELRAY BEACH,33483-8062,PALM BEACH,238030,"LATITUDE DELRAY BEACH CONDOMINIUM ASSOCIATION, INC., DELRAY BEACH, FL 33483-8062",26.4258998,-80.0747313,OK
52,CONDOMINIUM,VILLA COSTA CONDO,VILLA COSTA CONDO ASSOCIATION INC,HIGHLAND BEACH,33487-2511,PALM BEACH,210958,"VILLA COSTA CONDO ASSOCIATION INC, HIGHLAND BEACH, FL 33487-2511",26.3995204,-80.0655977,OK
68,CONDOMINIUM,SEA OAKS CONDO,"SEA OAKS CONDOMINIUM ASSOCIATION, INC.",DANIA,BROWARD,BROWARD,248855,"SEA OAKS CONDOMINIUM ASSOCIATION, INC., DANIA, FL BROWARD",26.053924,-80.132454,OK
69,CONDOMINIUM,"LAUDERDALE OAKS CONDOMINIUM, XIIB, INC.","LAUDERDALE OAKS CONDOMINIUM, XIIB, INC.",LAUDERDALE LAKES,BROWARD,BROWARD,248379,"LAUDERDALE OAKS CONDOMINIUM, XIIB, INC., LAUDERDALE LAKES, FL BROWARD",26.162122,-80.21079999999999,OK
74,CONDOMINIUM,CONCORD VILLAGE CONDOMINIUM IX,CONCORD VILLAGE CONDOMINIUM IX ASSN INC.,TAMARAC,FL,BROWARD,265381,"CONCORD VILLAGE CONDOMINIUM IX ASSN INC., TAMARAC, FL FL",26.2080462,-80.257836,OK
75,CONDOMINIUM,STRUCTURAL INTEGRITY RESERVES STUDY REPORT,23 BISCAYNE BAY CONDOMINIUM INC.,MIAMI,FLA,MIAMI-DADE,284094,"23 BISCAYNE BAY CONDOMINIUM INC., MIAMI, FL FLA",25.7994164,-80.1861875,OK
79,COOPERATIVE,SIRS,"ST. FRANCIS APTS., INC.",HOLLYWOOD,HOLLYWOOD,BROWARD,270750,"ST. FRANCIS APTS., INC., HOLLYWOOD, FL HOLLYWOOD",26.0159605,-80.1417517,OK
81,CONDOMINIUM,KING DAVID TOWERS,KING DAVID TOWERS,MANAGEMENT OFFICE,MIAMI BEACH,MIAMI-DADE,221554,"KING DAVID TOWERS, MANAGEMENT OFFICE, FL MIAMI BEACH",25.8088241,-80.1243689,OK
82,CONDOMINIUM,LISETTE CONDOMINIUM ASSOCIATION INC.,LISETTE CONDOMINIUM ASSOCIATION INC.,MIAMI BEACH,MIAMI BEACH,MIAMI-DADE,215431,"LISETTE CONDOMINIUM ASSOCIATION INC., MIAMI BEACH, FL MIAMI BEACH",25.8471331,-80.17883189999999,OK
83,CONDOMINIUM,"BELLE TOWERS CONDOMINIUM, INC","BELLE TOWERS CONDOMINIUM, INC.",,MIAMI BEACH,MIAMI-DADE,313816,"BELLE TOWERS CONDOMINIUM, INC., FL MIAMI BEACH",25.7897398,-80.1471692,OK
88,CONDOMINIUM,"COLONY POINT 2 CONDOMINIUM ASSOCIATION, INC.","COLONY POINT 2 CONDOMINIUM ASSOCIATION, INC.",PEMBROKE PINES,PEMBROKE PINES,BROWARD,322204,"COLONY POINT 2 CONDOMINIUM ASSOCIATION, INC., PEMBROKE PINES, FL PEMBROKE PINES",26.0152304,-80.30115,OK
91,CONDOMINIUM,LA PERLA CONDOMINIUM,LA PERLA CONDOMINIUM ASSOCIATION,MANAGEMENT,SUNNY ISLES BEACH,MIAMI-DADE,250141,"LA PERLA CONDOMINIUM ASSOCIATION, MANAGEMENT, FL SUNNY ISLES BEACH",25.9300707,-80.1216685,OK
92,CONDOMINIUM,OCEANIA IV CONDOMINIUM,OCEANIA IV CONDOMINIUM,MANAGEMENT OFFICE,SUNNY ISLES BEACH,MIAMI-DADE,277282,"OCEANIA IV CONDOMINIUM, MANAGEMENT OFFICE, FL SUNNY ISLES BEACH",25.9284108,-80.12400629999999,OK
93,CONDOMINIUM,SUNRISE LAKES CONDO NO. 189,SUNRISE LAKES CONDO PH 4 INC 3,SUNRISE,SUNRISE,BROWARD,240627,"SUNRISE LAKES CONDO PH 4 INC 3, SUNRISE, FL SUNRISE",26.1635991,-80.2791896,OK
94,CONDOMINIUM,SIRS,"SOUTHAMPTON CONDOMINIUM J ASSOCIATION, INC.",7680 N NOB HILL RD,TAMARAC,BROWARD,228051,"SOUTHAMPTON CONDOMINIUM J ASSOCIATION, INC., 7680 N NOB HILL RD, FL TAMARAC",26.2171368,-80.287125,OK
95,CONDOMINIUM,GRANVILLE CONDO A,GRANVILLE CONDO A,SAME AS ABOVE,TAMARAC,BROWARD,212789,"GRANVILLE CONDO A, SAME AS ABOVE, FL TAMARAC",26.2222053,-80.2916127,OK
99,CONDOMINIUM,NEW WAVE CONDO,"NEW WAVE CONDOMINIUM ASSOCIATION, INC.",MIAMI,3137,MIAMI-DADE,198822,"NEW WAVE CONDOMINIUM ASSOCIATION, INC., MIAMI, FL 3137",25.7985414,-80.1856179,OK
102,CONDOMINIUM,THE PONCE DE LEON CONDO ASSN,THE PONCE DE LEON CONDO ASSN,CORAL GABLES,3334,MIAMI-DADE,280685,"THE PONCE DE LEON CONDO ASSN, CORAL GABLES, FL 3334",25.7389628,-80.2586953,OK
1351,CONDOMINIUM,MEADOWBROOK LAKES  #6,MEADOWBROOK LAKES CONDO  APARTMENTS BLDG 6 INC.,DANIA,33004,BROWARD,263514,"MEADOWBROOK LAKES CONDO  APARTMENTS BLDG 6 INC., DANIA, FL 33004",26.0388611,-80.1397396,OK
1352,CONDOMINIUM,MEADOWBROOK LAKES 12,MEADOWBROOK LAKES CONDO 12 ASSN INC,DANIA,33004,BROWARD,236385,"MEADOWBROOK LAKES CONDO 12 ASSN INC, DANIA, FL 33004",26.0388611,-80.1397396,OK
1353,CONDOMINIUM,MEADOWBROOK LAKES CONDO APTS BLDG. 16,MEADOWBROOK LAKES BLDG. 16 CONDO ASN INC,DANIA,33004,BROWARD,239893,"MEADOWBROOK LAKES BLDG. 16 CONDO ASN INC, DANIA, FL 33004",26.0389851,-80.1356605,OK
1354,CONDOMINIUM,SIRS REPORT,"MEADOWBROOK LAKES CONDOMINIUM APARTMENTS BUILDING 12, INC.",DANIA,33004,BROWARD,253135,"MEADOWBROOK LAKES CONDOMINIUM APARTMENTS BUILDING 12, INC., DANIA, FL 33004",26.0484249,-80.136901,OK
