Name,Region/ City / Neighborhood,Research URL,Description,Use Case,Data type,Brokerage type
ISS Governance,National,https://www.issgovernance.com/esg/ratings/governance-qualityscore/,Analyzes the governance of companies,No number applicable; investors can identify a company's governance risks,Finance,
Refinitiv,National,https://developers.refinitiv.com/en/api-catalog,"Data platform covering investment banks, funds, commodities, etc. ",8 - diversity and inclusion index,Finance,
Nasdaq,National,https://www.nasdaq.com/solutions/cloud-data-service,Provides data on performance of indexes and public companies,Investors can see the stock performance of possible targets,Finance,
FamilySearch,National,https://www.familysearch.org/developers/docs/guides/getting-started,Genealogy website,"10 - Brokers can get leads from list of births, marriages, deaths, etc",Residential,
Estated,National,https://estated.com/property-data-api,Property data website,3 - also includes valuations,Residential,
Moody's,National,https://www.reis.com/capabilities/data/,CRE data platform,"Developers can see construction, property and transaction data to help identify targets",Commercial,
Reonomy,National,https://api.reonomy.com/v2/docs/,CRE data platform,Brokers can get info on properties; buyers can get overview of assets of owners,Commercial,
RedIQ,National,https://www.rediq.com/product/,Underwriting tool for multifamily owners and brokers,Owners can screen deals faster,Commercial,
IdealSpot,National,https://rapidapi.com/idealspot-inc-idealspot-inc-default/api/idealspot-geodata,Traffic data,"Brokers can get traffic data for retail, office locations",Commercial,
Nareit,National,https://www.reit.com/news/publications,Various reports/publications on public REIT stocks.,,"Commercial, REITs",
COMPASS,"NYC, LA, CT",https://www.compass.com/research/,,,,Residential
CORCORAN GROUP,"NYC, FL",https://inhabit.corcoran.com/category/market-reports/,,,,Residential
DOUGLAS ELLIMAN REAL ESTATE,NYC,https://www.elliman.com/corporate-resources/market-reports,,,,Residential
BROWN HARRIS STEVENS,"NYC, FL, CT",https://www.bhsusa.com/market-reports,,,,Residential
R NEW YORK,NYC,https://www.wernewyork.com/Home/Reports,,,,Residential
NEST SEEKERS,NYC,https://www.nestseekers.com/Guides/MarketReports,,,,Residential
BOND NEW YORK PROPERTIES,NYC,https://www.bondnewyork.com/marketreports/qtr.4.2020.pdf,,,,Residential
EXP REALTY,FL,https://barryhoey.exprealty.com/resources/nabor-market-report,,,,Residential
SOTHEBYS INTERNATIONAL REALTY,NYC,https://www.danielgale.com/daniel-gale-sothebys-international-realty-market-reports,,,,Residential
KELLER WILLIAMS REALTY LANDMARK II,NYC,https://www.queenshometeam.com/blog/queens-real-estate-market-report-q4-2020/,,,,Residential
TRIPLEMINT,NYC,https://www.triplemint.com/blog/,,,,Residential
IDEAL PROPERTIES GROUP,NYC,https://ipg.nyc/market-reports,,,,Residential
ELEGRAN,NYC,https://www.elegran.com/blog,,,,Residential
BOHEMIA REALTY GROUP,NYC,https://bohemiarealtygroup.com/market-report#,,,,Residential
WEICHERT PROPERTIES,NYC,http://www.weichertpropertiesnyc.com/Home/Reports,,,,Residential
WARBURG REALTY PARTNERSHIP,NYC,http://www.warburgrealty.com/marketreport/,,,,Residential
CORE Real Estate,NYC,https://corenyc.com/data/,,,,Residential
CITY CONNECTIONS REALTY,NYC,https://www.ccrny.com/market-reports,,,,Residential
CBRE,Worldwide,https://www.cbre.com/research-and-reports,,,,Commercial
Cushman & Wakefield,National,https://www.cushmanwakefield.com/en/united-states/insights,,,,Commercial
JLL,National,https://www.us.jll.com/en/trends-and-insights/research,,,,Commercial
Newmark Knight Frank,National,https://www.ngkf.com/insights,,,,Commercial
Colliers International,National,https://www2.colliers.com/en/research#sort=%40datez32xpublished%20descending,,,,Commercial
Savills,Worldwide,https://www.savills.com/insight-and-opinion/research.aspx?rc=World,,,,Commercial
Marcus & Millichap,National,https://www.marcusmillichap.com/research,,,,Commercial
HFF,National,https://www.us.jll.com/en/trends-and-insights/research,,,,Commercial
TCN Worldwide,National,https://www.tcnworldwide.com/market-reports/,,,,Commercial
Avison Young,Worldwide,https://www.avisonyoung.com/en_US/market-reports,,,,Commercial
Lee & Associates,National,https://www.lee-associates.com/research/,,,,Commercial
SVN International,National,https://svn.com/category/svn-research/,,,,Commercial
Transwestern,National,https://transwestern.com/market-reports,,,,Commercial
Coldwell Banker Commercial,National,https://www.cbcworldwide.com/markets,,,,Commercial
Berkadia,National,https://www.berkadia.com/research-and-resources/,,,,Commercial
Kidder Mathews,National,https://kidder.com/market-reports/,,,,Commercial
Commercial Properties Inc,National,https://cpiaz.com/cpi-reports3/,,,,Commercial
Cawley Chicago,Chicago,https://cawleychicago.com/blog/,,,,Commercial
Pearson Realty Group,Chicago,https://www.pearsonrealtygroup.com/real-estate/market-reports/,,,,Residential
MB Real Estate,Chicago,https://www.mbres.com/Insights/research,,,,Commercial
Rentcafe,Chicago,https://www.rentcafe.com/average-rent-market-trends/us/il/chicago/,,,,Residential
Redfin,National,https://www.redfin.com/news/data-center/,,,,Residential
Apartmentlist.com,National,https://www.apartmentlist.com/research,,,,Residential
Zillow,National,https://www.zillow.com/research/data/,,,,Residential
StreetEasy,NYC,https://streeteasy.com/blog/nyc-housing-market-data/market-reports/,,,,Residential
LoopNet,National,https://www.loopnet.com/learn/trends/,,,,Commercial
SquareFoot,National,https://www.squarefoot.com/blog/,,,,Commercial
Ten-X,National,https://www.ten-x.com/company/company/resources/research/,,,,Commercial
Nikki Field,NYC,https://nikkifield.com/market-report/,,,,Residential
One Sotheby's International Realty,Miami,https://www.onesothebysrealty.com/blog/category/real-estate-market-report/,,,,Residential
Coldwell Banker Residential Real Estate,Miami,https://blog.coldwellbanker.com/,,,,Residential
Berkshire Hathaway HomeServices EWM Realty,Miami,https://www.30arealestate.com/resources/market-report/,,,,Residential
Douglas Elliman,Miami,https://www.elliman.com/corporate-resources/market-reports,,,,Residential
Keyes Company,Miami,https://www.keyes.com/,,,,Residential
Compass Florida,Miami,https://www.compassfloridainsights.com/,,,,Residential
Brown Harris Stevens,Miami,https://www.bhsusa.com/market-reports,,,,Residential
Engel & Volkers,Worldwide,https://www.evrealestate.com/blog/,,,,Residential
Berkshire Hathaway HomeServices,NYC,https://www.bhhsneproperties.com/market-trends#,,,,Residential
Compass,"NYC, CT, LA, SF",https://www.compass.com/research/,,,,Residential
Best Chicago Properties,Chicago,https://www.bestchicagoproperties.com/chicago-home-buyers-guide/chicago-real-estate-trends/,,,,Residential
Baird & Warner,Chicago,https://www.bairdwarner.com/market-report/,,,,Residential
Dream Town Realty,Chicago,https://www.dreamtown.com/market-trends,,,,Residential
Rocket Homes,Chicago,https://www.rockethomes.com/real-estate-trends/il/chicago,,,,Residential
Newmark,Chicago,https://www.ngkf.com/insights/market-report/chicago-market-reports,,,,Commercial
Westside Estate Agency,Los Angeles,https://weahomes.com/news/,,,,Residential
Hilton & Hyland,Los Angeles,https://www.hiltonhyland.com/market-insights/,,,,Residential
The Agency,Los Angeles,https://www.theagencyre.com/research/,,,,Residential
Rodeo Realty,Los Angeles,https://www.rodeore.com/market-trends,,,,Residential
Nourmand and Associates,Los Angeles,http://www.nourmand.com/market-insights/downtown-la,,,,Residential
Smith & Berg,Los Angeles,https://smithandberg.com/quarterly-reports,,,,Residential
Norada Real Estate,Los Angeles,https://www.noradarealestate.com/blog/los-angeles-real-estate-market/,,,,Residential
Manage Casa,Los Angeles,https://managecasa.com/articles/california-housing-market-report/,,,,Residential
Daum Commercial,Los Angeles,https://daumcommercial.com/services/market-research/,,,,Commercial
Lucid Realty,Chicago,https://blog.lucidrealty.com/chicago-real-estate-statistics/,,,,Residential
Z Chicago,Chicago,https://www.zchicago.com/blog/,,,,Residential
Town & Country,,https://www.townandcountryhamptons.com/market-reports/,,,,
Serhant,,https://serhant.com/market-knowledge,,,,
Coldwell Banker Warburg,,https://cbwarburg.com/marketreport/,,,,
Leslie J. Garfield,,https://lesliegarfield.com/reports,,,,
Berkshire Hathaway Home Services,,https://www.bhhsnyproperties.com/market-report,,,,
Knight Frank Wealth Report,,https://www.knightfrank.com/wealthreport,,,,
Barnes Global Property Handbook,,https://barnes-newyork.com/tag/real-estate-report/,,,,
MNS,,https://www.mns.com/data,,,,
Modern Spaces,,https://www.modernspacesnyc.com/Home/Reports,,,,
Daniel Gale,,https://www.danielgale.com/daniel-gale-sothebys-international-realty-market-reports/,,,,
Marketing Directors,,https://www.themarketingdirectorsinc.com/blog,,,,
Olshan Market Reports,,https://olshan.com/marketreport.php,,,,
Houlihan Lawrence,,https://www.houlihanlawrence.com/our-insights,,,,
William Pitt,,https://www.williampitt.com/market-watch/,,,,
