,SOLD DATE,ADDRESS,CITY,PRICE,BEDS,BATHS,LOCATION,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL,LATITUDE,LONGITUDE,PRICE_AS_CURRENCY,YEAR BUILT DISPLAY,PRICE_SQUARE_FEET_AS_CURRENCY,COLOR,RANK,FULL_ADDRESS
1058,March-10-2023,1309 N Wells St #1405,Chicago,445000.0,2.0,2.0,CHI - Near North Side,1990.0,,405.0,https://www.redfin.com/IL/Chicago/1309-N-Wells-St-60610/unit-1405/home/12813894,41.9060396,-87.6340569,"$445,000",1990,$405,blue,448,1309 N Wells St #1405 Chicago
594,March-2-2023,2040 W Belmont Ave #302,Chicago,445000.0,2.0,2.0,Roscoe Village,2002.0,,318.0,https://www.redfin.com/IL/Chicago/2040-W-Belmont-Ave-60618/unit-302/home/12700988,41.9397562,-87.6797703,"$445,000",2002,$318,blue,449,2040 W Belmont Ave #302 Chicago
355,March-15-2023,2041 W Division St #203,Chicago,445000.0,2.0,2.0,CHI - West Town,2007.0,,,https://www.redfin.com/IL/Chicago/2041-W-Division-St-60622/unit-203/home/21841285,41.9028242,-87.6789643,"$445,000",2007,$nan,blue,450,2041 W Division St #203 Chicago
183,March-24-2023,3022 W Palmer Sq #102,Chicago,445000.0,2.0,2.0,CHI - Logan Square,1923.0,,297.0,https://www.redfin.com/IL/Chicago/3022-W-Palmer-Blvd-60647/unit-102/home/12807083,41.9218332,-87.7031511,"$445,000",1923,$297,blue,451,3022 W Palmer Sq #102 Chicago
407,March-28-2023,1629 S Prairie Ave #1808,Chicago,442500.0,2.0,2.0,CHI - Near South Side,2009.0,,362.0,https://www.redfin.com/IL/Chicago/1629-S-Prairie-Ave-60616/unit-1808/home/39573290,41.8594779,-87.6205433,"$442,500",2009,$362,blue,452,1629 S Prairie Ave #1808 Chicago
377,March-2-2023,1401 W Fillmore St Unit C,Chicago,442500.0,2.0,2.0,CHI - Near West Side,1997.0,,221.0,https://www.redfin.com/IL/Chicago/1401-W-Fillmore-St-60607/unit-C/home/19004246,41.8683568,-87.6618025,"$442,500",1997,$221,blue,453,1401 W Fillmore St Unit C Chicago
101,March-30-2023,2316 W Bloomingdale Ave Unit A,Chicago,442500.0,2.0,2.0,Bucktown,1998.0,,447.0,https://www.redfin.com/IL/Chicago/2316-W-Bloomingdale-Ave-60647/unit-A/home/12772166,41.9141435,-87.6857038,"$442,500",1998,$447,blue,454,2316 W Bloomingdale Ave Unit A Chicago
533,March-28-2023,637 W Armitage Ave #1,Chicago,442000.0,3.0,2.0,CHI - Lincoln Park,,,,https://www.redfin.com/IL/Chicago/637-W-Armitage-Ave-60614/unit-1/home/13348068,41.9180991,-87.645135,"$442,000",nan,$nan,blue,455,637 W Armitage Ave #1 Chicago
1702,March-31-2023,1201 W Adams St #411,Chicago,442000.0,2.0,2.0,CHI - Near West Side,2000.0,,319.0,https://www.redfin.com/IL/Chicago/1201-W-Adams-St-60607/unit-411/home/12693970,41.8789216,-87.6574003,"$442,000",2000,$319,blue,456,1201 W Adams St #411 Chicago
328,March-16-2023,5217 N Winthrop Ave #1,Chicago,441000.0,2.0,2.0,Edgewater Beach,1906.0,,315.0,https://www.redfin.com/IL/Chicago/5217-N-Winthrop-Ave-60640/unit-1/home/26780180,41.9769226,-87.6574183,"$441,000",1906,$315,blue,457,5217 N Winthrop Ave #1 Chicago
896,March-3-2023,4150 N Kenmore Ave #304,Chicago,440500.0,3.0,2.0,Buena Park,2007.0,,,https://www.redfin.com/IL/Chicago/4150-N-Kenmore-Ave-60613/unit-304/home/21810777,41.958041,-87.6565206,"$440,500",2007,$nan,blue,458,4150 N Kenmore Ave #304 Chicago
1711,March-24-2023,2248 W Belmont Ave Unit 3E,Chicago,440000.0,3.0,2.0,CHI - North Center,2006.0,,244.0,https://www.redfin.com/IL/Chicago/2248-W-Belmont-Ave-60618/unit-3E/home/12590337,41.939693,-87.6850502,"$440,000",2006,$244,blue,459,2248 W Belmont Ave Unit 3E Chicago
972,March-15-2023,1 E Schiller St Unit 4B,Chicago,440000.0,2.0,2.0,CHI - Near North Side,1961.0,,338.0,https://www.redfin.com/IL/Chicago/1-E-Schiller-St-60610/unit-4B/home/14124356,41.907619,-87.6281771,"$440,000",1961,$338,blue,460,1 E Schiller St Unit 4B Chicago
1479,March-1-2023,757 N Orleans St #904,Chicago,440000.0,2.0,1.5,CHI - Near North Side,2008.0,,,https://www.redfin.com/IL/Chicago/757-N-Orleans-St-60654/unit-904/home/52637333,41.8963014,-87.6365635,"$440,000",2008,$nan,blue,461,757 N Orleans St #904 Chicago
379,March-28-2023,746 W Cornelia Ave Unit 1W,Chicago,440000.0,2.0,2.0,CHI - Lake View,,,,https://www.redfin.com/IL/Chicago/746-W-Cornelia-Ave-60657/unit-1W/home/22037725,41.9456611,-87.6488448,"$440,000",nan,$nan,blue,462,746 W Cornelia Ave Unit 1W Chicago
1201,March-2-2023,2614 N Clybourn Ave #402,Chicago,440000.0,2.0,2.0,Riverbend Lofts,1996.0,,275.0,https://www.redfin.com/IL/Chicago/2614-N-Clybourn-Ave-60614/unit-402/home/13359349,41.9286787,-87.6754562,"$440,000",1996,$275,blue,463,2614 N Clybourn Ave #402 Chicago
759,March-1-2023,8 E Randolph St #1908,Chicago,439000.0,2.0,2.0,CHI - Loop,2008.0,,329.0,https://www.redfin.com/IL/Chicago/8-E-Randolph-St-60601/unit-1908/home/39566830,41.8846509,-87.6274029,"$439,000",2008,$329,blue,464,8 E Randolph St #1908 Chicago
960,March-3-2023,1934 N Washtenaw Ave #318,Chicago,438000.0,2.0,2.5,CHI - Logan Square,1920.0,,337.0,https://www.redfin.com/IL/Chicago/1934-N-Washtenaw-Ave-60647/unit-318/home/12719619,41.9168245,-87.6951669,"$438,000",1920,$337,blue,465,1934 N Washtenaw Ave #318 Chicago
633,March-24-2023,932 W Carmen Ave Unit 2E,Chicago,438000.0,3.0,2.0,CHI - Uptown,1909.0,,219.0,https://www.redfin.com/IL/Chicago/932-W-Carmen-Ave-60640/unit-2E/home/13398847,41.974477,-87.653923,"$438,000",1909,$219,blue,466,932 W Carmen Ave Unit 2E Chicago
1536,March-6-2023,1848 W Cullerton St #3,Chicago,436000.0,3.0,2.0,CHI - Lower West Side,,,311.0,https://www.redfin.com/IL/Chicago/1848-W-Cullerton-St-60608/unit-3/home/182708712,41.8552311,-87.6729559,"$436,000",nan,$311,blue,467,1848 W Cullerton St #3 Chicago
97,March-17-2023,5108 N Lincoln Ave #1,Chicago,435000.0,3.0,2.0,CHI - Lincoln Square,2007.0,,256.0,https://www.redfin.com/IL/Chicago/5108-N-Lincoln-Ave-60625/unit-1/home/18912639,41.974356,-87.692469,"$435,000",2007,$256,blue,468,5108 N Lincoln Ave #1 Chicago
108,March-9-2023,2001 S Calumet Ave #206,Chicago,435000.0,2.0,2.0,CHI - Near South Side,1917.0,,291.0,https://www.redfin.com/IL/Chicago/2001-S-Calumet-Ave-60616/unit-206/home/12705410,41.8553731,-87.6186778,"$435,000",1917,$291,blue,469,2001 S Calumet Ave #206 Chicago
1273,March-31-2023,4236 W Harrington Ln #4236,Chicago,435000.0,2.0,2.0,Sauganash Village,1991.0,,290.0,https://www.redfin.com/IL/Chicago/4236-Harrington-Ln-60646/unit-4236/home/143676840,41.9897628,-87.7350938,"$435,000",1991,$290,blue,470,4236 W Harrington Ln #4236 Chicago
965,March-16-2023,900 W Fullerton Ave Unit 3J,Chicago,435000.0,2.0,2.0,CHI - Lincoln Park,1971.0,,,https://www.redfin.com/IL/Chicago/900-W-Fullerton-Ave-60614/unit-3J/home/12740749,41.925642,-87.6512509,"$435,000",1971,$nan,blue,471,900 W Fullerton Ave Unit 3J Chicago
1280,March-17-2023,3432 N Ashland Ave Unit 3N,Chicago,435000.0,2.0,2.0,CHI - Lake View,2002.0,,335.0,https://www.redfin.com/IL/Chicago/3432-N-Ashland-Ave-60657/unit-3N/home/12700926,41.9442888,-87.669128,"$435,000",2002,$335,blue,472,3432 N Ashland Ave Unit 3N Chicago
260,March-13-2023,523 S Plymouth Ct #804,Chicago,435000.0,2.0,2.0,Peterson Lofts,1917.0,,311.0,https://www.redfin.com/IL/Chicago/523-S-Plymouth-Ct-60605/unit-804/home/14091987,41.8750447,-87.6283943,"$435,000",1917,$311,blue,473,523 S Plymouth Ct #804 Chicago
