,SOLD DATE,ADDRESS,CITY,PRICE,BEDS,BATHS,LOCATION,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL,LATITUDE,LONGITUDE,PRICE_AS_CURRENCY,YEAR BUILT DISPLAY,PRICE_SQUARE_FEET_AS_CURRENCY,COLOR,RANK,FULL_ADDRESS
160,February-27-2023,1480 S Busse Rd Unit 1D,Mount Prospect,140000.0,1.0,1.0,Mount Prospect,1966.0,,,https://www.redfin.com/IL/Mount-Prospect/1480-S-Busse-Rd-60056/unit-1D/home/18916079,42.0399584,-87.9611051,"$140,000",1966,$nan,blue,904,1480 S Busse Rd Unit 1D Mount Prospect
638,February-3-2023,18077 Live Oak Ct #1615,Tinley Park,139000.0,2.0,2.0,Tinley Park,1972.0,,146.0,https://www.redfin.com/IL/Tinley-Park/18077-Live-Oak-Ct-60477/unit-1615/home/12957512,41.5631379,-87.7825417,"$139,000",1972,$146,blue,905,18077 Live Oak Ct #1615 Tinley Park
708,February-17-2023,8814 Briar Ct Unit 2C,Des Plaines,138000.0,1.0,1.0,Des Plaines,1971.0,,,https://www.redfin.com/IL/Des-Plaines/8814-Briar-Ct-60016/unit-2C/home/12671794,42.0409015,-87.8564248,"$138,000",1971,$nan,blue,906,8814 Briar Ct Unit 2C Des Plaines
569,February-14-2023,15308 Treetop Dr Unit 1A,Orland Park,138000.0,1.0,1.0,Treetop,1976.0,,138.0,https://www.redfin.com/IL/Orland-Park/15308-Treetop-Dr-60462/unit-1A/home/13015216,41.6117786,-87.859138,"$138,000",1976,$138,blue,907,15308 Treetop Dr Unit 1A Orland Park
248,February-3-2023,169 E Palatine Rd Unit Q,Palatine,137500.0,2.0,1.0,Circle Park,1964.0,,153.0,https://www.redfin.com/IL/Palatine/169-E-Palatine-Rd-60067/unit-Q/home/12704465,42.1095312,-88.0384731,"$137,500",1964,$153,blue,908,169 E Palatine Rd Unit Q Palatine
699,February-24-2023,10655 S Artesian Ave Unit 2W,Chicago,137500.0,2.0,1.0,CHI - Beverly,1950.0,,172.0,https://www.redfin.com/IL/Chicago/10655-S-Artesian-Ave-60655/unit-2W/home/12628232,41.6993934,-87.6823493,"$137,500",1950,$172,blue,909,10655 S Artesian Ave Unit 2W Chicago
409,February-3-2023,6325 N Sheridan Rd #507,Chicago,137000.0,1.0,1.0,CHI - Edgewater,1974.0,,160.0,https://www.redfin.com/IL/Chicago/6325-N-Sheridan-Rd-60660/unit-507/home/13413270,41.9971722,-87.6550508,"$137,000",1974,$160,blue,910,6325 N Sheridan Rd #507 Chicago
247,February-27-2023,2430 E Brandenberry Ct Unit 1I,Arlington Heights,135399.0,1.0,1.0,Brandenberry Park,1967.0,,,https://www.redfin.com/IL/Arlington-Heights/2430-E-Brandenberry-Ct-60004/unit-1I/home/13843165,42.0966501,-87.9530467,"$135,399",1967,$nan,blue,911,2430 E Brandenberry Ct Unit 1I Arlington Heights
564,February-1-2023,8864 Northshore Dr Unit 1A,Des Plaines,135000.0,2.0,1.5,Courtland Square,1970.0,,135.0,https://www.redfin.com/IL/Des-Plaines/8864-Northshore-Dr-60016/unit-1A/home/183330497,42.0581715,-87.847033,"$135,000",1970,$135,blue,912,8864 Northshore Dr Unit 1A Des Plaines
798,February-17-2023,13256 W Circle Drive Pkwy #502,Crestwood,135000.0,2.0,2.0,Crestwood,1991.0,,,https://www.redfin.com/IL/Crestwood/13256-W-Circle-Drive-Pkwy-60445/unit-502/home/182888085,41.6501752,-87.7453072,"$135,000",1991,$nan,blue,913,13256 W Circle Drive Pkwy #502 Crestwood
