Brokerage Firm,Rank,# of Deals,$ Volume
E Realty International,1,392,"$311,792,711"
Douglas Elliman,2,358,"$264,270,021"
Keller Williams Landmark,3,296,"$231,867,497"
Compass,4,296,"$212,423,629"
Winzone Realty Inc,5,270,"$191,284,627"
Modern Spaces,6,152,"$188,967,621"
Exp Realty,7,285,"$181,613,577"
Keller Williams Landmark Ii,8,169,"$128,600,932"
Nest Seekers,9,127,"$121,255,416"
The Corcoran Group,10,121,"$100,042,216"
Daniel Gale Sotheby'S International Realty,11,106,"$99,235,770"
Remax 1St Choice,12,95,"$90,072,452"
Coldwell Banker American Homes,13,128,"$87,092,019"
Maureen Folan R E Group Llc,14,85,"$85,104,163"
Keller Williams Greater Nassau,15,103,"$79,766,515"
East Coast Realtors,16,105,"$78,484,688"
Charles Rutenberg Realty Inc,17,102,"$71,373,802"
Chase Global Realty,18,94,"$70,480,049"
Century Homes Realty Group Llc,19,92,"$70,262,170"
Remax Team,20,88,"$69,395,566"
Keystone Realty Usa Corp,21,79,"$68,707,697"
B Square Realty,22,73,"$60,958,080"
Prime Realty,23,86,"$59,710,300"
Exit Realty First Choice,24,59,"$54,434,488"
Global Real Estate Ventures Group Llc,25,73,"$50,081,551"
