Rank,Agent/Team,Brokerage Firm,# of Deals,$ Volume,Website
1,JANICE CHANG TEAM,DOUGLAS ELLIMAN,40,"$429,945,058 ",https://www.elliman.com/team/janice-chang-team/226164
2,NIKKI FIELD TEAM,SOTHEBYS INTERNATIONAL REALTY,18,"$357,875,000 ",https://nikkifield.com/team
3,DEBORAH KERN,CORCORAN GROUP,49,"$334,486,941 ",https://www.corcoran.com/real-estate-agents/detail/agent/deborah-kern/7575
4,BENALLOUL TEAM,CORCORAN GROUP,34,"$312,375,907 ",https://www.thebenalloulteam.com/
5,HILARY LANDIS,CORCORAN GROUP,33,"$309,875,907 ",https://www.corcoran.com/real-estate-agents/detail/agent/hilary-landis/7909
6,NOBLE BLACK & PARTNERS,CORCORAN GROUP (FORMERLY ELLIMAN),62,"$304,045,344 ",https://www.corcoran.com/real-estate-agents/detail/team/noble-black-partners/631
7,GOLD TEAM,CORCORAN GROUP,45,"$279,532,214 ",https://www.corcoran.com/real-estate-agents/detail/team/the-gold-team/619
8,SABRINA SALTIEL TEAM,DOUGLAS ELLIMAN,37,"$200,677,250 ",https://www.elliman.com/team/sabrina-saltiel-team/226149
9,ALEXA LAMBERT,COMPASS,30,"$197,582,714 ",https://www.compass.com/agents/alexa-lambert/
10,PETER ZAITZEFF TEAM,SERHANT,63,"$176,154,244 ",https://serhant.com/teams/zaitzeff-team
11,ELENA S SARKISSIAN,DOUGLAS ELLIMAN,38,"$175,811,108 ",https://www.elliman.com/agent/elena-sarkissian/1026426
12,EKLUND|GOMES TEAM,DOUGLAS ELLIMAN,55,"$163,688,964 ",https://www.elliman.com/team/the-eklundgomes-team/226130
13,KAI WONG TEAM,DOUGLAS ELLIMAN,43,"$135,802,537 ",https://kaiwongteam.com/about/meet-the-team/
14,SHLOMI REUVENI,CHRISTIES INTERNATIONAL REAL ESTATE,47,"$129,149,995 ",https://www.christiesrealestategroup.com/realestate/agent/shlomi-reuveni/
15,CHRISTOPHER A SALIERNO,DOUGLAS ELLIMAN,23,"$125,151,593 ",https://www.elliman.com/agent/christopher-salierno/1025676
16,ANDREW AND AMELIA TEAM,BROWN HARRIS STEVENS,105,"$123,939,895 ",https://www.bhsusa.com/bhs-leadership/andrew-and-amelia-team
17,JANE POWERS,DOUGLAS ELLIMAN,26,"$123,387,245 ",https://www.elliman.com/agent/jane-powers/1027168
18,DONNA STRUGATZ,SERHANT,22,"$121,449,722 ",https://serhant.com/agents/donna-strugatz
19,TIROSH & TEAM,DOUGLAS ELLIMAN,56,"$118,631,492 ",https://www.tiroshandteam.com/
20,HOTTINGER TEAM,CORCORAN GROUP,16,"$117,988,250 ",https://www.corcoran.com/real-estate-agents/detail/agent/richard-hottinger/22041?regionId=1
