Brokerage Firm,Rank,# of Deals,$ Volume
The Corcoran Group,1,1828,"$4,965,273,513"
Compass,2,2162,"$4,149,488,816"
Douglas Elliman,3,1732,"$3,962,235,349"
Brown Harris Stevens,4,1093,"$2,107,210,805"
Sotheby's International Realty,5,432,"$1,284,039,024"
Serhant,6,220,"$556,069,520"
Core,7,117,"$398,362,775"
Coldwell Banker Warburg,8,118,"$267,811,008"
Christie's International Real Estate / Reuveni,9,95,"$193,426,632"
Leslie J Garfield & Co,10,32,"$174,050,750"
Modlin Group Llc,11,31,"$168,269,384"
The Agency,12,103,"$159,978,606"
Nest Seekers,13,78,"$157,947,798"
R New York,14,105,"$146,927,500"
Elegran | Forbes Global Properties,15,76,"$117,515,200"
Official,16,18,"$103,811,999"
Keller Williams Nyc,17,107,"$100,498,044"
Berkshire Hathaway Homeservices New York Properties,18,59,"$72,872,400"
Engel & Volkers,19,21,"$71,206,000"
Sloane Square Llc,20,14,"$47,827,500"
Oxford Property Group,21,53,"$39,434,139"
Fox Residential,22,19,"$35,188,393"
Next Stop Ny,23,42,"$30,783,000"
Vandenberg Inc,24,5,"$29,340,000"
Digs Realty Group Llc,25,22,"$27,521,100"
