Brokerage Firm,Rank,# of Deals,$ Volume
COMPASS,1,1197,"$2,109,773,852"
CORCORAN GROUP,2,1115,"$1,640,621,444"
DOUGLAS ELLIMAN,3,546,"$915,992,558"
SERHANT,4,363,"$660,045,028"
BROWN HARRIS STEVENS,5,244,"$396,548,462"
REMAX EDGE,6,376,"$360,750,222"
REMAX REAL ESTATE PROFESSIONALS,7,109,"$122,745,711"
NEST SEEKERS,8,76,"$106,794,505"
SOTHEBYS INTERNATIONAL REALTY,9,41,"$105,131,084"
BEN BAY REALTY,10,77,"$90,320,976"
MOMENTUM REAL ESTATE,11,74,"$76,029,818"
BERKSHIRE HATHAWAY HOMESERVICES FILLMORE REAL ESTATE,12,88,"$70,367,695"
REMAX ELITE,13,66,"$70,257,260"
BEHFAR TEAM,14,48,"$64,144,370"
REVIVED RESIDENTIAL,15,45,"$60,830,912"
DANIEL GALE SOTHEBYS INTL RLTY,16,44,"$60,225,766"
EXP REALTY,17,65,"$55,456,494"
BERGEN BASIN REALTY,18,62,"$54,952,105"
FIND REAL ESTATE,19,28,"$36,932,524"
MADISON ESTATES SOTHEBYS REALTY,20,41,"$35,800,399"
KELLER WILLIAMS REALTY EMPIRE,21,40,"$35,075,731"
ROBERT DEFALCO REALTY,22,27,"$30,550,000"
COLDWELL BANKER RELIABLE,23,35,"$29,646,000"
WINZONE REALTY,24,30,"$28,386,348"
TALK OF THE TOWN REALTY,25,23,"$28,377,000"
