,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
37588,-80.19284145,25.77913242,37151,0.0,BD18019396,,,Final,All Inspections are finalized.,,,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,53 NE 5 ST,,101060301015,YES,False,2021/07/02 10:19:00+00,25.77913242,-80.19284145,T6-80-O,0.0,BD18019396037BR001,2021-06-28 15:00:00+00:00,2021/06/17 09:04:00+00,BD18019396037,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2021/09/13 10:03:00+00,76000.0,3 Day(s) 19 Hour(s) 19 Minute(s) ,3.0,0.0,ROOF WATERPROOFING,37589
37589,-80.19284145,25.77913242,37152,0.0,BD18019396,2021/08/30 09:08:00+00,,Final,All Inspections are finalized.,,,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,53 NE 5 ST,,101060301015,YES,False,2021/08/09 10:44:00+00,25.77913242,-80.19284145,T6-80-O,,BD18019396038B001,2021-06-24 15:01:00+00:00,2021/06/17 10:58:00+00,BD18019396038,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/08/30 09:08:00+00,1.0,45 Day(s) 19 Hour(s) 43 Minute(s) ,45.0,0.0,RAILINGS - METAL,37590
39975,-80.19250812,25.78794902,39376,0.0,BD19001461,2020/01/03 09:09:00+00,,Final,All Inspections are finalized.,CO,2020/01/07 15:56:00,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,1352 NE 1 AV,,131360090020,YES,False,2019/06/03 14:03:00+00,25.78794902,-80.19250812,T6-24B-O,0.0,BD19001461001B001,2019-02-14 09:31:00+00:00,2019/01/27 10:58:00+00,BD19001461001,Commercial,265000.0,4880.0,CO,REMODELING/REPAIRS,2020/01/03 09:09:00+00,265000.0,109 Day(s) 4 Hour(s) 32 Minute(s) ,109.0,4880.0,RESTAURANT (50 OR MORE OCCUPANTS),39976
49232,-80.1932462,25.78777488,49115,0.0,BD19010354,2020/09/23 22:10:00+00,,Final,All Inspections are finalized.,CC,2020/09/24 11:12:00,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,1335 NE MIAMI CT,,131360090050,YES,False,2019/09/18 13:52:00+00,25.78777488,-80.1932462,T6-24B-O,,BD19010354001B001,2019-07-01 19:03:00+00:00,2019/05/31 09:51:00+00,BD19010354001,Commercial,69125.0,790.0,CC,REMODELING/REPAIRS,2020/09/23 22:10:00+00,69125.0,78 Day(s) 18 Hour(s) 49 Minute(s) ,78.0,790.0,RESTAURANT (LESS THAN 50 OCCUPANTS),49233
49330,-80.19306415,25.78765182,49327,0.0,BD19010537,2020/08/25 12:07:00+00,,Final,All Inspections are finalized.,CO,2020/08/27 18:18:00,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,1381 NE MIAMI CT,,131360090050,YES,False,2019/10/17 10:13:00+00,25.78765182,-80.19306415,T6-24B-O,,BD19010537001B001,2019-07-19 11:03:00+00:00,2019/06/04 13:58:00+00,BD19010537001,Commercial,77525.0,886.0,CO,REMODELING/REPAIRS,2020/08/27 18:17:00+00,77525.0,89 Day(s) 23 Hour(s) 10 Minute(s) ,89.0,886.0,RESTAURANT (LESS THAN 50 OCCUPANTS),49331
49468,-80.19303448,25.78821714,49342,0.0,BD19010540,2020/09/01 13:41:00+00,,Final,All Inspections are finalized.,CC,2020/09/04 16:33:00,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,56 NE 14 ST,,131360090050,YES,False,2019/09/26 15:11:00+00,25.78821714,-80.19303448,T6-24B-O,,BD19010540001B001,2019-06-19 12:07:00+00:00,2019/06/04 14:18:00+00,BD19010540001,Commercial,73588.0,841.0,CC,REMODELING/REPAIRS,2020/09/01 13:41:00+00,73588.0,99 Day(s) 3 Hour(s) 4 Minute(s) ,99.0,841.0,RESTAURANT (LESS THAN 50 OCCUPANTS),49469
49638,-80.19325885,25.78788154,49161,0.0,BD19010373,2020/08/25 09:45:00+00,,Final,All Inspections are finalized.,CC,2020/08/27 18:21:00,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,1361 NE MIAMI CT,,131360090050,YES,False,2019/10/08 13:34:00+00,25.78788154,-80.19325885,T6-24B-O,,BD19010373001B001,2019-06-19 12:53:00+00:00,2019/05/31 11:14:00+00,BD19010373001,Commercial,105788.0,1209.0,CC,REMODELING/REPAIRS,2020/08/27 18:20:00+00,105788.0,111 Day(s) 0 Hour(s) 41 Minute(s) ,111.0,1209.0,RESTAURANT (LESS THAN 50 OCCUPANTS),49639
49843,-80.19306415,25.78765182,49181,0.0,BD19010379,2020/07/23 10:45:00+00,,Final,All Inspections are finalized.,CO,2020/07/27 07:38:00,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,1371 NE MIAMI CT,,131360090050,YES,False,2019/09/26 15:10:00+00,25.78765182,-80.19306415,T6-24B-O,,BD19010379001B001,2019-06-19 12:21:00+00:00,2019/05/31 11:36:00+00,BD19010379001,Commercial,104300.0,1192.0,CO,REMODELING/REPAIRS,2020/07/23 18:48:00+00,104300.0,99 Day(s) 2 Hour(s) 49 Minute(s) ,99.0,1192.0,RESTAURANT (LESS THAN 50 OCCUPANTS),49844
49999,-80.19306415,25.78765182,49200,0.0,BD19010386,2020/08/12 14:08:00+00,,Final,All Inspections are finalized.,CO,2020/08/13 10:27:00,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,,,1375 NE MIAMI CT,,131360090050,YES,False,2019/09/26 15:11:00+00,25.78765182,-80.19306415,T6-24B-O,,BD19010386001B001,2019-06-20 09:48:00+00:00,2019/05/31 12:07:00+00,BD19010386001,Commercial,52150.0,596.0,CO,REMODELING/REPAIRS,2020/08/12 17:28:00+00,52150.0,98 Day(s) 5 Hour(s) 23 Minute(s) ,98.0,596.0,RESTAURANT (LESS THAN 50 OCCUPANTS),50000
58920,-80.19366633,25.77917935,58490,0.0,BD19020151,2022/04/29 09:44:00+00,,Final,All Inspections are finalized.,,,250 NE 25 Street  201 ,Miami,Melo Contractors Corp.,33137.0,5 Day(s) 1 Hour(s) 19 Minute(s) ,5.0,53 NE 5 ST,2019/10/03 14:33:00+00,101060301015,YES,False,2019/10/08 16:16:00+00,25.77917935,-80.19366633,T6-80-O,100000.0,BD19020151001B001,2019-10-03 14:33:00+00:00,2019/10/02 15:00:00+00,BD19020151001,Commercial,0.0,0.0,  ,NEW CONSTRUCTION,2022/04/29 09:44:00+00,100000.0,5 Day(s) 1 Hour(s) 43 Minute(s) ,5.0,0.0,EXCAVATION/PILES/SITE AND SOIL IMPROVEMENT (BUILDING OFFICIAL ONLY),58921
