,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
4358,-80.18572668,25.79914796,4511,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,7 Day(s) 20 Hour(s) 19 Minute(s) ,7.0,788 NE 23 ST,2020/05/11 15:18:00+00,132300280050,YES,True,2020/05/19 15:32:00+00,25.79914796,-80.18572668,T6-36A-L,0.0,BD15008745034E001,2020-05-11 15:18:00+00:00,2020/05/11 10:21:00+00,BD15008745034,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2021/03/16 11:13:00+00,35000.0,8 Day(s) 0 Hour(s) 14 Minute(s) ,8.0,0.0,INTERNAL COMBUSTION ENGINE (ELECT),4359
4360,-80.18572668,25.79914796,4513,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 0 Hour(s) 3 Minute(s) ,0.0,788 NE 23 ST,2020/06/25 16:21:00+00,132300280050,YES,True,2020/06/26 15:51:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745036E001,2020-06-23 13:19:00+00:00,2020/06/09 15:55:00+00,BD15008745036,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/07/15 13:43:00+00,500.0,3 Day(s) 2 Hour(s) 32 Minute(s) ,3.0,0.0,TEMPORARY FOR TESTING,4361
4362,-80.18572668,25.79914796,4514,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 16 Hour(s) 50 Minute(s) ,0.0,788 NE 23 ST,2020/06/17 18:20:00+00,132300280050,YES,True,2020/06/23 10:13:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745037E001,2020-06-17 18:20:00+00:00,2020/06/15 16:02:00+00,BD15008745037,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/07/15 13:49:00+00,500.0,5 Day(s) 15 Hour(s) 53 Minute(s) ,5.0,0.0,TEMPORARY FOR TESTING,4363
4363,-80.18572668,25.79914796,4515,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 12 Hour(s) 0 Minute(s) ,0.0,788 NE 23 ST,2020/06/17 18:21:00+00,132300280050,YES,True,2020/06/23 10:13:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745038E001,2020-06-17 18:21:00+00:00,2020/06/15 16:08:00+00,BD15008745038,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/07/16 12:30:00+00,500.0,5 Day(s) 15 Hour(s) 52 Minute(s) ,5.0,0.0,TEMPORARY FOR TESTING,4364
4364,-80.18572668,25.79914796,4516,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 15 Hour(s) 41 Minute(s) ,0.0,788 NE 23 ST,2020/06/17 19:31:00+00,132300280050,YES,True,2020/06/23 10:13:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745039E001,2020-06-17 19:31:00+00:00,2020/06/16 08:08:00+00,BD15008745039,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/07/16 12:37:00+00,500.0,5 Day(s) 14 Hour(s) 42 Minute(s) ,5.0,0.0,TEMPORARY FOR TESTING,4365
4365,-80.18572668,25.79914796,4517,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 15 Hour(s) 43 Minute(s) ,0.0,788 NE 23 ST,2020/06/17 19:35:00+00,132300280050,YES,True,2020/06/23 10:13:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745040E001,2020-06-17 19:35:00+00:00,2020/06/16 09:08:00+00,BD15008745040,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/07/16 12:43:00+00,500.0,5 Day(s) 14 Hour(s) 38 Minute(s) ,5.0,0.0,TEMPORARY FOR TESTING,4366
4370,-80.18572668,25.79914796,4522,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 14 Hour(s) 11 Minute(s) ,0.0,788 NE 23 ST,2020/06/25 18:00:00+00,132300280050,YES,True,2020/06/26 15:51:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745045E001,2020-06-25 18:00:00+00:00,2020/06/25 11:19:00+00,BD15008745045,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/07/16 12:50:00+00,500.0,0 Day(s) 21 Hour(s) 51 Minute(s) ,0.0,0.0,TEMPORARY FOR TESTING,4371
4371,-80.18572668,25.79914796,4523,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 14 Hour(s) 15 Minute(s) ,0.0,788 NE 23 ST,2020/06/25 17:52:00+00,132300280050,YES,True,2020/06/26 15:51:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745046E001,2020-06-25 17:52:00+00:00,2020/06/25 11:33:00+00,BD15008745046,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/07/17 10:53:00+00,500.0,0 Day(s) 21 Hour(s) 59 Minute(s) ,0.0,0.0,TEMPORARY FOR TESTING,4372
4372,-80.18572668,25.79914796,4524,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 14 Hour(s) 30 Minute(s) ,0.0,788 NE 23 ST,2020/06/25 17:36:00+00,132300280050,YES,True,2020/06/26 15:51:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745047E001,2020-06-25 17:36:00+00:00,2020/06/25 13:07:00+00,BD15008745047,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/07/17 11:04:00+00,500.0,0 Day(s) 22 Hour(s) 15 Minute(s) ,0.0,0.0,TEMPORARY FOR TESTING,4373
4373,-80.18572668,25.79914796,4525,0.0,BD15008745,,,Final,All Inspections are finalized.,,,11600 DR ML KING JR ST. N. ,ST PETERSBURG,POWER DESIGN INC,33716.0,0 Day(s) 15 Hour(s) 11 Minute(s) ,0.0,788 NE 23 ST,2020/06/25 16:54:00+00,132300280050,YES,True,2020/06/26 15:51:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745048E001,2020-06-25 16:54:00+00:00,2020/06/25 13:37:00+00,BD15008745048,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/07/16 12:58:00+00,500.0,0 Day(s) 22 Hour(s) 57 Minute(s) ,0.0,0.0,TEMPORARY FOR TESTING,4374
