,MICRO_bucket,PHY_CITY,avg_price,median_price,n,SALE_MO1_NAME
297,Condominiums,Delray Beach,358967.52,224000.0,87,January
298,Condominiums,Doral,491928.57,547500.0,28,January
299,Condominiums,Fort Lauderdale,776806.06,419000.0,99,January
301,Condominiums,Greenacres,184672.73,170000.0,11,January
303,Condominiums,Hallandale Beach,430493.33,245000.0,45,January
304,Condominiums,Highland Beach,960222.22,700000.0,9,January
305,Condominiums,Hillsboro Beach,534875.0,527500.0,8,January
306,Condominiums,Hollywood,352662.79,271000.0,43,January
308,Condominiums,Hialeah,315213.51,280000.0,37,January
309,Condominiums,Hialeah Gardens,280980.0,314900.0,5,January
310,Condominiums,Homestead,325358.62,335000.0,29,January
311,Condominiums,Juno Beach,688466.67,560400.0,6,January
312,Condominiums,Jupiter,710166.67,550000.0,27,January
313,Condominiums,Key Biscayne,2513666.67,1337500.0,12,January
315,Condominiums,Lake Worth,168671.74,166500.0,23,January
317,Condominiums,Lauderdale By The Sea,864800.0,765000.0,15,January
318,Condominiums,Lauderdale Lakes,134392.31,131000.0,13,January
319,Condominiums,Lauderhill,168444.44,145000.0,27,January
320,Condominiums,Lighthouse Point,269000.0,300000.0,5,January
322,Condominiums,Margate,190444.44,166000.0,18,January
323,Condominiums,Miramar,315461.54,330000.0,13,January
324,Condominiums,Miami,1140530.95,675000.0,168,January
325,Condominiums,Miami Beach,1637300.74,600000.0,135,January
326,Condominiums,Miami Gardens,293260.0,298500.0,10,January
327,Condominiums,Miami Lakes,407312.5,365500.0,8,January
328,Condominiums,Miami Shores,390860.0,360000.0,5,January
331,Condominiums,North Palm Beach,604388.89,342500.0,18,January
332,Condominiums,North Bay Village,451555.56,460000.0,9,January
333,Condominiums,North Miami,216375.0,192500.0,12,January
334,Condominiums,North Miami Beach,308789.47,210000.0,19,January
335,Condominiums,Oakland Park,206692.31,195000.0,13,January
336,Condominiums,Opa-Locka,295860.0,285000.0,5,January
337,Condominiums,Palm Beach,2935742.05,1627512.5,22,January
338,Condominiums,Palm Beach Gardens,786035.71,370000.0,14,January
340,Condominiums,Pembroke Pines,205979.31,200000.0,29,January
341,Condominiums,Plantation,243708.0,235000.0,25,January
342,Condominiums,Pompano Beach,375576.27,260000.0,59,January
344,Condominiums,Riviera Beach,1178959.26,728000.0,27,January
345,Condominiums,Royal Palm Beach,245308.67,237426.0,6,January
347,Condominiums,Sunrise,234354.17,181000.0,24,January
349,Condominiums,Sunny Isles Beach,1547840.74,715000.0,54,January
351,Condominiums,Tamarac,185458.62,160000.0,29,January
353,Condominiums,Unincorporated County,325463.35,315000.0,221,January
354,Condominiums,Wellington,1404937.5,1587500.0,8,January
355,Condominiums,West Palm Beach,448706.26,220000.0,96,January
356,Condominiums,Weston,426142.86,355500.0,14,January
360,Condominiums,Aventura,559635.48,430000.0,62,February
361,Condominiums,Boca Raton,604875.3,280000.0,135,February
362,Condominiums,Boynton Beach,302111.65,233000.0,63,February
363,Condominiums,Bal Harbour,3247000.0,2775000.0,10,February
364,Condominiums,Bay Harbor Islands,572400.0,547500.0,10,February
365,Condominiums,Coconut Creek,175600.0,153500.0,24,February
366,Condominiums,Coral Springs,228153.85,203500.0,26,February
367,Condominiums,Coral Gables,714418.18,552500.0,22,February
368,Condominiums,Cutler Bay,293983.33,326500.0,6,February
369,Condominiums,Dania Beach,205125.0,183000.0,12,February
370,Condominiums,Davie,250900.0,247500.0,22,February
371,Condominiums,Deerfield Beach,245425.0,187250.0,32,February
372,Condominiums,Delray Beach,381790.75,245000.0,101,February
373,Condominiums,Doral,567945.95,580000.0,37,February
374,Condominiums,Fort Lauderdale,779682.0,547500.0,100,February
376,Condominiums,Greenacres,189236.84,187000.0,19,February
378,Condominiums,Hallandale Beach,444255.32,311000.0,47,February
379,Condominiums,Highland Beach,1268333.33,1212500.0,6,February
380,Condominiums,Hillsboro Beach,633687.5,499000.0,8,February
381,Condominiums,Hollywood,328229.03,277500.0,62,February
383,Condominiums,Hialeah,339754.84,300000.0,31,February
385,Condominiums,Homestead,329586.96,338000.0,23,February
387,Condominiums,Jupiter,598920.11,420000.0,28,February
388,Condominiums,Key Biscayne,1712100.0,1237500.0,12,February
389,Condominiums,Lake Park,431000.0,425000.0,5,February
390,Condominiums,Lake Worth,183678.95,160000.0,19,February
392,Condominiums,Lauderdale By The Sea,710178.57,587000.0,14,February
393,Condominiums,Lauderdale Lakes,131500.0,128000.0,7,February
394,Condominiums,Lauderhill,176145.45,160000.0,22,February
397,Condominiums,Margate,194869.57,145000.0,23,February
398,Condominiums,Miramar,274777.78,255000.0,9,February
399,Condominiums,Miami,927337.11,590000.0,194,February
400,Condominiums,Miami Beach,1294953.94,520000.0,165,February
402,Condominiums,Miami Lakes,425800.0,485000.0,11,February
405,Condominiums,North Lauderdale,192633.33,199400.0,6,February
406,Condominiums,North Palm Beach,456523.0,375000.0,20,February
407,Condominiums,North Bay Village,400000.0,360000.0,7,February
408,Condominiums,North Miami,222184.62,175000.0,13,February
409,Condominiums,North Miami Beach,458892.86,311500.0,14,February
410,Condominiums,Oakland Park,217360.0,220000.0,15,February
412,Condominiums,Palm Beach,3984975.0,2922125.0,10,February
413,Condominiums,Palm Beach Gardens,678937.75,357000.0,16,February
415,Condominiums,Pembroke Pines,185282.5,172500.0,40,February
416,Condominiums,Plantation,237480.65,210000.0,31,February
417,Condominiums,Pompano Beach,370000.0,262500.0,67,February
418,Condominiums,Palmetto Bay,250500.0,250000.0,5,February
420,Condominiums,Riviera Beach,2609375.0,1195000.0,8,February
421,Condominiums,Royal Palm Beach,239700.0,255000.0,7,February
422,Condominiums,South Palm Beach,394611.11,292500.0,9,February
423,Condominiums,Sunrise,203565.38,166000.0,26,February
425,Condominiums,Sunny Isles Beach,1499937.04,782500.0,54,February
426,Condominiums,Surfside,3353857.14,1475000.0,7,February
427,Condominiums,Tamarac,209963.89,163750.0,36,February
429,Condominiums,Unincorporated County,410927.66,345600.0,229,February
431,Condominiums,West Palm Beach,495046.05,250000.0,80,February
432,Condominiums,Weston,422615.38,335000.0,13,February
433,Condominiums,Wilton Manors,295500.0,268000.0,7,February
436,Condominiums,Aventura,680116.47,480000.0,85,March
437,Condominiums,Boca Raton,612096.28,300000.0,149,March
438,Condominiums,Boynton Beach,317410.17,245000.0,90,March
439,Condominiums,Bal Harbour,2259461.54,1400000.0,13,March
440,Condominiums,Bay Harbor Islands,2214000.0,2035000.0,5,March
441,Condominiums,Coconut Creek,216237.14,225000.0,35,March
442,Condominiums,Coral Springs,234673.91,235000.0,23,March
443,Condominiums,Coral Gables,1136982.14,765000.0,28,March
444,Condominiums,Cutler Bay,329250.0,374500.0,12,March
445,Condominiums,Dania Beach,237307.69,230000.0,13,March
446,Condominiums,Davie,247173.91,230000.0,23,March
447,Condominiums,Deerfield Beach,279583.72,207750.0,86,March
448,Condominiums,Delray Beach,311295.0,220000.0,144,March
449,Condominiums,Doral,499863.46,452500.0,52,March
450,Condominiums,Fort Lauderdale,583674.38,400000.0,121,March
451,Condominiums,Florida City,337228.57,340500.0,7,March
452,Condominiums,Greenacres,211377.47,190000.0,17,March
454,Condominiums,Hallandale Beach,370907.69,266500.0,52,March
455,Condominiums,Highland Beach,762423.33,613750.0,15,March
457,Condominiums,Hollywood,435624.73,330000.0,93,March
458,Condominiums,Hypoluxo,247166.67,246500.0,6,March
459,Condominiums,Hialeah,320605.88,270000.0,51,March
460,Condominiums,Hialeah Gardens,253640.0,255000.0,5,March
461,Condominiums,Homestead,344718.6,350000.0,43,March
462,Condominiums,Juno Beach,968985.62,713750.0,8,March
463,Condominiums,Jupiter,931814.38,625000.0,39,March
464,Condominiums,Key Biscayne,1939028.0,1100000.0,25,March
465,Condominiums,Lake Park,239600.0,164000.0,5,March
466,Condominiums,Lake Worth,164082.81,150000.0,32,March
467,Condominiums,Lantana,289500.0,270000.0,5,March
468,Condominiums,Lauderdale By The Sea,457676.47,380000.0,17,March
469,Condominiums,Lauderdale Lakes,136500.0,135000.0,10,March
470,Condominiums,Lauderhill,149583.33,129000.0,30,March
472,Condominiums,Margate,198402.38,171000.0,42,March
473,Condominiums,Miramar,293293.75,282500.0,16,March
474,Condominiums,Miami,926989.79,601000.0,235,March
475,Condominiums,Miami Beach,1392264.09,525000.0,181,March
476,Condominiums,Miami Gardens,319073.33,344000.0,15,March
477,Condominiums,Miami Lakes,416200.0,480000.0,5,March
480,Condominiums,North Lauderdale,192437.5,192000.0,8,March
481,Condominiums,North Palm Beach,728094.1,384500.0,31,March
482,Condominiums,North Bay Village,323888.89,265000.0,9,March
483,Condominiums,North Miami,247807.14,210000.0,14,March
