Status,Address,City Name,List Price Chg Date,Original List Price,List Price,% Change from Original To List Price,Sale Price,SP$/SqFt,% Change from Original to Sold Price,LP$/SqFt,SP$/LP$,CDOM (Days on Market),#Beds,#FBaths,#HBaths,SqFt Liv Area,Lot SqFt,#Garage Spaces,Pool YN,Year Built,Closing Date,List Price Chg Date,Days to Closing from Price Change
Active,9530 W Broadview Dr,Bay Harbor Islands,01/18/2023,"$25,000,000.00","$22,500,000.00",(10%),,,,"$2,632.19",,139,6,8,2,"8,548","XXX13,125.00",2,Yes,2022,,01/18/2023,
Active,1415 W 24th St,Miami Beach,12/20/2022,"$25,000,000.00","$22,500,000.00",(10%),,,,"$4,292.25",,207,5,6,2,"5,242","XXX10,500.00",2,Yes,2021,,12/20/2022,
Closed,247 E Rivo Alto Dr,Miami Beach,10/07/2022,"$20,000,000.00","$18,000,000.00",(10%),"$16,700,000.00","$3,155.71",(17%),"$3,401.36",0.93,133,6,6,1,"5,292","XXX10,500.00",2,Yes,2021,01/12/2023,10/07/2022,97
Active,345 N Hibiscus Dr,Miami Beach,03/16/2023,"$22,000,000.00","$19,995,000.00",(9%),,,,"$5,484.09",,134,3,4,0,"3,646","XXX21,000.00",2,Yes,1952,,03/16/2023,
Active,250 W San Marino Dr,Miami Beach,03/15/2023,"$22,000,000.00","$19,999,000.00",(9%),,,,"$4,510.37",,77,4,3,2,"4,434","XXX21,000.00",8,Yes,1952,,03/15/2023,
Active,9224 Bay Dr,Surfside,02/22/2023,"$13,850,000.00","$12,600,000.00",(9%),,,,"$2,297.59",,246,5,4,1,"5,484","27,126",0,Yes,1941,,02/22/2023,
Active,1142 N Venetian Dr,Miami,03/13/2023,"$21,900,000.00","$19,950,000.00",(9%),,,,"$2,984.29",,192,6,5,1,"6,685","XXX13,250.00",2,Yes,2014,,03/13/2023,
Active,3605 Flamingo Dr,Miami Beach,02/24/2023,"$13,990,000.00","$12,750,000.00",(9%),,,,"$2,056.45",,147,7,6,1,"6,200","XXX21,971.00",0,Yes,1937,,02/24/2023,
Active,2501 Lake Ave,Miami Beach,12/08/2022,"$34,900,000.00","$31,900,000.00",(9%),,,,"$5,893.22",,168,5,6,1,"5,413","XXX28,430.00",2,Yes,1940,,12/08/2022,
Active,11444 N Bayshore Dr,North Miami,10/21/2022,"$6,450,000.00","$5,900,000.00",(9%),,,,"$1,399.43",,212,5,4,1,"4,216","XXX9,375.00",2,Yes,1968,,10/21/2022,
