Status,Address,City Name,List Price Chg Date,Original List Price,List Price,% Change from Original To List Price,Sale Price,SP$/SqFt,% Change from Original to Sold Price,LP$/SqFt,SP$/LP$,CDOM (Days on Market),#Beds,#FBaths,#HBaths,SqFt Liv Area,Lot SqFt,#Garage Spaces,Pool YN,Year Built,Closing Date,List Price Chg Date,Days to Closing from Price Change
Closed,1400 Biscaya Dr,Surfside,,"$13,200,000.00","$13,200,000.00",0% ,"$11,500,000.00","$2,906.24",,"$3,335.86",0.87,144,5,6,1,"3,957","XXX18,400.00",0,Yes,1981,10/06/2022,08/08/2022,59
Closed,7737 Atlantic Way,Miami Beach,,"$21,000,000.00","$21,000,000.00",0% ,"$20,500,000.00","$2,961.14",,"$3,033.37",0.98,730,7,7,1,"6,923","XXX16,000.00",2,Yes,2012,10/05/2022,06/01/2022,126
Closed,3114 N Bay Rd,Miami Beach,,"$28,900,000.00","$28,900,000.00",0% ,"$24,750,000.00","$2,668.75",,"$3,116.24",0.86,21,7,9,1,"9,274","XXX20,500.00",3,Yes,2016,01/03/2023,11/22/2022,42
Closed,70 W San Marino Dr,Miami Beach,,"$29,000,000.00","$29,000,000.00",0% ,"$26,000,000.00","$3,829.16",,"$4,270.99",0.9,49,7,7,1,"6,790","XXX9,953.00",2,Yes,2007,10/11/2022,06/17/2022,116
Closed,182 Bal Bay Dr,Bal Harbour,,"$35,000,000.00","$35,000,000.00",0% ,"$27,828,900.00","$2,303.34",,"$2,896.87",0.8,871,8,8,3,"12,082","XXX28,500.00",2,Yes,2008,11/14/2022,11/25/2019,1085
Closed,1236 Biscaya Dr,Surfside,08/24/2022,"$17,500,000.00","$17,850,000.00",2% ,"$15,325,000.00","$1,996.74",(12%),"$2,325.73",0.86,193,6,8,0,"7,675","XXX15,000.00",2,Yes,2009,03/03/2023,08/24/2022,191
Closed,3681 Flamingo Dr,Miami Beach,10/24/2022,"$11,900,000.00","$12,500,000.00",5% ,"$11,750,000.00","$1,596.47",(1%),"$1,698.37",0.94,63,9,9,1,"7,360","XXX32,000.00",2,Yes,1936,01/17/2023,10/24/2022,85
Active,4810 N Bay Rd,Miami Beach,07/13/2022,"$26,000,000.00","$28,000,000.00",8% ,,,,"$4,067.40",,289,5,5,0,"6,884","XXX20,100.00",2,Yes,1933,,07/13/2022,
Active,1269 N Venetian Way,Miami,09/24/2022,"$22,000,000.00","$24,000,000.00",9% ,,,,"$5,253.94",,419,5,5,1,"4,568","10,500",2,Yes,2022,,09/24/2022,
Active,1005 Fisher Island Drive,Fisher Island,11/22/2022,"$33,000,000.00","$38,000,000.00",15% ,,,,"$3,725.49",,183,7,7,3,"10,200","16,177",5,Yes,2025,,11/22/2022,
Active,130 Palm Ave,Miami Beach,08/17/2021,"$40,000,000.00","$49,500,000.00",24% ,,,,"$3,271.21",,651,9,11,4,"15,132","XXX30,000.00",4,Yes,2021,,08/17/2021,
Active,4500 Prairie Ave,Miami Beach,02/14/2023,"$11,500,000.00","$14,900,000.00",30% ,,,,"$2,192.47",,478,7,5,3,"6,796","XXX24,064.00",2,No,1933,,02/14/2023,
Active,5711 Pine Tree Dr,Miami Beach,04/26/2022,"$21,000,000.00","$29,000,000.00",38% ,,,,"$3,579.81",,511,7,8,1,"8,101","XXX16,401.00",2,Yes,2016,,04/26/2022,
Active,1420 W 21st St,Miami Beach,10/15/2021,"$9,975,000.00","$13,975,000.00",40% ,,,,"$3,013.15",,740,6,7,1,"4,638",,2,Yes,2007,,10/15/2021,
Active,120 Palm Ave,Miami Beach,12/13/2022,"$20,000,000.00","$30,000,000.00",50% ,,,,"$4,988.36",,601,6,6,1,"6,014","XXX30,000.00",0,Yes,1934,,12/13/2022,
Active,1061 N Venetian Dr,Miami,01/25/2022,"$19,950,000.00","$35,000,000.00",75% ,,,,,,738,7,8,,,"XXX15,000.00",0,Yes,2022,,01/25/2022,
Active,1411 N Biscayne Point Rd,Miami Beach,01/30/2023,"$6,495,000.00","$12,495,000.00",92% ,,,,,,93,5,5,1,,"XXX11,250.00",2,Yes,2023,,01/30/2023,
Closed,6341 Allison Rd,Miami Beach,01/19/2022,"$875,000.00","$8,750,000.00",900% ,"$7,500,000.00","$1,891.07",,"$2,206.25",0.86,554,4,3,1,"3,966","XXX16,200.00",2,Yes,1942,10/17/2022,01/19/2022,271
