|URL|URL_2|HED|DEK|ADDRESS|description_link|PUB_YEAR|geo_address|loc|point|lat|lon|altitude
495|https://therealdeal.com/chicago/?p=150687|https://therealdeal.com/chicago/?p=150687|The broker who extorted “The Jills” exposed an industry secret: MLS manipulation is widespread|Kevin Tomlinson, sentenced Friday on extortion counts, said the star agents manipulated dozens of home listings|605 Ocean Boulevard|"<a href=""https://therealdeal.com/chicago/?p=150687"" target=""_blank"" rel=""noopener noreferrer"">When One Sotheby’s</a> agent Kevin Tomlinson was charged with extorting Coldwell Banker star brokers “the Jills” over manipulating the Multiple Listing Service, it exposed what many agents claim is a common practice in the industry. This one, however, was particularly egregious, market pros said."|2018|605 Ocean Boulevard Chicago, IL|2645 W North Ave, Chicago, IL 60647, USA|(41.9100202, -87.69385919999999, 0.0)|41.9100202|-87.69385919999999|0.0
496|https://therealdeal.com/chicago/?p=150799|https://therealdeal.com/chicago/?p=150799|Greenstone buying lakefront condo building in latest deconversion|Owners in the Sheridan Road property are cashing out amid the city's high demand for rental units|5815 North Sheridan Road|"<a href=""https://therealdeal.com/chicago/?p=150799"" target=""_blank"" rel=""noopener noreferrer"">Greenstone Property</a> Group is buying a lakefront condo building in Edgewater in the city’s latest string of deconversions."|2018|5815 North Sheridan Road Chicago, IL|5815 N Sheridan Rd, Chicago, IL 60660, USA|(41.9879897, -87.6549204, 0.0)|41.9879897|-87.6549204|0.0
497|https://therealdeal.com/chicago/?p=150655|https://therealdeal.com/chicago/?p=150655|Death of retail? Not so fast: Stores find ways to adapt|4,480 stores have closed so far this year|250 million overhaul of its flagship Fifth Avenue|"<a href=""https://therealdeal.com/chicago/?p=150655"" target=""_blank"" rel=""noopener noreferrer"">While many retailers</a> continue to struggle to compete against the likes of Amazon, others are learning how to adapt."|1506|250 million overhaul of its flagship Fifth Avenue Chicago, IL|5th Ave, Chicago, IL, USA|(41.9100152, -87.8399905, 0.0)|41.9100152|-87.8399905|0.0
498|https://therealdeal.com/chicago/?p=150823|https://therealdeal.com/chicago/?p=150823|IPI Partners buys Elk Grove Village suburban data center for $119M|The sale of Elk Grove Village property comes amid growing demand for data centers|1441 Touhy Avenue|"<a href=""https://therealdeal.com/chicago/?p=150823"" target=""_blank"" rel=""noopener noreferrer"">IPI Partners bought</a> an Elk Grove Village data center for $118.9 million, signaling continued investor interest in the growing industrial sector."|2018|1441 Touhy Avenue Chicago, IL|1441 Touhy Ave, Chicago, IL 60626, USA|(42.012424, -87.6674427, 0.0)|42.012424|-87.6674427|0.0
499|https://therealdeal.com/chicago/?p=150843|https://therealdeal.com/chicago/?p=150843|Emanuel heads for exit with Downtown development booming, other neighborhoods feeling left out|Massive office and apartment projects rise along the river, but critics say the mayor didn't focus on affordability|2 is St|"<a href=""https://therealdeal.com/chicago/?p=150843"" target=""_blank"" rel=""noopener noreferrer"">Mayor Rahm Emanuel</a> has regularly touted his administration’s ability to lure corporate headquarters to Downtown from the suburbs — and beyond — and last year boasted of the record number of tower cranes adding to the city’s office and residential tower development."|2018|2 is St Chicago, IL|-2, Chicago, IL 60601, USA|(41.8877466, -87.6192348, 0.0)|41.8877466|-87.6192348|0.0
500|https://therealdeal.com/chicago/?p=150899|https://therealdeal.com/chicago/?p=150899|Chicago’s top building permits in August|The long-planned Cook County Hospital redevelopment is the priciest project  on the list, followed by two other public agency projects|1835 West Harrison Street|"<a href=""https://therealdeal.com/chicago/?p=150899"" target=""_blank"" rel=""noopener noreferrer"">The redevelopment of</a> the old Cook County Hospital topped the list of construction permits granted in August, marking the start of a planned $1 billion mixed-use project."|2018|1835 West Harrison Street Chicago, IL|1835 W Harrison St, Chicago, IL 60612, USA|(41.8737811, -87.6729212, 0.0)|41.8737811|-87.6729212|0.0
501|https://therealdeal.com/chicago/?p=150931|https://therealdeal.com/chicago/?p=150931|Can Compass deliver?|Awash in venture cash and under intense pressure to show big returns, the firm is buying brokerages from coast to coast and targeting $1B in revenue|90 Fifth Avenue|"<a href=""https://therealdeal.com/chicago/?p=150931"" target=""_blank"" rel=""noopener noreferrer"">Robert Reffkin did</a> not want his picture taken. Not in front of an illuminated Compass logo. Not seated. And certainly not with his arms crossed."|1509|90 Fifth Avenue Chicago, IL|W 5th Ave, Chicago, IL, USA|(41.8749948, -87.7182159, 0.0)|41.8749948|-87.7182159|0.0
502|https://therealdeal.com/chicago/?p=150999|https://therealdeal.com/chicago/?p=150999|Related buys affordable Uptown apartment complex for seniors|The $30M acquisition adds to the firm's vast portfolio of affordable housing|4500 North Clarendon Avenue|"<a href=""https://therealdeal.com/chicago/?p=150999"" target=""_blank"" rel=""noopener noreferrer"">Related Companies</a> bought an affordable housing complex for seniors in Uptown for $29.5 million."|2018|4500 North Clarendon Avenue Chicago, IL|4500 N Clarendon Ave, Chicago, IL 60640, USA|(41.96400690000001, -87.65032, 0.0)|41.96400690000001|-87.65032|0.0
503|https://therealdeal.com/chicago/?p=151055|https://therealdeal.com/chicago/?p=151055|David Ruttenberg sues broker over botched referral deal that led to Jewelers Building sale|The prominent investor claims Daniel Knorps cut him out of the deal after he was introduced to a developer who bought the building|19 South Wabash Avenue|"<a href=""https://therealdeal.com/chicago/?p=151055"" target=""_blank"" rel=""noopener noreferrer"">Prominent property</a> investor David Ruttenberg is suing the founder of a Chicago real estate firm, claiming he failed to live up to a referral agreement governing the sale of a historic downtown building."|2018|19 South Wabash Avenue Chicago, IL|19 S Wabash Ave, Chicago, IL 60603, USA|(41.8815817, -87.6257722, 0.0)|41.8815817|-87.6257722|0.0
504|https://therealdeal.com/chicago/?p=151075|https://therealdeal.com/chicago/?p=151075|Did tech billionaire Eric Lefkofsky pay $31M for a Surf Club PH?|The buyer lists a Chicago address that is the same as for Tempus, a company founded by Lefkofsky|9001 Collins Avenue|"<a href=""https://therealdeal.com/chicago/?p=151075"" target=""_blank"" rel=""noopener noreferrer"">A penthouse at the</a> Four Seasons Residences at the Surf Club just sold for $30.7 million."|2018|9001 Collins Avenue Chicago, IL|Chicago, IL, USA|(41.8781136, -87.6297982, 0.0)|41.8781136|-87.6297982|0.0
