,borough,block,lot,cd,council,zipcode,address,zonedist1,bldgclass,landuse,ownertype,ownername,Final,lotarea, bldgarea ,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,xcoord,ycoord,zonemap,version,latitude,longitude
59,MN,1883,59,109.0,7.0,10025.0,2874 BROADWAY,R8,H8,8.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,15771,"  123,205 ",10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,1,10.0,0,8,126.17,125.0,126.0,114.0,1064700,5671350,1908,0,0,Morningside Heights Historic District,,7.81,6.02,0.0,6.5,1,1018830059,993802.0,232586.0,5c,22v2,40.8050655,-73.9654968
60,MN,541,18,102.0,1.0,10012.0,51 WASHINGTON SQUARE S,R7-2,W6,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,10637,122500,122500.0,0.0,0.0,0.0,0.0,0.0,0.0,122500.0,2,10.0,1,1,96.08,100.17,71.0,90.0,1912500,16699050,1900,1995,0,Individual Landmark,INDIVIDUAL LANDMARK,11.52,3.44,0.0,6.5,1,1005410018,984611.0,205355.0,12c,22v2,40.7303287,-73.9986975
61,MN,962,108,106.0,4.0,10016.0,540 1 AVENUE,R8,I5,8.0,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,58156,413850,413850.0,0.0,413850.0,0.0,0.0,0.0,0.0,0.0,1,24.0,0,1,291.96,254.0,0.0,0.0,10939050,55058850,1963,0,0,,,7.12,6.02,0.0,6.5,1,1009620108,991425.0,209624.0,8d,22v2,40.7420431,-73.9741074
62,MN,535,36,102.0,1.0,10012.0,17 WEST 3 STREET,R7-2,W6,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,21945,119170,119170.0,0.0,0.0,0.0,0.0,0.0,0.0,119170.0,1,13.0,0,3,105.0,209.0,105.0,209.0,2421000,13457250,1975,0,0,,,5.43,3.44,0.0,6.5,1,1005350036,985450.0,204752.0,12c,22v2,40.7286735,-73.9956704
63,MN,544,50,102.0,2.0,10003.0,16 COOPER SQUARE,M1-6/R10,W9,8.0,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,17375,117391,117391.0,0.0,0.0,22000.0,0.0,0.0,0.0,95391.0,1,7.0,0,2,126.0,176.0,126.0,176.0,1471500,13951800,1901,1966,2006,NoHo Historic District,,6.76,10.0,10.0,10.0,1,1005440050,986534.0,204476.0,12c,22v2,40.7279157,-73.9917594
64,MN,548,4,102.0,1.0,10003.0,5 UNIVERSITY PLACE,R7-2,H8,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,22220,116237,,,,,,,,,1,9.0,0,302,132.67,175.0,132.0,170.0,4999500,9168300,1962,0,0,,,5.23,3.44,0.0,6.5,1,1005480004,985689.0,205580.0,12c,22v2,40.7309461,-73.9948079
65,MN,546,15,102.0,1.0,10003.0,14 WASHINGTON PLACE,R7-2,H8,8.0,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,10997,115694,6600.0,0.0,0.0,6600.0,0.0,0.0,0.0,0.0,1,14.0,151,155,114.25,96.25,114.0,96.0,585000,2959200,1931,0,0,,,10.52,3.44,0.0,6.5,1,1005460015,985574.0,205041.0,12c,22v2,40.7294667,-73.9952229
66,BK,131,25,302.0,33.0,11201.0,101 TECH PLACE,C6-4,H8,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,19176,115591,,,,,,,,,1,18.0,0,222,126.88,144.0,120.0,50.0,1066500,9046800,2002,0,0,,,6.03,10.0,10.0,10.0,3,3001310025,988041.0,192563.0,12d,22v2,40.6952169,-73.9863289
67,MN,576,46,102.0,3.0,10011.0,60 5 AVENUE,C6-4,O3,5.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,12885,113500,113500.0,0.0,113500.0,0.0,0.0,0.0,0.0,0.0,1,8.0,0,1,103.08,125.0,103.08,125.0,2214000,17572950,1924,1986,2015,,,8.81,10.0,10.0,10.0,1,1005760046,985693.0,207061.0,12c,22v2,40.7350111,-73.9947932
68,MN,552,26,102.0,1.0,10011.0,37 WASHINGTON SQUARE W,R7-2,H8,8.0,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,8250,110447,4260.0,0.0,4260.0,0.0,0.0,0.0,0.0,0.0,1,16.0,63,67,82.5,116.0,82.5,92.0,819000,2794500,1929,0,0,Greenwich Village Historic District,,13.39,3.44,0.0,6.5,1,1005520026,984339.0,205715.0,12c,22v2,40.7313168,-73.9996789
69,MN,1962,56,109.0,7.0,10027.0,90 MORNINGSIDE DRIVE,R8,D9,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,22456,"  110,280 ",13900.0,96380.0,10900.0,3000.0,0.0,0.0,0.0,0.0,1,6.0,66,69,163.33,127.5,160.0,130.0,427950,3270150,1910,1988,0,,,4.91,6.02,0.0,6.5,1,1019620056,995840.0,233821.0,5c,22v2,40.8084528,-73.9581331
70,MN,1895,39,109.0,7.0,10025.0,410 RIVERSIDE DRIVE,R8,D3,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,9942,"  108,401 ",0.0,108401.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.0,57,57,104.33,112.0,104.0,102.0,351000,2791800,1910,1989,0,Morningside Heights Historic District,,10.9,6.02,0.0,6.5,1,1018950039,993432.0,233283.0,5c,22v2,40.806979,-73.9668323
71,MN,1963,19,109.0,7.0,10027.0,106 MORNINGSIDE DRIVE,R8,D3,3.0,,TEACHERS COLLEGE COLUMBIA UNIVERITY,COLUMBIA UNIVERSITY,17584,"  108,400 ",0.0,108400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0,87,87,101.83,167.17,99.0,155.0,369900,4252950,1912,0,0,,,6.16,6.02,0.0,6.5,1,1019630019,995945.0,234147.0,5c,22v2,40.8093475,-73.9577532
72,MN,546,21,102.0,1.0,10003.0,19 WEST 4TH STREET,R7-2,O6,5.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,11047,100628,100628.0,0.0,95628.0,5000.0,0.0,0.0,0.0,0.0,1,8.0,0,2,192.5,71.42,192.5,75.42,1017000,9479250,1900,1981,2006,,,9.11,3.44,0.0,6.5,1,1005460021,985636.0,204927.0,12c,22v2,40.7291538,-73.9949993
73,MN,1995,44,109.0,7.0,10027.0,628 WEST 125 STREET,R8,W6,8.0,X,THE TRUSTEES OF COLUMBIA UNIVERSITY IN T HE CITY OF,COLUMBIA UNIVERSITY,27609,"  95,974 ",95974.0,0.0,0.0,0.0,0.0,0.0,0.0,95974.0,1,4.0,0,2,184.08,150.0,184.0,150.0,918000,6667650,1934,1982,0,,,3.48,6.02,0.0,6.5,1,1019950044,995445.0,236744.0,5c,22v2,40.8164762,-73.9595551
74,MN,1867,9,109.0,7.0,10025.0,411 WEST 114 STREET,R8,I5,8.0,,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,COLUMBIA UNIVERSITY,10092,"  42,672 ",42672.0,0.0,0.0,0.0,0.0,0.0,0.0,42672.0,1,6.0,24,24,100.0,100.92,100.0,86.0,409500,2531250,1910,0,0,,,4.23,6.02,0.0,6.5,1,1018670009,995068.0,232674.0,5c,22v2,40.8053056,-73.9609237
75,MN,547,8,102.0,1.0,10003.0,23 WASHINGTON PLACE,R7-2,W6,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,10067,91402,91402.0,0.0,0.0,0.0,0.0,0.0,0.0,91402.0,1,10.0,0,1,100.67,100.0,100.67,100.0,2097450,8288550,1901,0,0,Individual Landmark,INDIVIDUAL LANDMARK,9.08,3.44,0.0,6.5,1,1005470008,985533.0,205264.0,12c,22v2,40.7300788,-73.9953708
76,MN,1884,61,109.0,7.0,10025.0,2890 BROADWAY,R8,H8,8.0,,THE TRUSTEES OF COLUMBIA UNIVERSITY IN T HE,COLUMBIA UNIVERSITY,12615,"  91,116 ",11606.0,0.0,0.0,11606.0,0.0,0.0,0.0,0.0,1,8.0,0,4,100.92,125.0,101.0,112.0,1506150,6098850,1908,0,0,Morningside Heights Historic District,,7.22,6.02,0.0,6.5,1,1018840061,993932.0,232820.0,5c,22v2,40.8057077,-73.9650269
77,MN,1963,1,109.0,7.0,10027.0,1221 AMSTERDAM AVENUE,R8,D6,4.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,12615,"  90,827 ",3697.0,87130.0,0.0,3697.0,0.0,0.0,0.0,0.0,1,10.0,78,80,100.92,125.0,100.0,115.0,311850,3783150,1914,1984,0,,,7.2,6.02,0.0,6.5,1,1019630001,995681.0,234175.0,5c,22v2,40.8094247,-73.9587069
78,MN,1464,21,108.0,5.0,10021.0,1293 YORK AVENUE,R10,H8,8.0,X,CORNELL UNIVERSITY,CORNELL UNIVERSITY,16561,89250,,,,,,,,,1,10.0,0,1,164.92,100.42,100.0,141.0,2515500,8595000,1954,1988,0,,,5.39,10.0,0.0,10.0,1,1014640021,996601.0,218087.0,9a,22v2,40.7652662,-73.9554131
79,MN,1895,23,109.0,7.0,10025.0,2891 BROADWAY,R8,D7,4.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,10092,"  88,332 ",5000.0,83332.0,0.0,5000.0,0.0,0.0,0.0,0.0,1,13.0,250,255,100.92,100.0,100.0,88.0,1170000,8145450,1911,1988,0,Morningside Heights Historic District,,8.75,6.02,0.0,6.5,1,1018950023,993712.0,232947.0,5c,22v2,40.8060565,-73.9658214
80,MN,1962,70,109.0,7.0,10027.0,1211 AMSTERDAM AVENUE,R8,D6,4.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,12138,"  87,979 ",6159.0,81820.0,0.0,6159.0,0.0,0.0,0.0,0.0,1,10.0,111,115,80.92,150.0,80.0,142.0,312300,5364000,1913,0,0,,,7.25,6.02,0.0,6.5,1,1019620070,995601.0,234005.0,5c,22v2,40.8089582,-73.9589961
81,MN,930,34,106.0,2.0,10010.0,421 1 AVENUE,R8,W5,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,12350,87515,87515.0,0.0,87515.0,0.0,0.0,0.0,0.0,0.0,2,11.0,0,3,125.0,98.75,97.0,122.0,1687500,8195850,1929,1984,0,,,7.09,6.02,0.0,6.5,1,1009300034,990323.0,208199.0,8d,22v2,40.7381327,-73.9780855
82,MN,1962,38,109.0,7.0,10027.0,1201 AMSTERDAM AVENUE,R8,D6,4.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,12138,"  87,271 ",4023.0,83248.0,0.0,4023.0,0.0,0.0,0.0,0.0,1,11.0,116,119,80.92,150.0,81.0,135.0,214200,6065550,1912,1987,0,,,7.19,6.02,0.0,6.5,1,1019620038,995560.0,233932.0,5c,22v2,40.8087579,-73.9591444
83,MN,550,13,102.0,1.0,10003.0,1 1/2 5 AVENUE,R6,H8,8.0,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,33275,83277,,,,,,,,,10,5.0,92,92,218.42,142.17,219.0,65.0,972000,1694250,1932,0,0,Greenwich Village Historic District,,2.5,2.43,0.0,4.8,1,1005500013,985278.0,205751.0,12c,22v2,40.7314155,-73.9962908
84,MN,1867,42,109.0,7.0,10025.0,1125 AMSTERDAM AVENUE,R8,W5,8.0,X,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,10068,"  83,170 ",83170.0,0.0,0.0,0.0,0.0,0.0,0.0,83170.0,1,10.0,0,1,100.68,100.0,100.68,100.0,351450,19206900,1997,0,0,,,8.26,6.02,0.0,6.5,1,1018670042,995018.0,233001.0,5c,22v2,40.8062032,-73.9611038
85,MN,1976,20,109.0,7.0,10027.0,509 WEST 121 STREET,R8,D3,3.0,X,TEACHERS COLLEGE COLUMBIA UNIVERITY,COLUMBIA UNIVERSITY,14525,"  81,632 ",0.0,81632.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0,110,110,150.0,101.0,150.0,79.0,337500,5267700,1911,1989,0,,,5.62,6.02,0.0,6.5,1,1019760020,995451.0,234598.0,5c,22v2,40.810586,-73.959537
86,QN,7021,100,408.0,24.0,11432.0,81-50D UTOPIA PARKWAY,R4,W6,8.0,X,ST JOHN'S UNIVERSITY,ST JOHN'S UNIVERSITY,23944,80000,80000.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,1,4.0,0,0,146.0,164.0,122.0,162.0,558000,11034450,1972,1987,0,,,3.34,0.75,0.0,2.0,4,4070210100,1041940.0,202319.0,14c,22v2,40.7218075,-73.7918755
87,MN,1884,11,109.0,7.0,10025.0,531 WEST 112 STREET,R8,D3,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,10100,"  75,569 ",1301.0,74268.0,0.0,0.0,0.0,0.0,0.0,1301.0,1,8.0,41,41,100.0,100.92,100.0,85.0,351450,1423350,1912,0,0,,,7.48,6.02,0.0,6.5,1,1018840011,994071.0,232626.0,5c,22v2,40.805175,-73.9645251
88,BX,3273,209,206.0,15.0,10458.0,2540 BELMONT AVENUE,C4-5D,W6,8.0,X,FORDHAM UNIVERSITY,FORDHAM UNIVERSITY,39123,75065,75065.0,0.0,0.0,0.0,0.0,0.0,0.0,75065.0,1,5.0,0,1,207.0,189.17,125.0,100.0,330750,6225750,1931,2017,2018,,,1.92,4.2,4.2,4.2,2,2032730209,1016648.0,252024.0,3c,22v2,40.858363,-73.8828799
89,MN,1990,29,109.0,7.0,10027.0,39 CLAREMONT AVENUE,R8,D3,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,10000,"  74,634 ",0.0,74634.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11.0,44,44,100.0,100.0,100.0,80.0,232650,2212650,1911,1988,0,Morningside Heights Historic District,,7.46,6.02,0.0,6.5,1,1019900029,994179.0,234382.0,5c,22v2,40.8099946,-73.9641324
90,MN,1896,74,109.0,7.0,10027.0,602 WEST 116 STREET,R8,D3,3.0,,THE TRUSTEES OF COLUMBIA UNIVERSITY OF THE CITY OF NEW YORK,COLUMBIA UNIVERSITY,7569,"  73,800 ",0.0,73800.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.0,45,45,75.0,100.92,73.0,80.0,405000,1616850,1908,1985,0,Morningside Heights Historic District,,9.75,6.02,0.0,6.5,1,1018960074,994012.0,233679.0,5c,22v2,40.8080653,-73.9647367
91,MN,1963,48,109.0,7.0,10027.0,110 MORNINGSIDE DRIVE,R8,D1,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,16381,"  72,222 ",0.0,72222.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,52,52,105.33,176.75,105.0,152.0,298800,3100500,1910,1986,0,,,4.41,6.02,0.0,6.5,1,1019630048,996002.0,234293.0,5c,22v2,40.8097481,-73.9575471
92,MN,547,20,102.0,1.0,10003.0,15 WASHINGTON PLACE,R7-2,W6,8.0,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,15000,71270,71270.0,0.0,0.0,0.0,0.0,0.0,0.0,71270.0,1,6.0,0,1,150.0,100.0,144.0,80.0,675000,1831500,1941,0,0,,,4.75,3.44,0.0,6.5,1,1005470020,985699.0,205156.0,12c,22v2,40.7297824,-73.9947719
93,MN,546,10,102.0,1.0,10003.0,18 WASHINGTON PLACE,R7-2,W6,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,8779,69800,69800.0,0.0,0.0,7158.0,0.0,0.0,0.0,62642.0,1,8.0,0,3,90.5,97.08,90.5,97.0,1480500,10228500,1910,2014,0,,,7.95,3.44,0.0,6.5,1,1005460010,985448.0,205123.0,12c,22v2,40.7296918,-73.9956775
94,MN,1962,61,109.0,7.0,10027.0,414 WEST 120 STREET,R8,D1,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,15000,"  64,842 ",0.0,64842.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,87,87,150.0,100.0,150.0,87.0,292050,2750400,1926,1987,0,,,4.32,6.02,0.0,6.5,1,1019620061,995730.0,233920.0,5c,22v2,40.8087247,-73.9585303
95,MN,531,20,102.0,1.0,10003.0,383 LAFAYETTE STREET,M1-5/R9A,O2,5.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,14030,64347,64347.0,0.0,64347.0,0.0,0.0,0.0,0.0,0.0,1,4.0,0,4,79.0,170.67,79.0,171.0,1354500,7931700,1913,1988,2015,NoHo Historic District,,4.59,0.0,5.0,6.5,1,1005310020,986228.0,204326.0,12c,22v2,40.7275041,-73.9928635
96,MN,1994,72,109.0,7.0,10027.0,195 CLAREMONT AVENUE,R8,D7,4.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,13650,"  63,194 ",1422.0,61772.0,0.0,1422.0,0.0,0.0,0.0,0.0,1,6.0,58,59,150.0,91.0,140.0,90.0,314550,3031650,1925,1988,0,,,4.63,6.02,0.0,6.5,1,1019940072,995268.0,236333.0,5c,22v2,40.8153483,-73.9601952
97,BK,142,50,302.0,33.0,11201.0,315 JAY STREET,C6-4,W6,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,27312,63000,63000.0,0.0,0.0,0.0,0.0,0.0,0.0,63000.0,1,,0,1,150.42,215.0,150.0,215.0,1885050,8378550,1930,0,0,,,2.31,10.0,10.0,10.0,3,3001420050,987944.0,192362.0,12d,22v2,40.6946652,-73.9866788
98,MN,1896,87,109.0,7.0,10025.0,435 RIVERSIDE DRIVE,R8,D3,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,5750,"  61,819 ",0.0,61819.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.0,35,35,102.0,103.0,103.0,93.0,360000,1663200,1910,1989,0,Morningside Heights Historic District,,10.75,6.02,0.0,6.5,1,1018960087,993746.0,233841.0,5c,22v2,40.8085102,-73.9656973
99,MN,546,33,102.0,1.0,10003.0,713 BROADWAY,C6-2G,W6,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,4975,61582,61582.0,0.0,0.0,0.0,0.0,0.0,0.0,61582.0,1,10.0,0,1,49.75,100.0,49.75,100.0,841500,5407650,1971,0,0,NoHo Historic District,,12.38,6.02,6.0,6.5,1,1005460033,985877.0,204874.0,12c,22v2,40.7290083,-73.9941297
100,MN,1990,64,109.0,7.0,10027.0,448 RIVERSIDE DRIVE,R8,D3,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,7615,"  60,576 ",0.0,60576.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.0,25,25,58.75,135.42,59.0,108.0,174600,1578600,1910,1988,0,Morningside Heights Historic District,,7.95,6.02,0.0,6.5,1,1019900064,993933.0,234113.0,5c,22v2,40.8092566,-73.9650214
101,MN,1990,13,109.0,7.0,10027.0,25 CLAREMONT AVENUE,R8,D3,3.0,X,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,7815,"  60,104 ",0.0,60104.0,0.0,0.0,0.0,0.0,0.0,0.0,1,11.0,32,32,78.08,100.0,78.0,80.0,175050,1816200,1910,1988,0,Morningside Heights Historic District,,7.69,6.02,0.0,6.5,1,1019900013,994081.0,234205.0,5c,22v2,40.8095089,-73.9644866
102,MN,1895,16,109.0,7.0,10025.0,2881 BROADWAY,R8,D7,4.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,10092,"  59,131 ",8158.0,50973.0,0.0,8158.0,0.0,0.0,0.0,0.0,1,7.0,38,43,100.92,100.92,101.0,92.0,967500,4315050,1902,0,0,Morningside Heights Historic District,,5.86,6.02,0.0,6.5,1,1018950016,993660.0,232854.0,5c,22v2,40.8058013,-73.9660093
103,MN,1884,1,109.0,7.0,10025.0,2880 BROADWAY,R8,O6,5.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,10092,"  59,018 ",59018.0,0.0,47489.0,5529.0,0.0,0.0,0.0,6000.0,1,7.0,0,6,100.92,100.0,101.0,95.0,720000,5274900,1904,0,0,Morningside Heights Historic District,,5.85,6.02,0.0,6.5,1,1018840001,993870.0,232737.0,5c,22v2,40.8054799,-73.965251
104,MN,1963,16,109.0,7.0,10027.0,100 MORNINGSIDE DRIVE,R8,D3,3.0,X,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,13275,"  58,860 ",0.0,58860.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.0,70,70,101.83,138.33,102.0,116.0,387000,3159000,1910,1974,0,,,4.43,6.02,0.0,6.5,1,1019630016,995928.0,234037.0,5c,22v2,40.8090456,-73.9578149
105,MN,1990,61,109.0,7.0,10027.0,450 RIVERSIDE DRIVE,R8,D3,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,8400,"  58,840 ",1644.0,57196.0,1644.0,0.0,0.0,0.0,0.0,0.0,1,10.0,31,32,84.0,100.0,84.0,80.0,193500,1847700,1909,1988,0,Morningside Heights Historic District,,7.0,6.02,0.0,6.5,1,1019900061,993953.0,234183.0,5c,22v2,40.8094487,-73.9649491
106,MN,1990,10,109.0,7.0,10027.0,21 CLAREMONT AVENUE,R8,D3,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,8400,"  58,750 ",2000.0,56750.0,2000.0,0.0,0.0,0.0,0.0,0.0,1,10.0,47,47,84.0,100.0,84.0,94.0,194400,2266200,1910,1988,1993,Morningside Heights Historic District,,6.99,6.02,0.0,6.5,1,1019900010,994042.0,234134.0,5c,22v2,40.8093141,-73.9646276
107,MN,1885,43,109.0,7.0,10025.0,520 WEST 114 STREET,R8,D3,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,7575,"  57,430 ",0.0,57430.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0,37,37,75.0,101.0,75.0,84.0,274050,1462950,1921,0,0,,,7.58,6.02,0.0,6.5,1,1018850043,994434.0,232843.0,5c,22v2,40.8057702,-73.9632135
108,MN,1885,40,109.0,7.0,10025.0,514 WEST 114 STREET,R8,D3,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,7575,"  57,300 ",0.0,57300.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0,49,49,75.0,101.0,75.0,82.0,360000,2560050,1920,1962,0,,,7.56,6.02,0.0,6.5,1,1018850040,994500.0,232807.0,5c,22v2,40.8056713,-73.9629752
109,MN,1884,48,109.0,7.0,10025.0,536 WEST 113 STREET,R8,D3,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,7575,"  56,780 ",0.0,56780.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0,48,48,75.0,100.92,75.0,81.0,495000,2292300,1919,0,0,,,7.5,6.02,0.0,6.5,1,1018840048,994198.0,232673.0,5c,22v2,40.8053039,-73.9640663
110,MN,546,26,102.0,1.0,10012.0,21 WEST 4 STREET,R7-2,O2,5.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,9900,56684,56684.0,0.0,56684.0,0.0,0.0,0.0,0.0,0.0,1,6.0,0,1,102.83,96.25,102.84,96.0,783000,4585950,1920,1980,0,,,5.73,3.44,0.0,6.5,1,1005460026,985538.0,204946.0,12c,22v2,40.729206,-73.9953529
111,MN,1962,44,109.0,7.0,10027.0,421 WEST 119 STREET,R8,D9,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,9275,"  56,423 ",0.0,56423.0,0.0,0.0,0.0,0.0,0.0,0.0,1,9.0,80,80,150.0,61.83,150.0,47.0,166050,3127500,1920,0,0,,,6.08,6.02,0.0,6.5,1,1019620044,995689.0,233847.0,5c,22v2,40.8085244,-73.9586785
112,MN,1990,5,109.0,7.0,10027.0,15 CLAREMONT AVENUE,R8,D3,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,8400,"  55,960 ",0.0,55960.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,27,27,119.75,64.5,119.75,53.0,194400,1620900,1909,0,0,Morningside Heights Historic District,,6.66,6.02,0.0,6.5,1,1019900005,994002.0,234039.0,5c,22v2,40.8090534,-73.9647723
113,MN,1995,31,109.0,7.0,10027.0,3207 BROADWAY,C6-1,W6,8.0,X,THE TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,17798,"  55,890 ",55890.0,0.0,55890.0,0.0,0.0,0.0,0.0,0.0,1,3.0,0,1,299.67,132.79,237.75,132.79,1800450,10494900,2016,0,0,,,3.14,3.44,6.0,6.5,1,1019950031,995740.0,236696.0,5c,22v2,40.816344,-73.9584894
114,MN,548,9,102.0,1.0,10003.0,13 UNIVERSITY PLACE,C1-7,O5,5.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,9370,55224,55224.0,0.0,50185.0,5039.0,0.0,0.0,0.0,0.0,1,6.0,0,4,118.33,75.17,118.33,75.16,1080000,5222250,1930,2000,0,,,5.89,6.02,2.0,6.5,1,1005480009,985709.0,205706.0,12c,22v2,40.731292,-73.9947357
115,MN,1867,67,109.0,7.0,10027.0,420 WEST 116 STREET,R8,O6,5.0,X,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,7569,"  55,067 ",55067.0,0.0,15750.0,0.0,0.0,0.0,0.0,39317.0,2,10.0,65,66,75.0,100.92,75.0,99.0,302850,4136850,1907,1989,1996,,,7.28,6.02,0.0,6.5,1,1018670067,995257.0,232991.0,5c,22v2,40.8061755,-73.9602405
116,MN,1990,67,109.0,7.0,10027.0,445 RIVERSIDE DRIVE,R8,D3,3.0,X,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,6935,"  55,056 ",0.0,55056.0,0.0,0.0,0.0,0.0,0.0,0.0,1,12.0,25,25,58.75,123.83,59.0,98.0,147150,2052000,1910,1988,0,Morningside Heights Historic District,,7.94,6.02,0.0,6.5,1,1019900067,993899.0,234064.0,5c,22v2,40.8091221,-73.9651443
117,MN,546,31,102.0,1.0,10003.0,4 WASHINGTON PLACE,C6-2G,W6,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,4975,54725,54725.0,0.0,0.0,0.0,0.0,0.0,0.0,54725.0,1,11.0,0,1,49.75,100.0,49.75,100.0,837000,4441050,1904,0,0,NoHo Historic District,,11.0,6.02,6.0,6.5,1,1005460031,985790.0,204930.0,12c,22v2,40.729162,-73.9944436
118,MN,1884,15,109.0,7.0,10025.0,523 WEST 112 STREET,R8,D3,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,7569,"  54,567 ",0.0,54567.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.0,49,49,75.0,100.92,75.0,85.0,360000,2402100,1925,0,0,,,7.21,6.02,0.0,6.5,1,1018840015,994148.0,232583.0,5c,22v2,40.8050569,-73.964247
