,borough,block,lot,cd,council,zipcode,address,zonedist1,bldgclass,landuse,ownertype,ownername,Final,lotarea, bldgarea ,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,xcoord,ycoord,zonemap,version,latitude,longitude
12,MN,535,8,102.0,1.0,10012.0,567 LA GUARDIA PLACE,R7-2,W6,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,51205,470400,470400.0,0.0,0.0,0.0,0.0,0.0,0.0,470400.0,1,12.0,0,1,209.0,245.0,189.0,209.0,5625000,31195800,1973,0,0,,,9.19,3.44,0.0,6.5,1,1005350008,985045.0,205013.0,12c,22v2,40.7293899,-73.9971316
13,MN,2124,35,112.0,10.0,10032.0,1148 ST NICHOLAS AVENUE,C6-2,I1,8.0,X,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,COLUMBIA UNIVERSITY,9410,"  49,431 ",49431.0,0.0,49431.0,0.0,0.0,0.0,0.0,0.0,1,9.0,0,1,104.75,103.5,0.0,0.0,330750,15886800,1996,0,0,,,5.25,6.02,6.0,6.5,1,1021240035,1001061.0,245528.0,3b,22v2,40.8405768,-73.9392438
14,MN,559,22,103.0,2.0,10003.0,126 EAST 14 STREET,C6-3X,H8,8.0,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,41950,446076,38810.0,0.0,19000.0,19810.0,0.0,0.0,0.0,0.0,1,16.0,0,3,250.0,206.5,250.0,206.0,12375000,25570800,1999,0,0,,,10.63,9.0,6.0,9.0,1,1005590022,987499.0,206441.0,12c,22v2,40.7333089,-73.9882768
15,BK,140,111,302.0,33.0,11201.0,368 JAY STREET,C5-4,W6,8.0,C,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,42375,444970,444970.0,0.0,0.0,0.0,0.0,0.0,0.0,444970.0,1,13.0,0,0,82.83,356.5,356.5,185.75,2475000,51950250,1970,0,0,,,10.5,10.0,10.0,10.0,3,3001400111,987672.0,191722.0,16c,22v2,40.6929087,-73.98766
16,MN,2139,250,112.0,10.0,10032.0,100 HAVEN AVENUE,R8,I4,8.0,X,THE TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,53625,"  1,651,267 ",1651267.0,0.0,0.0,0.0,0.0,0.0,0.0,1651267.0,2,31.0,219,236,100.0,176.0,316.0,62.0,4500000,138648150,1970,1988,0,,,30.79,6.02,0.0,6.5,1,1021390250,1000013.0,247059.0,3b,22v2,40.8447809,-73.9430278
17,MN,547,30,102.0,1.0,10003.0,715 BROADWAY,C6-2G,W6,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,31892,366268,366268.0,0.0,363768.0,2500.0,0.0,0.0,0.0,0.0,2,12.0,0,4,184.33,200.0,184.33,200.0,5670000,26424900,1896,1988,2001,NoHo Historic District,,11.48,6.02,6.0,6.5,1,1005470030,985946.0,205056.0,12c,22v2,40.7295078,-73.9938807
18,MN,1961,57,109.0,7.0,10027.0,74 MORNINGSIDE DRIVE,R8,D7,4.0,X,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,25228,"  365,100 ",10870.0,354230.0,10870.0,0.0,0.0,0.0,0.0,0.0,1,23.0,157,158,201.83,125.0,200.0,50.0,513000,19473300,1980,0,0,,,14.47,6.02,0.0,6.5,1,1019610057,995614.0,233376.0,5c,22v2,40.8072317,-73.9589503
19,MN,2139,219,112.0,10.0,10032.0,78 HAVEN AVENUE,R8,I4,8.0,X,THE TRUSTEES OF COLUMBIA UNIVERSITY IN T HE CITY OF NEW YORK,COLUMBIA UNIVERSITY,26025,"  807,327 ",807327.0,0.0,0.0,0.0,0.0,0.0,0.0,807327.0,1,31.0,0,1,85.0,200.42,52.0,124.0,2925000,74113200,1970,0,0,,,31.02,6.02,0.0,6.5,1,1021390219,999931.0,246745.0,3b,22v2,40.8439192,-73.9433249
20,BK,142,7502,302.0,33.0,11201.0,6 METROTECH CENTER,C6-4,RA,8.0,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,46024,349527,349527.0,0.0,0.0,0.0,0.0,0.0,0.0,349527.0,1,8.0,0,2,263.52,215.0,200.0,200.0,3104100,38298600,1920,0,0,,,7.59,10.0,10.0,10.0,3,3001427502,987962.0,192193.0,12d,22v2,40.6942013,-73.986614
21,MN,1995,63,109.0,7.0,10027.0,564 RIVERSIDE DRIVE,R8,D3,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,42200,"  339,104 ",137000.0,202104.0,0.0,0.0,137000.0,0.0,0.0,0.0,1,26.0,182,182,84.17,265.0,84.17,265.0,1048500,10379700,1964,0,0,,,8.04,6.02,0.0,6.5,1,1019950063,995225.0,236888.0,5c,22v2,40.8168717,-73.9603497
22,MN,467,1,103.0,2.0,10003.0,67 3 AVENUE,C6-2A,H8,8.0,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,36022,337600,7600.0,0.0,0.0,7600.0,0.0,0.0,0.0,0.0,2,14.0,0,6,206.0,347.0,206.0,190.0,10575000,27703800,1988,2009,0,,,9.37,6.02,6.0,6.5,1,1004670001,987591.0,205773.0,12c,22v2,40.7314754,-73.9879452
23,MN,545,15,102.0,2.0,10003.0,726 BROADWAY,M1-5/R9A,O6,5.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,35140,336645,336645.0,0.0,302067.0,34578.0,0.0,0.0,0.0,0.0,1,10.0,0,8,120.83,275.0,120.83,275.0,4275000,36343350,1919,1982,2014,NoHo Historic District,,9.58,0.0,5.0,6.5,1,1005450015,986228.0,204919.0,12c,22v2,40.7291317,-73.9928633
24,MN,532,8,102.0,1.0,10012.0,246 MERCER STREET,C6-2G,H8,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,40000,307312,,,,,,,,,2,20.0,0,715,200.0,200.0,172.0,174.0,2326500,23673600,1981,0,0,NoHo Historic District,,7.68,6.02,6.0,6.5,1,1005320008,985512.0,204401.0,12c,22v2,40.7277101,-73.9954468
25,MN,535,1,102.0,1.0,10012.0,44 WEST 4 STREET,R7-2,W6,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,51205,305900,305900.0,0.0,0.0,0.0,0.0,0.0,0.0,305900.0,2,11.0,0,2,245.58,209.0,221.0,209.0,6106050,40043250,1990,0,0,,,5.97,3.44,0.0,6.5,1,1005350001,985277.0,204864.0,12c,22v2,40.7289809,-73.9962946
26,MN,1995,53,109.0,7.0,10027.0,558 RIVERSIDE DRIVE,R8,D3,3.0,X,THE TRUSTEES OF COLUMBIA UNIVERSITY IN T HE,COLUMBIA UNIVERSITY,21075,"  256,528 ",78896.0,177632.0,0.0,0.0,78896.0,0.0,0.0,0.0,1,26.0,146,146,85.0,132.0,85.0,126.0,585000,8769150,1968,0,0,,,12.17,6.02,0.0,6.5,1,1019950053,995349.0,236901.0,5c,22v2,40.8169072,-73.9599017
27,MN,1464,30,108.0,5.0,10021.0,428 YORK AVENUE,R8,H8,8.0,X,CORNELL UNIVERSITY,CORNELL UNIVERSITY,30527,250171,,,,,,,,,1,15.0,0,3,304.0,100.42,376.0,96.0,5076000,21748950,1974,2004,0,,,8.2,6.02,0.0,6.5,1,1014640030,996413.0,218311.0,9a,22v2,40.7658813,-73.9560913
28,MN,843,22,105.0,2.0,10003.0,21 UNION SQUARE,C6-2A,H8,8.0,,NY UNIVERSITY,NEW YORK UNIVERSITY,28125,238204,26683.0,0.0,11500.0,5730.0,9453.0,0.0,0.0,0.0,3,12.0,0,4,89.5,216.83,89.5,216.0,8865000,22910400,1986,0,0,,,8.47,6.02,6.0,6.5,1,1008430022,986603.0,207573.0,12c,22v2,40.7364162,-73.9915094
29,MN,538,40,102.0,1.0,10012.0,566 LA GUARDIA PLACE,R7-2,W6,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,23402,232930,232930.0,0.0,0.0,0.0,0.0,0.0,0.0,232930.0,1,11.0,0,1,210.0,121.0,119.42,209.0,3159450,53072100,2000,0,0,,,9.95,3.44,0.0,6.5,1,1005380040,984829.0,205156.0,12c,22v2,40.7297825,-73.9979109
30,MN,559,12,103.0,2.0,10003.0,106 EAST 14 STREET,C6-4,H8,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,18447,216267,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,1,20.0,172,173,100.0,206.5,100.0,190.0,5850000,15179850,1998,2018,0,,,11.72,10.0,10.0,10.0,1,1005590012,987230.0,206581.0,12c,22v2,40.7336932,-73.9892473
31,MN,1998,17,109.0,7.0,10027.0,615 WEST 131 STREET,C6-1,O5,5.0,X,TRUSTEES OF COLUMBIA UNIVERSITY IN THE C ITY OF NEW,COLUMBIA UNIVERSITY,34970,"  210,000 ",210000.0,0.0,176400.0,33600.0,0.0,0.0,0.0,0.0,1,6.0,0,6,175.0,199.83,175.0,200.0,945000,22653000,1924,1997,2006,,,6.01,3.44,6.0,6.5,1,1019980017,995915.0,237427.0,5c,22v2,40.8183502,-73.9578559
32,MN,541,1,102.0,1.0,10012.0,40 WASHINGTON SQUARE S,R7-2,W6,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,41835,202521,202521.0,0.0,0.0,0.0,0.0,0.0,0.0,202521.0,1,5.0,0,1,200.17,209.0,200.16,209.0,4770000,17555400,1951,0,0,South Village Historic District,,4.84,3.44,0.0,6.5,1,1005410001,984392.0,205434.0,12c,22v2,40.7305455,-73.9994876
33,MN,931,24,106.0,2.0,10010.0,339 EAST 25 STREET,R8,W6,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,24688,198380,198380.0,0.0,28502.0,0.0,0.0,0.0,0.0,0.0,2,6.0,0,3,197.5,125.0,49.42,100.0,5554800,84618900,1921,0,0,,,8.04,6.02,0.0,6.5,1,1009310024,990422.0,208380.0,8d,22v2,40.7386294,-73.9777281
34,BX,3273,75,206.0,15.0,10458.0,685 EAST FORDHAM ROAD,R6,G1,10.0,X,FORDHAM UNIVERSITY,FORDHAM UNIVERSITY,166500,194442,,,,,,,,,1,4.0,0,1,517.75,322.08,200.0,243.0,1498500,3816900,2005,0,0,,,1.17,2.43,0.0,4.8,2,2032730075,1016961.0,252253.0,3c,22v2,40.8589904,-73.8817473
35,MN,1962,19,109.0,7.0,10027.0,88 MORNINGSIDE DRIVE,R8,D9,3.0,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,17661,"  189,905 ",12785.0,177120.0,0.0,12000.0,0.0,0.0,0.0,785.0,1,15.0,285,288,100.92,175.0,98.0,164.0,508500,11642400,1925,1986,0,,,10.75,6.02,0.0,6.5,1,1019620019,995742.0,233661.0,5c,22v2,40.8080138,-73.9584874
36,MN,1986,65,109.0,7.0,10027.0,3280 BROADWAY,C6-1,O6,5.0,P,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,COLUMBIA UNIVERSITY,30675,"  184,044 ",184044.0,0.0,134612.0,35332.0,14100.0,0.0,0.0,0.0,1,8.0,0,11,199.83,185.0,199.0,185.0,549000,10720800,1927,1990,1995,,,6.0,3.44,6.0,6.5,1,1019860065,996489.0,237399.0,6a,22v2,40.8182726,-73.9557822
37,MN,556,48,103.0,2.0,10003.0,120 EAST 12 STREET,C6-2A,H8,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,17645,181380,1380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,26.0,0,212,125.0,164.6,0.0,0.0,2699550,15285150,2006,0,0,,,10.28,6.02,6.0,6.5,1,1005560048,987225.0,206004.0,12c,22v2,40.7321095,-73.9892656
38,MN,930,20,106.0,2.0,10010.0,345 EAST 24 STREET,R8,W6,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,23777,180102,180102.0,0.0,180102.0,0.0,0.0,0.0,0.0,0.0,1,11.0,0,4,98.75,225.0,150.0,77.67,3262500,16510050,1977,2009,2009,,,7.57,6.02,0.0,6.5,1,1009300020,990235.0,208145.0,8d,22v2,40.7379845,-73.9784031
39,MN,547,1,102.0,1.0,10003.0,32 WAVERLY PLACE,R7-2,W6,8.0,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,17859,180000,180000.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,1,10.0,0,1,180.08,99.17,180.08,99.0,3802500,14557950,1900,1922,0,,,10.08,3.44,0.0,6.5,1,1005470001,985470.0,205357.0,12c,22v2,40.7303341,-73.9955981
