borough,block,lot,cd,council,zipcode,address,zonedist1,bldgclass,landuse,ownertype,ownername,Final,lotarea, bldgarea ,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,xcoord,ycoord,zonemap,version,latitude,longitude
MN,1895,55,109,7,10025,2901 BROADWAY,R8,D6,4,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,17592,"  178,897 ",13687,165210,1687,12000,0,0,0,0,2,12,131,141,175.92,100,98,174,1260000,10157400,1910,0,0,,,10.17,6.02,0,6.5,1,1018950055,993804,233117,5c,22v2,40.806523,-73.9654888
MN,776,40,105,3,10001,282 7 AVENUE,C6-2,W6,8,X,STATE UNIVERSITY OF,STATE UNIVERSITY OF NEW YORK,26399,169784,169784,0,0,0,0,0,0,169784,1,6,0,1,0,0,197.5,133.67,3690000,17498250,1974,0,0,,,6.43,6.02,6,6.5,1,1007760040,985799,211235,8d,22v2,40.7464677,-73.9944097
MN,1050,6,104,3,10018,455 WEST 40 STREET,C6-3,W5,8,X,HUNTER COLLEGE OF THE,HUNTER COLLEGE,28985,168570,168570,0,168570,0,0,0,0,0,1,6,0,0,160,197.67,133,197,3870000,12356550,1958,0,0,,,5.82,7.52,6,10,1,1010500006,985546,215536,8d,22v2,40.7582729,-73.9953219
QN,6705,1,408,24,11367,75-31 150 STREET,R4,W6,8,X,TOURO COLLEGE,TOURO COLLEGE,120000,162000,162000,0,0,0,0,0,0,162000,1,4,0,1,600,200,200,180,1485000,17978400,1999,0,0,,,1.35,0.75,0,2,4,4067050001,1035670,203316,14c,22v2,40.7245827,-73.8144877
MN,1881,3,107,7,10025,2824 BROADWAY,R9A,W6,8,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,17104,"  161,502 ",161502,0,11049,11838,0,0,0,68762,1,12,27,29,136.83,125,136.83,125,2052000,26427150,1998,0,0,,,9.44,7.52,0,7.5,1,1018810003,993529,232090,5d,22v2,40.8037044,-73.9664836
SI,620,100,501,49,10301,1 CAMPUS ROAD,R3-1,H8,8,X,WAGNER COLLEGE,WAGNER COLLEGE,31347,161500,,,,,,,,,1,14,0,1,162.83,206.83,60.83,83.83,634950,4975650,1968,0,0,,,5.15,0.5,0,1,5,5006200100,959020,163202,21b,22v2,40.6145922,-74.0908744
BK,2085,50,302,35,11201,426 DEKALB AVENUE,R6,W8,8,X,LONG ISLAND UNIVERSITY,LONG ISLAND UNIVERSITY,37765,155000,155000,0,0,0,0,0,0,155000,1,6,0,1,191,271,191,271,1062000,16852050,1975,0,0,,,4.1,2.43,0,4.8,3,3020850050,989663,191057,16c,22v2,40.6910824,-73.9804809
MN,540,14,102,1,10012,130 MAC DOUGAL STREET,R7-2,H8,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,17351,153348,40600,0,40600,0,0,0,0,0,2,14,0,2,90.67,175,175,116,5844150,8551350,1852,0,0,South Village Historic District,,8.84,3.44,0,6.5,1,1005400014,984272,205267,12c,22v2,40.7300871,-73.9999206
MN,1975,29,109,7,10027,1220 AMSTERDAM AVENUE,R8,D9,3,X,TEACHERS COLLEGE COLUMBIA UNIVERITY,COLUMBIA UNIVERSITY,25125,"  153,000 ",15800,137200,15800,0,0,0,0,0,2,9,356,356,201.83,125,201.83,125,711000,8361900,1901,1950,0,,,6.09,6.02,0,6.5,1,1019750029,995518,234319,5c,22v2,40.8098201,-73.9592954
BK,1294,1,309,35,11225,80 CROWN STREET,R6,W9,8,O,MEDGAR EVARS COLLEGE RESEARCH FOUNDA TION CUNY,MEDGAR EVARS COLLEGE,183400,147950,147950,0,0,0,0,0,0,147950,1,2,0,2,262,700,131,100,1944450,16328700,1987,0,0,,,0.81,2.43,0,4.8,3,3012940001,995881,182075,16d,22v2,40.6664229,-73.9580745
SI,593,500,501,49,10301,300 HOWARD AVENUE,R3-1,W6,8,X,ST JOHNS UNIVERSITY,ST JOHN'S UNIVERSITY,718740,146855,146855,0,0,0,0,0,0,146855,10,2,0,1,2117,1161.42,122,56,9702900,22605750,1959,0,0,,,0.2,0.5,0,1,5,5005930500,959079,165643,21b,22v2,40.6212924,-74.090671
MN,465,1,103,2,10003,31 3 AVENUE,C6-2A,H8,8,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,27583,146583,7708,0,0,7708,0,0,0,0,1,16,0,7,184.42,137,163,122,8100000,20538000,1986,0,0,,,5.31,6.02,6,6.5,1,1004650001,987306,205330,12c,22v2,40.7302595,-73.9889737
BX,5803,600,208,11,10471,4381 POST ROAD,R4,W6,8,X,MANHATTAN COLLEGE,MANHATTAN COLLEGE,72023,144307,144307,0,0,0,0,0,0,144307,1,11,0,1,146.7,292.3,146.7,200,814500,17230050,1990,0,0,,,2,0.75,0,2,2,2058030600,1012173,263828,1d,22v2,40.8907766,-73.899008
BK,2085,100,302,35,11201,150 ASHLAND PLACE,R6,G9,7,,LONG ISLAND UNIVERSITY,LONG ISLAND UNIVERSITY,76488,143586,143586,0,0,0,126567,0,0,17019,1,1,0,1,214.64,336.47,214,336,1347702,10282050,2019,0,0,,,1.88,2.43,0,4.8,3,3020850100,989964,191141,16c,22v2,40.6913128,-73.9793954
MN,1373,160,108,5,10044,22 NORTH LOOP ROAD,C4-5,H2,5,C,CORNELL UNIVERSITY,CORNELL UNIVERSITY,18555,142554,,,,,,,,,1,19,0,197,159.47,166.7,113.5,127,2688750,13028400,2018,2018,0,,,7.68,3.44,3.4,6.5,1,1013730160,996560,214690,9b,22v2,40.7559424,-73.9555673
MN,568,1,102,2,10003,35 5 AVENUE,R10,H8,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,10390,141091,19840,0,0,0,0,0,0,19840,1,15,0,1,80,124.5,80,124,2920500,9484650,1925,0,0,Greenwich Village Historic District,,13.58,10,0,10,1,1005680001,985632,206494,12c,22v2,40.7334548,-73.9950134
BX,4222,84,211,13,10461,1579 RHINELANDER AVENUE,R6A,D3,3,X,ALBERT EINSTEIN COLLEGE OF MEDICINE,ALBERT EINSTEIN COLLEGE OF MEDICINE,52200,140628,0,140628,0,0,0,0,0,0,1,6,130,130,323,164,246.67,125.75,337500,3993750,1961,0,0,,,2.69,3,0,3,2,2042220084,1028183,251203,4a,22v2,40.8560597,-73.8411859
MN,931,21,106,2,10010,334 EAST 26 STREET,R8,H8,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,19750,140423,,,,,,,,,1,25,0,1,100,197.5,60,48,4446000,16163100,1984,0,0,,,7.11,6.02,0,6.5,1,1009310021,990321,208436,8d,22v2,40.7387832,-73.9780925
MN,2139,275,112,10,10032,154 HAVEN AVENUE,R8,I4,8,X,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,17043,"  84,442 ",84442,0,0,0,0,0,0,84442,1,10,0,6,176,60,174,60,450000,8369100,1974,0,0,,,4.95,6.02,0,6.5,1,1021390275,1000071,247604,3b,22v2,40.8462767,-73.9428169
MN,562,30,102,2,10003,787 BROADWAY,C6-1,H8,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,9150,135910,,,,,,,,,1,16,0,1,53.5,168.33,53.5,168,2925000,8768700,1929,0,0,,,14.85,3.44,6,6.5,1,1005620030,986518,205993,12c,22v2,40.7320795,-73.9918166
MN,1963,60,109,7,10027,1255 AMSTERDAM AVENUE,R8,W6,8,X,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,25669,"  130,228 ",130228,0,0,0,0,0,0,130228,1,11,0,2,155.67,100,155,90,1020600,58181400,2013,0,0,,,5.07,6.02,0,6.5,1,1019630060,995853,234423,5c,22v2,40.8101051,-73.9580851
MN,552,60,102,1,10011,29 WASHINGTON SQUARE W,R7-2,H8,8,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,11400,128601,3615,0,3615,0,0,0,0,0,1,15,65,68,123.25,88.25,121,90,1674000,2981700,1927,1988,0,Greenwich Village Historic District,,11.28,3.44,0,6.5,1,1005520060,984525,206001,12c,22v2,40.7321018,-73.9990077
MN,545,6,102,2,10003,708 BROADWAY,M1-5/R9A,O6,5,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,16740,127143,127143,0,112143,15000,0,0,0,0,2,10,0,18,25,275.08,25,137,2920500,26331750,1896,1989,2018,NoHo Historic District,,7.6,0,5,6.5,1,1005450006,986132,204701,12c,22v2,40.7285334,-73.9932098
MN,1896,65,109,7,10025,2941 BROADWAY,R8,D6,4,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,12614,"  126,478 ",12184,114294,0,8000,0,0,0,4184,1,12,94,96,100.92,125,100,112,720000,5033250,1912,0,0,,,10.03,6.02,0,6.5,1,1018960065,994029,233549,5c,22v2,40.8077085,-73.9646754
MN,101,2,101,1,10038,39 PARK ROW,C6-4,W6,8,X,PACE COLLEGE,PACE COLLEGE,7865,125840,125840,0,125840,0,0,0,0,0,1,16,0,1,102.92,104,102,104,2637000,10949850,1900,1928,0,Individual Landmark,INDIVIDUAL LANDMARK,16,10,10,10,1,1001010002,982535,198556,12b,22v2,40.7116669,-74.0061861
MN,570,42,102,2,10003,7 EAST 12 STREET,C6-1,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,12700,125588,125588,0,0,0,0,0,0,125588,1,12,0,1,100,127.25,100,100,2925000,20677050,1947,1972,0,,,9.89,3.44,6,6.5,1,1005700042,986009,206891,12c,22v2,40.7345444,-73.993653
MN,546,11,102,1,10003,35 WEST 4 STREET,R7-2,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,6750,125450,125450,0,0,0,0,0,0,125450,1,13,0,2,100,95.33,100,95,1138500,10154250,1930,1982,2001,,,18.59,3.44,0,6.5,1,1005460011,985390,205042,12c,22v2,40.7294695,-73.9958868
MN,1893,3,107,6,10025,362 RIVERSIDE DRIVE,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,15183,"  124,458 ",0,124458,0,0,0,0,0,0,1,11,41,41,151.83,100,152,100,585000,13944600,1905,1985,0,Morningside Heights Historic District,,8.2,6.02,0,6.5,1,1018930003,992944,232142,5d,22v2,40.8038478,-73.9685966
MN,1883,59,109,7,10025,2874 BROADWAY,R8,H8,8,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,15771,"  123,205 ",10000,0,0,10000,0,0,0,0,1,10,0,8,126.17,125,126,114,1064700,5671350,1908,0,0,Morningside Heights Historic District,,7.81,6.02,0,6.5,1,1018830059,993802,232586,5c,22v2,40.8050655,-73.9654968
MN,541,18,102,1,10012,51 WASHINGTON SQUARE S,R7-2,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,10637,122500,122500,0,0,0,0,0,0,122500,2,10,1,1,96.08,100.17,71,90,1912500,16699050,1900,1995,0,Individual Landmark,INDIVIDUAL LANDMARK,11.52,3.44,0,6.5,1,1005410018,984611,205355,12c,22v2,40.7303287,-73.9986975
MN,962,108,106,4,10016,540 1 AVENUE,R8,I5,8,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,58156,413850,413850,0,413850,0,0,0,0,0,1,24,0,1,291.96,254,0,0,10939050,55058850,1963,0,0,,,7.12,6.02,0,6.5,1,1009620108,991425,209624,8d,22v2,40.7420431,-73.9741074
MN,575,17,102,3,10011,66 WEST 12 STREET,R6,W6,8,X,NEW SCHOOL SOC RESEAR,NEW SCHOOL,22315,120467,120467,0,0,0,0,0,0,120467,3,8,0,1,117.42,206.5,77.58,103.25,3870000,9664650,1931,0,0,Greenwich Village Historic District,INTERIOR LANDMARK,5.4,2.43,0,4.8,1,1005750017,985001,207204,12c,22v2,40.7354037,-73.9972901
MN,2149,30,112,10,10033,2501 AMSTERDAM AVENUE,R7-2,W6,8,X,YESHIVA UNIVERSITY,YESHIVA UNIVERSITY,72875,119550,119550,0,0,0,0,0,0,119550,2,7,0,2,302.67,276,99,207,1057500,8947350,1956,2012,0,,,1.64,3.44,0,6.5,1,1021490030,1003972,249008,3a,22v2,40.8501224,-73.928713
MN,535,36,102,1,10012,17 WEST 3 STREET,R7-2,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,21945,119170,119170,0,0,0,0,0,0,119170,1,13,0,3,105,209,105,209,2421000,13457250,1975,0,0,,,5.43,3.44,0,6.5,1,1005350036,985450,204752,12c,22v2,40.7286735,-73.9956704
MN,544,50,102,2,10003,16 COOPER SQUARE,M1-6/R10,W9,8,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,17375,117391,117391,0,0,22000,0,0,0,95391,1,7,0,2,126,176,126,176,1471500,13951800,1901,1966,2006,NoHo Historic District,,6.76,10,10,10,1,1005440050,986534,204476,12c,22v2,40.7279157,-73.9917594
MN,576,36,102,3,10011,2 WEST 13 STREET,C6-2,W6,8,X,NEW SCHOOL/SOCIAL RES.,NEW SCHOOL,10500,116962,116962,0,0,0,0,0,0,116962,1,12,0,2,195,103,195,26,2268000,8338500,1913,1956,0,Individual Landmark,INDIVIDUAL LANDMARK,11.14,6.02,6,6.5,1,1005760036,985695,207199,12c,22v2,40.7353899,-73.9947859
MN,548,4,102,1,10003,5 UNIVERSITY PLACE,R7-2,H8,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,22220,116237,,,,,,,,,1,9,0,302,132.67,175,132,170,4999500,9168300,1962,0,0,,,5.23,3.44,0,6.5,1,1005480004,985689,205580,12c,22v2,40.7309461,-73.9948079
MN,546,15,102,1,10003,14 WASHINGTON PLACE,R7-2,H8,8,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,10997,115694,6600,0,0,6600,0,0,0,0,1,14,151,155,114.25,96.25,114,96,585000,2959200,1931,0,0,,,10.52,3.44,0,6.5,1,1005460015,985574,205041,12c,22v2,40.7294667,-73.9952229
BK,131,25,302,33,11201,101 TECH PLACE,C6-4,H8,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,19176,115591,,,,,,,,,1,18,0,222,126.88,144,120,50,1066500,9046800,2002,0,0,,,6.03,10,10,10,3,3001310025,988041,192563,12d,22v2,40.6952169,-73.9863289
QN,6507,150,408,24,11367,148-20 REEVES AVENUE,R4,W1,8,O,QUEENS COLLEGE SCHOOL FOR MATH,QUEENS COLLEGE,62080,114369,114369,0,0,0,0,0,0,114369,1,4,0,1,344.6,203.35,340,68,977850,16514550,2004,0,0,,,1.84,0.75,0,2,4,4065070150,1033878,208438,10d,22v2,40.7386515,-73.820915
MN,576,46,102,3,10011,60 5 AVENUE,C6-4,O3,5,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,12885,113500,113500,0,113500,0,0,0,0,0,1,8,0,1,103.08,125,103.08,125,2214000,17572950,1924,1986,2015,,,8.81,10,10,10,1,1005760046,985693,207061,12c,22v2,40.7350111,-73.9947932
MN,552,26,102,1,10011,37 WASHINGTON SQUARE W,R7-2,H8,8,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,8250,110447,4260,0,4260,0,0,0,0,0,1,16,63,67,82.5,116,82.5,92,819000,2794500,1929,0,0,Greenwich Village Historic District,,13.39,3.44,0,6.5,1,1005520026,984339,205715,12c,22v2,40.7313168,-73.9996789
MN,1962,56,109,7,10027,90 MORNINGSIDE DRIVE,R8,D9,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,22456,"  110,280 ",13900,96380,10900,3000,0,0,0,0,1,6,66,69,163.33,127.5,160,130,427950,3270150,1910,1988,0,,,4.91,6.02,0,6.5,1,1019620056,995840,233821,5c,22v2,40.8084528,-73.9581331
MN,571,7502,102,2,10003,22 EAST 14 STREET,C6-1,RC,5,,NEW SCHOOL UNIVERSITY,NEW SCHOOL,15747,109696,109696,0,0,15548,0,14093,0,80055,1,5,0,2,75,206.5,0,0,2254500,10142100,1881,0,0,Individual Landmark,INDIVIDUAL LANDMARK,6.97,3.44,6,6.5,1,1005717502,986281,207100,12c,22v2,40.735118,-73.9926714
MN,1895,39,109,7,10025,410 RIVERSIDE DRIVE,R8,D3,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,9942,"  108,401 ",0,108401,0,0,0,0,0,0,1,12,57,57,104.33,112,104,102,351000,2791800,1910,1989,0,Morningside Heights Historic District,,10.9,6.02,0,6.5,1,1018950039,993432,233283,5c,22v2,40.806979,-73.9668323
MN,1963,19,109,7,10027,106 MORNINGSIDE DRIVE,R8,D3,3,,TEACHERS COLLEGE COLUMBIA UNIVERITY,COLUMBIA UNIVERSITY,17584,"  108,400 ",0,108400,0,0,0,0,0,0,1,9,87,87,101.83,167.17,99,155,369900,4252950,1912,0,0,,,6.16,6.02,0,6.5,1,1019630019,995945,234147,5c,22v2,40.8093475,-73.9577532
MN,1989,50,109,7,10027,600 WEST 120 STREET,R8,W6,8,X,BARNARD COLLEGE,BARNARD COLLEGE,38866,107520,107520,0,0,0,0,0,0,107520,1,6,0,1,200,192,200,160,1413000,9678600,1897,1956,1998,,,2.77,6.02,0,6.5,1,1019890050,994529,234536,5c,22v2,40.8104169,-73.9628678
BK,4856,12,317,40,11203,440 LENOX ROAD,R5,D1,3,X,STATE UNIVERSITY OF NEW YORK,STATE UNIVERSITY OF NEW YORK,39503,107100,0,107100,0,0,0,0,0,0,1,6,108,108,200,200,200,105,888750,3396150,1941,0,0,,,2.71,1.25,0,2,3,3048560012,999614,177589,17b,22v2,40.6541041,-73.9446286
MN,546,35,102,1,10003,707 BROADWAY,C6-2G,W6,8,X,HEBREW UNION COLLEGE-JEWISH INSTITUTE OF RELIGION,HEBREW UNION COLLEGE,11190,106063,106063,0,0,0,0,0,0,106063,1,10,0,1,49.25,200,49.25,200,1890000,8563050,1971,0,0,NoHo Historic District,,9.48,6.02,6,6.5,1,1005460035,985796,204859,12c,22v2,40.7289671,-73.994422
MN,2156,16,112,10,10033,2508 AMSTERDAM AVENUE,R7-2,W6,8,X,YESHIVA UNIVERSITY,YESHIVA UNIVERSITY,21978,105698,105698,0,0,0,0,0,0,105698,1,5,0,1,80,275,76,251,351450,5450400,1962,0,0,,,4.81,3.44,0,6.5,1,1021560016,1003650,249167,3a,22v2,40.8505595,-73.9298765
MN,546,21,102,1,10003,19 WEST 4TH STREET,R7-2,O6,5,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,11047,100628,100628,0,95628,5000,0,0,0,0,1,8,0,2,192.5,71.42,192.5,75.42,1017000,9479250,1900,1981,2006,,,9.11,3.44,0,6.5,1,1005460021,985636,204927,12c,22v2,40.7291538,-73.9949993
BX,4201,31,211,13,10461,1165 MORRIS PARK AVENUE,R4A,I5,8,X,YESHIVA UNIVERSITY,YESHIVA UNIVERSITY,20000,51389,51389,0,51389,0,0,0,0,0,1,4,0,1,200,100,156,75,225900,6477750,1969,2020,0,,,2.57,0.75,0,2,2,2042010031,1025672,249394,4a,22v2,40.8511067,-73.8502741
MN,1995,44,109,7,10027,628 WEST 125 STREET,R8,W6,8,X,THE TRUSTEES OF COLUMBIA UNIVERSITY IN T HE CITY OF,COLUMBIA UNIVERSITY,27609,"  95,974 ",95974,0,0,0,0,0,0,95974,1,4,0,2,184.08,150,184,150,918000,6667650,1934,1982,0,,,3.48,6.02,0,6.5,1,1019950044,995445,236744,5c,22v2,40.8164762,-73.9595551
BK,8760,110,315,48,11235,115 ORIENTAL BOULEVARD,R3-1,C1,2,X,CITY UNIV OF NEW YORK,CITY UNIVERSITY OF NEW YORK,207185,95104,0,95104,0,0,0,0,0,0,1,2,44,44,242.08,804.17,0,0,3060000,7071750,1938,0,0,,,0.46,0.5,0,1,3,3087600110,1001991,150588,29b,22v2,40.5799875,-73.9361329
MN,1867,9,109,7,10025,411 WEST 114 STREET,R8,I5,8,,TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,COLUMBIA UNIVERSITY,10092,"  42,672 ",42672,0,0,0,0,0,0,42672,1,6,24,24,100,100.92,100,86,409500,2531250,1910,0,0,,,4.23,6.02,0,6.5,1,1018670009,995068,232674,5c,22v2,40.8053056,-73.9609237
MN,1896,72,109,7,10025,600 WEST 116 STREET,R8,D6,4,,BARNARD COLLEGE,BARNARD COLLEGE,10091,92348,5350,86998,0,5350,0,0,0,0,1,12,63,67,100.92,100,100,87,598500,7864200,1912,0,0,Morningside Heights Historic District,,9.15,6.02,0,6.5,1,1018960072,994091,233636,5c,22v2,40.8079472,-73.9644513
BX,5779,801,208,11,10463,3801 WALDO AVENUE,R6,D1,3,X,MANHATTAN COLLEGE,MANHATTAN COLLEGE,32900,92000,6300,85700,0,0,6300,0,0,0,1,6,95,95,122.67,191.17,162,102,592200,2875050,1961,0,0,,,2.8,2.43,0,4.8,2,2057790801,1010671,262623,1d,22v2,40.8874739,-73.9044452
MN,547,8,102,1,10003,23 WASHINGTON PLACE,R7-2,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,10067,91402,91402,0,0,0,0,0,0,91402,1,10,0,1,100.67,100,100.67,100,2097450,8288550,1901,0,0,Individual Landmark,INDIVIDUAL LANDMARK,9.08,3.44,0,6.5,1,1005470008,985533,205264,12c,22v2,40.7300788,-73.9953708
MN,1884,61,109,7,10025,2890 BROADWAY,R8,H8,8,,THE TRUSTEES OF COLUMBIA UNIVERSITY IN T HE,COLUMBIA UNIVERSITY,12615,"  91,116 ",11606,0,0,11606,0,0,0,0,1,8,0,4,100.92,125,101,112,1506150,6098850,1908,0,0,Morningside Heights Historic District,,7.22,6.02,0,6.5,1,1018840061,993932,232820,5c,22v2,40.8057077,-73.9650269
MN,1963,1,109,7,10027,1221 AMSTERDAM AVENUE,R8,D6,4,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,12615,"  90,827 ",3697,87130,0,3697,0,0,0,0,1,10,78,80,100.92,125,100,115,311850,3783150,1914,1984,0,,,7.2,6.02,0,6.5,1,1019630001,995681,234175,5c,22v2,40.8094247,-73.9587069
MN,1464,21,108,5,10021,1293 YORK AVENUE,R10,H8,8,X,CORNELL UNIVERSITY,CORNELL UNIVERSITY,16561,89250,,,,,,,,,1,10,0,1,164.92,100.42,100,141,2515500,8595000,1954,1988,0,,,5.39,10,0,10,1,1014640021,996601,218087,9a,22v2,40.7652662,-73.9554131
MN,1895,23,109,7,10025,2891 BROADWAY,R8,D7,4,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,10092,"  88,332 ",5000,83332,0,5000,0,0,0,0,1,13,250,255,100.92,100,100,88,1170000,8145450,1911,1988,0,Morningside Heights Historic District,,8.75,6.02,0,6.5,1,1018950023,993712,232947,5c,22v2,40.8060565,-73.9658214
MN,1962,70,109,7,10027,1211 AMSTERDAM AVENUE,R8,D6,4,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,12138,"  87,979 ",6159,81820,0,6159,0,0,0,0,1,10,111,115,80.92,150,80,142,312300,5364000,1913,0,0,,,7.25,6.02,0,6.5,1,1019620070,995601,234005,5c,22v2,40.8089582,-73.9589961
MN,863,53,105,2,10016,48 EAST 34 STREET,C5-2,H8,8,X,YESHIVA UNIVERSITY,YESHIVA UNIVERSITY,7120,87550,,,,,,,,,1,19,0,1,72,98.75,72,66,3240000,4386600,1962,1986,0,,,12.3,10,10,10,1,1008630053,989121,211513,8d,22v2,40.7472295,-73.9824205
MN,930,34,106,2,10010,421 1 AVENUE,R8,W5,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,12350,87515,87515,0,87515,0,0,0,0,0,2,11,0,3,125,98.75,97,122,1687500,8195850,1929,1984,0,,,7.09,6.02,0,6.5,1,1009300034,990323,208199,8d,22v2,40.7381327,-73.9780855
MN,1962,38,109,7,10027,1201 AMSTERDAM AVENUE,R8,D6,4,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,12138,"  87,271 ",4023,83248,0,4023,0,0,0,0,1,11,116,119,80.92,150,81,135,214200,6065550,1912,1987,0,,,7.19,6.02,0,6.5,1,1019620038,995560,233932,5c,22v2,40.8087579,-73.9591444
MN,577,71,102,3,10011,55 WEST 13 STREET,C6-2,O3,5,X,NEW SCHOOL-SOCL RESEARCH,NEW SCHOOL,10325,86117,86117,0,86117,0,0,0,0,0,1,9,0,6,100,103.25,100,103,1071000,9143100,1900,0,0,,,8.34,6.02,6,6.5,1,1005770071,985221,207625,12c,22v2,40.7365592,-73.9964962
MN,546,40,102,1,10003,699 BROADWAY,C6-2G,W6,8,X,HEBREW UNION COLLEGE,HEBREW UNION COLLEGE,17287,85000,85000,0,0,0,0,0,0,85000,1,5,0,1,93.42,200,93.42,200,3028500,6031350,1979,0,0,NoHo Historic District,,4.92,6.02,6,6.5,1,1005460040,985766,204792,12c,22v2,40.7287832,-73.9945303
BX,4117,1,211,13,10461,MORRIS PARK AVENUE,R4,I9,8,X,ALBERT EINSTEIN COLLEGE OF MEDICINE,ALBERT EINSTEIN COLLEGE OF MEDICINE,346145,851821,851821,0,0,0,0,0,0,851821,6,9,0,7,538,369,88.83,282,2082150,55356750,1954,1995,2012,,,2.46,0.75,0,2,2,2041170001,1026825,248938,4a,22v2,40.8498496,-73.8461093
BX,5958,10,208,11,10471,755 WEST 261 STREET,R4,W6,8,X,MT ST VINCENT COLLEGE,MT ST VINCENT COLLEGE,257775,83366,83366,0,0,0,0,0,0,83366,2,3,0,1,451.33,235.25,156.5,121.75,2056500,10557900,1956,2016,0,,,0.32,0.75,0,2,2,2059580010,1010271,271393,1c,22v2,40.9115459,-73.9058578
MN,550,13,102,1,10003,1 1/2 5 AVENUE,R6,H8,8,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,33275,83277,,,,,,,,,10,5,92,92,218.42,142.17,219,65,972000,1694250,1932,0,0,Greenwich Village Historic District,,2.5,2.43,0,4.8,1,1005500013,985278,205751,12c,22v2,40.7314155,-73.9962908
MN,1867,42,109,7,10025,1125 AMSTERDAM AVENUE,R8,W5,8,X,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,10068,"  83,170 ",83170,0,0,0,0,0,0,83170,1,10,0,1,100.68,100,100.68,100,351450,19206900,1997,0,0,,,8.26,6.02,0,6.5,1,1018670042,995018,233001,5c,22v2,40.8062032,-73.9611038
MN,1976,20,109,7,10027,509 WEST 121 STREET,R8,D3,3,X,TEACHERS COLLEGE COLUMBIA UNIVERITY,COLUMBIA UNIVERSITY,14525,"  81,632 ",0,81632,0,0,0,0,0,0,1,8,110,110,150,101,150,79,337500,5267700,1911,1989,0,,,5.62,6.02,0,6.5,1,1019760020,995451,234598,5c,22v2,40.810586,-73.959537
QN,7021,100,408,24,11432,81-50D UTOPIA PARKWAY,R4,W6,8,X,ST JOHN'S UNIVERSITY,ST JOHN'S UNIVERSITY,23944,80000,80000,0,0,0,0,0,0,80000,1,4,0,0,146,164,122,162,558000,11034450,1972,1987,0,,,3.34,0.75,0,2,4,4070210100,1041940,202319,14c,22v2,40.7218075,-73.7918755
MN,1963,30,109,7,10027,1235 AMSTERDAM AVENUE,R8,H8,8,,BARNARD COLLEGE,BARNARD COLLEGE,10092,79036,3317,0,0,3317,0,0,0,0,1,15,58,62,100.92,100,102,100,389700,5664600,1968,0,0,,,7.83,6.02,0,6.5,1,1019630030,995721,234272,5c,22v2,40.8096909,-73.9585622
