borough,block,lot,cd,council,zipcode,address,zonedist1,bldgclass,landuse,ownertype,ownername,Final,lotarea, bldgarea ,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,xcoord,ycoord,zonemap,version,latitude,longitude
BX,5530,50,210,13,10465,FT SCHUYLER PARK,R4,W6,8,X,NYS MARITIME COLLEGE,NYS MARITIME COLLEGE,3635000,703265,703265,0,0,0,0,0,0,666387,39,2,0,2,353.17,454.75,160,330,8613900,67566600,1934,2012,0,Individual Landmark,INDIVIDUAL LANDMARK,0.19,0.75,0,2,2,2055300050,1040948,233334,7c,22v2,40.8069418,-73.7951927
MN,1989,1,109,7,10027,3009 BROADWAY,R8,W6,8,X,BARNARD COLLEGE,BARNARD COLLEGE,151100,698122,698122,0,570441,0,0,0,0,127681,7,14,0,1,755.5,200,250,40,4635000,85705200,1901,1987,1994,,,4.62,6.02,0,6.5,1,1019890001,994298,234118,5c,22v2,40.8092699,-73.9637029
BX,3222,62,205,14,10453,1930 SEDGWICK AVENUE,R5,W5,8,O,BRONX COMMUNITY COLLEGE,BRONX COMMUNITY COLLEGE,1347500,631237,631237,0,532237,0,0,0,0,99000,29,4,0,1,879.58,1158.08,0,0,9544500,60717150,1930,0,0,Individual Landmark,INDIVIDUAL AND INTERIOR LANDMARK,0.47,1.25,0,2,2,2032220062,1008304,251783,3a,22v2,40.8577282,-73.9130447
MN,1957,100,109,9,10031,181 CONVENT AVENUE,R7-2,W5,8,X,CITY COLLEGE,CITY COLLEGE,144342,620000,620000,0,0,0,0,0,0,620000,2,13,0,1,396.67,408.08,397.67,408.08,3247650,62129700,1971,0,0,,,4.3,3.44,0,6.5,1,1019570100,998307,237759,6a,22v2,40.819258,-73.9492133
BX,5803,801,208,11,10471,4481 MANHATTAN COLLEGE PY,R4,W6,8,X,MANHATTAN COLLEGE,MANHATTAN COLLEGE,643425,614887,614887,0,0,0,0,0,0,614887,12,3,0,1,575,292,346,186,6526350,33852600,1943,2001,0,,,0.96,0.75,0,2,2,2058030801,1011611,263601,1d,22v2,40.8901553,-73.9010416
MN,2138,95,112,10,10032,617 WEST 168 STREET,R8,I1,8,X,COLUMBIA UNIVERSITYIN THE CITY OF NEW YO RK TRUSTE,COLUMBIA UNIVERSITY,18000,"  93,600 ",93600,0,0,0,0,0,0,93600,1,7,127,129,100,180,100,180,558000,4468500,1931,0,0,,,5.2,6.02,0,6.5,1,1021380095,1000741,245954,3b,22v2,40.8417467,-73.9403993
BK,2085,1,302,35,11201,61 DEKALB AVENUE,R6,W6,8,X,LONG ISLAND UNIVERSITY,LONG ISLAND UNIVERSITY,278525,579404,579404,0,0,0,0,0,0,579404,9,15,0,2,303.33,468.1,210,107,4907592,107734500,1929,2007,2010,,,2.08,2.43,0,4.8,3,3020850001,989496,191336,16c,22v2,40.6918483,-73.9810829
MN,102,1,101,1,10038,154 NASSAU STREET,C6-4,W6,8,X,PACE UNIVERSITY,PACE UNIVERSITY,108027,526781,526781,0,526781,0,0,0,0,0,1,18,0,0,200.42,645,140,565,20659950,53545950,1968,2013,0,,,4.88,10,10,10,1,1001020001,982922,198373,12b,22v2,40.7111647,-74.0047902
MN,2124,39,112,10,10032,1146 ST NICHOLAS AVENUE,C6-2,I1,8,X,COLUMBIA UNIVERSITYETC,COLUMBIA UNIVERSITY,2990,"  49,431 ",49431,0,49431,0,0,0,0,0,1,9,0,1,26.17,114.25,0,0,105750,6452550,1996,0,0,,,16.53,6.02,6,6.5,1,1021240039,1001059,245458,3b,22v2,40.8403847,-73.9392512
MN,1997,1,109,7,10027,2285 12 AVENUE,C6-1,W6,8,X,TRUSTEES OF COLUMBIA UNIVERSITY IN THE C ITY OF NEW,COLUMBIA UNIVERSITY,154876,"  478,842 ",478842,0,0,12556,0,0,0,466286,1,11,0,6,199.83,775,190,305,13536000,105875550,2019,2018,0,,,3.09,3.44,6,6.5,1,1019970001,995705,237248,5c,22v2,40.8178592,-73.9586149
MN,1975,1,109,7,10027,3040 BROADWAY,R8,W6,8,X,TEACHERS COLLEGE COLUMBIA UNIVERITY,COLUMBIA UNIVERSITY,133715,"  476,512 ",476512,0,0,0,0,0,0,476512,8,9,0,1,201.83,650,200,100,5130450,36517950,1910,0,0,,,3.56,6.02,0,6.5,1,1019750001,995176,234514,5c,22v2,40.8103558,-73.9605306
MN,535,8,102,1,10012,567 LA GUARDIA PLACE,R7-2,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,51205,470400,470400,0,0,0,0,0,0,470400,1,12,0,1,209,245,189,209,5625000,31195800,1973,0,0,,,9.19,3.44,0,6.5,1,1005350008,985045,205013,12c,22v2,40.7293899,-73.9971316
MN,2124,35,112,10,10032,1148 ST NICHOLAS AVENUE,C6-2,I1,8,X,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,COLUMBIA UNIVERSITY,9410,"  49,431 ",49431,0,49431,0,0,0,0,0,1,9,0,1,104.75,103.5,0,0,330750,15886800,1996,0,0,,,5.25,6.02,6,6.5,1,1021240035,1001061,245528,3b,22v2,40.8405768,-73.9392438
MN,559,22,103,2,10003,126 EAST 14 STREET,C6-3X,H8,8,,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,41950,446076,38810,0,19000,19810,0,0,0,0,1,16,0,3,250,206.5,250,206,12375000,25570800,1999,0,0,,,10.63,9,6,9,1,1005590022,987499,206441,12c,22v2,40.7333089,-73.9882768
BK,140,111,302,33,11201,368 JAY STREET,C5-4,W6,8,C,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,42375,444970,444970,0,0,0,0,0,0,444970,1,13,0,0,82.83,356.5,356.5,185.75,2475000,51950250,1970,0,0,,,10.5,10,10,10,3,3001400111,987672,191722,16c,22v2,40.6929087,-73.98766
MN,2139,250,112,10,10032,100 HAVEN AVENUE,R8,I4,8,X,THE TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,53625,"  1,651,267 ",1651267,0,0,0,0,0,0,1651267,2,31,219,236,100,176,316,62,4500000,138648150,1970,1988,0,,,30.79,6.02,0,6.5,1,1021390250,1000013,247059,3b,22v2,40.8447809,-73.9430278
