URL,Tags
https://therealdeal.com/chicago/2022/11/29/aurora-starts-process-of-creating-tif-district-for-hollywood-casino/,"meter,aurora,casinos,chicago suburbs,jay snowden,penn entertainment"
https://therealdeal.com/chicago/2022/11/28/wirtz-family-pitches-700-acre-ivanhoe-village-for-mundelein/null,0
https://therealdeal.com/chicago/2022/11/28/wirtz-family-pitches-700-acre-ivanhoe-village-for-mundelein/,"meter,chicago suburbs,development,mundelein,wirtz residential"
https://therealdeal.com/chicago/2022/11/28/loop-capital-relocates-within-namesake-neighborhood/,"meter,central loop,chicago office market,downtown"
https://therealdeal.com/chicago/2022/11/28/lincoln-parks-leon-hotel-hits-the-market/,"meter,affordable housing,conversion,development,lincoln park"
https://therealdeal.com/chicago/2022/11/28/highland-park-estate-seeks-record-price-on-relisting/,"meter,highland park,housing market,luxury real estate,residential real estate"
https://therealdeal.com/chicago/2022/11/28/habitats-west-side-affordable-housing-development-scores-permit/,"meter,affordable housing,chicago,development"
https://therealdeal.com/chicago/2022/11/23/mall-owner-sues-cook-county-over-tax-assessments/,"meter,bankruptcy,retail,shopping malls,suburban chicago"
https://therealdeal.com/chicago/2022/11/23/highland-senior-living-project-granted-extension/,"meter,highland,indiana,senior housing"
https://therealdeal.com/chicago/2022/11/23/affordable-housing-project-approved-for-lincoln-square/,"meter,affordable housing,development,lincoln square"
https://therealdeal.com/chicago/2022/11/22/city-adopts-western-avenue-corridor-study/,"meter,chicago,development,downtown"
https://therealdeal.com/chicago/2022/11/22/chicago-okays-controversial-cannabis-store-relocation/,"meter,cannabis,downtown,politics,river north"
https://therealdeal.com/chicago/2022/11/22/ballys-completes-sale-and-leaseback-of-freedom-center/,"meter,bally’s,casino,chicago tribune,development,river west"
https://therealdeal.com/chicago/2022/11/21/thor-wins-unpaid-rent-suit-against-fulton-market-weed-dispensary/,"subscriber-inline,cannabis,chicago,fulton market,lawsuits,thor equities"
https://therealdeal.com/chicago/2022/11/21/movers-stafford-to-head-boma-avison-snags-former-telos-broker-more/,"meter,avison young,ca ventures,centerpoint properties,greystar,prologis"
https://therealdeal.com/chicago/2022/11/21/chicagos-luxury-listings-have-one-weakness-price/,"subscriber-inline,gold coast,housing market,luxury real estate,north shore,residential real estate"
https://therealdeal.com/chicago/2022/11/21/ballys-finalizes-200m-freedom-center-buy-for-casino/,"meter,bally’s,casino,chicago tribune,development,river west"
https://therealdeal.com/chicago/2022/11/19/chicago-real-estate-pros-gather-gripe-at-lincoln-park-forum/,"meter,chicago,jeff shapack,lincoln park,north side"
https://therealdeal.com/chicago/2022/11/18/southeast-side-residents-skeptical-of-ozinga-ventures-underground-warehouse/,"meter,development,industrial market,southeast side"
https://therealdeal.com/chicago/2022/11/18/r2-companies-inks-54000-sf-in-goose-island-office-leases/,"subscriber-inline,chicago,goose island,office market,r2 companies"
https://therealdeal.com/chicago/2022/11/18/novak-redevelopment-still-on-hold-from-stop-work-order/,"meter,affordable housing,development,six corner"
https://therealdeal.com/chicago/2022/11/18/lake-forest-home-of-nancy-hughes-sells-for-13m/,"meter,celebrity real estate,lake forest,luxury housing,suburban chicago"
https://therealdeal.com/chicago/2022/11/18/jason-bordainick-enters-south-side-for-28m/,"subscriber-inline,affordable housing,bronzeville,chicago,kenwood,multifamily market,south side"
https://therealdeal.com/chicago/2022/11/17/twin-brook-snags-wacker-drive-sublease-in-expansion/,"meter,office market,sublease,wacker drive,west loop"
https://therealdeal.com/chicago/2022/11/17/manulife-seeks-buyer-for-likely-loss-on-loop-offices/,"meter,loop,manulife,office market"
https://therealdeal.com/chicago/2022/11/17/interra-doubles-up-on-multifamily-deals-on-the-north-shore/,"meter,apartments,chicago multifamily,north shore"
https://therealdeal.com/chicago/2022/11/17/bradford-allen-office-brokerage-founders-embrace-multifamily/,"meter,apartments,chicago,development,multifamily market"
https://therealdeal.com/chicago/2022/11/17/bradford-allen-office-brokerage-founders-embrace-multifamily/,"subscriber-inline,apartments,chicago,development,multifamily market"
https://therealdeal.com/chicago/2022/11/16/skokie-residents-battle-condo-conversion-plan/,"meter,condo deconversions,condo market,multifamily market,skokie,suburban chicago"
https://therealdeal.com/chicago/2022/11/16/nick-ryans-marquette-scores-104m-for-west-loop-apartments/,"meter,apartments,fulton market,west loop"
https://therealdeal.com/chicago/2022/11/16/lincoln-park-2550-closing-tops-cook-countys-weekly-condo-sales/,"subscriber-inline,condos,lincoln park,loop,near north side,near west side,weekly condo sales"
https://therealdeal.com/chicago/2022/11/16/lincoln-park-2550-closing-tops-cook-countys-weekly-condo-sales/,"meter,condos,lincoln park,loop,near north side,near west side,weekly condo sales"
https://therealdeal.com/chicago/2022/11/16/craig-golden-and-marc-realtys-hotel-to-gym-pivot-approved/,"meter,development,logan square"
https://therealdeal.com/chicago/2022/11/16/another-downtown-evanston-hotel-faces-foreclosure/,"subscriber-inline,evanston,foreclosure,hotel market,lawsuits,suburban chicago"
https://therealdeal.com/chicago/2022/11/16/another-downtown-evanston-hotel-faces-foreclosure/,"meter,evanston,foreclosure,hotel market,lawsuits,suburban chicago"
https://therealdeal.com/chicago/2022/11/15/kbs-strikes-west-loop-lease-with-zoro-in-consolidation/,"meter,kbs,office market,west loop"
https://therealdeal.com/chicago/2022/11/15/city-grants-13-5m-for-save-a-lot-redevelopments/,"meter,grocery stores,retail,yellow banana"
https://therealdeal.com/chicago/2022/11/15/chicagoans-may-pay-more-property-taxes-due-to-commercial-assessments/,"meter,fritz kaegi,politics,property assessments"
https://therealdeal.com/chicago/2022/11/15/chicago-aldermen-thwarted-deal-killer-transfer-tax-hike/,"subscriber-inline,chicago city council,homelessness,property taxes"
https://therealdeal.com/chicago/2022/11/15/6m-glencoe-mansion-goes-under-contract-after-four-days-on-market/,"subscriber-inline,glencoe,housing market,luxury real estate,north shore,residential real estate"
https://therealdeal.com/chicago/2022/11/14/great-recession-era-lawsuits-linger-over-outer-suburbs-housing/,"subscriber-inline,great recession,housing market,land,lawsuits,suburban chicago"
https://therealdeal.com/chicago/2022/11/14/elk-grove-considers-proposals-for-former-shopping-center/,"meter,chicago suburbs,elk grove"
