,URL,Tags,URL_2,HED,DEK,ADDRESS,description_link,PUB_YEAR,geo_address,loc,point,lat,lon,altitude
0,https://therealdeal.com/chicago/2022/12/09/northwest-side-factory-turned-into-65m-after-rebuild-from-destructive-fire/,"meter,chicago,hermosa,industrial market,northwest side",https://therealdeal.com/chicago/2022/12/09/northwest-side-factory-turned-into-65m-after-rebuild-from-destructive-fire/,Northwest Side factory turned into $65M after rebuild from destructive fire,Newly Weds Foods transferred site to Charles Angell in 2002,4125 West Wrightwood Avenue,"<a href=""https://therealdeal.com/chicago/2022/12/09/northwest-side-factory-turned-into-65m-after-rebuild-from-destructive-fire/"" target=""_blank"" rel=""noopener noreferrer"">A $65 million real</a> estate deal has risen from the ashes of a 2019 fire that destroyed a Northwest Side foods products manufacturing plant that’s since been rebuilt.",2022,"4125 West Wrightwood Avenue Chicago, IL","4125 W Wrightwood Ave, Chicago, IL 60639, USA","(41.9273659, -87.73049789999999, 0.0)",41.9273659,-87.73049789999999,0.0
1,https://therealdeal.com/chicago/2022/12/09/herro-looks-set-to-relist-palmolive-building-condo-with-2m-trim/,"meter,gold coast,housing market,luxury real estate,palmolive building,residential real estate",https://therealdeal.com/chicago/2022/12/09/herro-looks-set-to-relist-palmolive-building-condo-with-2m-trim/,Herro looks set to relist Palmolive Building condo with $2M trim,31st floor of historic building on Mag Mile had star turn in Elle Decor,159 E Walton Place,"<a href=""https://therealdeal.com/chicago/2022/12/09/herro-looks-set-to-relist-palmolive-building-condo-with-2m-trim/"" target=""_blank"" rel=""noopener noreferrer"">A condo in a famous</a> Magnificent Mile building looks set to return to the market soon with a $2 million price cut.",2022,"159 E Walton Place Chicago, IL","159 E Walton Pl, Chicago, IL 60611, USA","(41.8997872, -87.6234987, 0.0)",41.8997872,-87.6234987,0.0
2,https://therealdeal.com/chicago/2022/12/09/arlington-heights-condos-deconverted-for-10m/,"meter,arlington heights,condo deconversions,condo market,multifamily market,suburban chicago",https://therealdeal.com/chicago/2022/12/09/arlington-heights-condos-deconverted-for-10m/,Arlington Heights condos deconverted for $10M,Interra Realty brokered deal representing both sellers and buyer,1 North Chestnut Avenue,"<a href=""https://therealdeal.com/chicago/2022/12/09/arlington-heights-condos-deconverted-for-10m/"" target=""_blank"" rel=""noopener noreferrer"">Arlington Heights is</a> losing more owner-occupied condos to investors who have turned them into rentals.",2022,"1 North Chestnut Avenue Chicago, IL","Chicago, IL, USA","(41.8781136, -87.6297982, 0.0)",41.8781136,-87.6297982,0.0
3,https://therealdeal.com/chicago/2022/12/08/t2-starts-teardown-of-mount-prospect-fire-police-building-for-six-story-project/,"meter,mount prospect,multifamily market,suburban chicago,t2",https://therealdeal.com/chicago/2022/12/08/t2-starts-teardown-of-mount-prospect-fire-police-building-for-six-story-project/,"T2 starts teardown of Mount Prospect fire, police building for six-story project",Wheaton-based developer plans 88 units for suburb’s downtown,112 East Northwest Highway,"<a href=""https://therealdeal.com/chicago/2022/12/08/t2-starts-teardown-of-mount-prospect-fire-police-building-for-six-story-project/"" target=""_blank"" rel=""noopener noreferrer"">Multifamily</a> investors have taken notice of northwest suburban Mount Prospect’s welcoming reception to new downtown development, and Jeff Brown’s firm is the latest to oblige.",2022,"112 East Northwest Highway Chicago, IL","112 E Northwest Hwy, Des Plaines, IL 60016, USA","(42.0558293, -87.91948269999999, 0.0)",42.0558293,-87.91948269999999,0.0
4,https://therealdeal.com/chicago/2022/12/08/glenview-complex-sells-for-discount-in-rare-multifamily-loss/,"meter,fortress investment group,multifamily market,suburban chicago",https://therealdeal.com/chicago/2022/12/08/glenview-complex-sells-for-discount-in-rare-multifamily-loss/,Glenview complex sells for discount in rare multifamily loss,BJB Properties bought the 425-unit complex for $67.2M,4300 West Lake Avenue,"<a href=""https://therealdeal.com/chicago/2022/12/08/glenview-complex-sells-for-discount-in-rare-multifamily-loss/"" target=""_blank"" rel=""noopener noreferrer"">After wrangling a</a> Glenview apartment complex from its previous owner, Fortress Investment Group sold the property for less than its last trade in a rare loss in value for a suburban multifamily asset.",2022,"4300 West Lake Avenue Chicago, IL","4300 W Lake St, Chicago, IL 60624, USA","(41.88628509999999, -87.7338357, 0.0)",41.88628509999999,-87.7338357,0.0
5,https://therealdeal.com/chicago/2022/12/08/crescent-heights-proposes-west-loops-tallest-tower/,"meter,crescent heights,fulton market,multifamily market,west loop",https://therealdeal.com/chicago/2022/12/08/crescent-heights-proposes-west-loops-tallest-tower/,Crescent Heights proposes West Loop’s tallest tower,May Street development will yield almost 600 residential units,420 North May Street,"<a href=""https://therealdeal.com/chicago/2022/12/08/crescent-heights-proposes-west-loops-tallest-tower/"" target=""_blank"" rel=""noopener noreferrer"">Crescent Heights,</a> already the owner of the tallest apartment building in Chicago, is now aiming to claim the tallest in the city’s West Loop submarket.",2022,"420 North May Street Chicago, IL","420 N May St, Chicago, IL 60642, USA","(41.8895074, -87.65605029999999, 0.0)",41.8895074,-87.65605029999999,0.0
6,https://therealdeal.com/chicago/2022/12/07/gold-coast-listing-chops-another-1m-from-price-after-years-on-the-market/,"meter,astor street,gold coast,housing market,luxury real estate",https://therealdeal.com/chicago/2022/12/07/gold-coast-listing-chops-another-1m-from-price-after-years-on-the-market/,Gold Coast listing chops another $1M from price after years on the market,"Built in 1892, Astor Street home has been on and off the market for years",1421 N Astor St,"<a href=""https://therealdeal.com/chicago/2022/12/07/gold-coast-listing-chops-another-1m-from-price-after-years-on-the-market/"" target=""_blank"" rel=""noopener noreferrer"">A growing urge to</a> make a deal struck the owners of an Astor Street mansion in the Gold Coast that’s been for sale for years, resulting in another significant concession on the property.",2022,"1421 N Astor St Chicago, IL","1421 N Astor St, Chicago, IL 60610, USA","(41.90841409999999, -87.6272953, 0.0)",41.90841409999999,-87.6272953,0.0
7,https://therealdeal.com/chicago/2022/12/07/ex-bear-plans-calls-audible-with-motor-row-redevelopment/,"meter,chicago bears,downtown,historic real estate,motor row",https://therealdeal.com/chicago/2022/12/07/ex-bear-plans-calls-audible-with-motor-row-redevelopment/,Ex-Bear plans calls audible with Motor Row redevelopment,City rezoning fits Idonije’s vision forHudson Motor Building,2222 South Michigan Avenue,"<a href=""https://therealdeal.com/chicago/2022/12/07/ex-bear-plans-calls-audible-with-motor-row-redevelopment/"" target=""_blank"" rel=""noopener noreferrer"">A former Chicago</a> Bear has plans to make over a century-old Motor Row building.",2022,"2222 South Michigan Avenue Chicago, IL","2222 S Michigan Ave, Chicago, IL 60616, USA","(41.8521557, -87.62461239999999, 0.0)",41.8521557,-87.62461239999999,0.0
8,https://therealdeal.com/chicago/2022/12/07/emerald-empire-buys-pangeas-chicago-portfolio-in-600m-deal/,"meter,breaking,emerald empire,multifamily market,pangea properties,south side",https://therealdeal.com/chicago/2022/12/07/emerald-empire-buys-pangeas-chicago-portfolio-in-600m-deal/,Emerald Empire buys Pangea’s Chicago portfolio in $600M deal,"About 7,500 units across more than 400 properties traded",6904 South Cregier Avenue,"<a href=""https://therealdeal.com/chicago/2022/12/07/emerald-empire-buys-pangeas-chicago-portfolio-in-600m-deal/"" target=""_blank"" rel=""noopener noreferrer"">In one of the</a> biggest multifamily real estate deals in Chicago history, New York-based Emerald Empire bought the local portfolio of Pangea Properties in a sale exceeding $600 million.",2022,"6904 South Cregier Avenue Chicago, IL","6904 S Cregier Ave, Chicago, IL 60649, USA","(41.7695964, -87.5815645, 0.0)",41.7695964,-87.5815645,0.0
9,https://therealdeal.com/chicago/2022/12/07/city-frees-novak-from-stop-work-order-on-90m-portage-park-project/,"meter,novak construction,portage park,six corners",https://therealdeal.com/chicago/2022/12/07/city-frees-novak-from-stop-work-order-on-90m-portage-park-project/,City frees Novak from stop-work order on $90M Portage Park project,Novak Construction was told it had improper permitting in August,4738 West Irving Park Road,"<a href=""https://therealdeal.com/chicago/2022/12/07/city-frees-novak-from-stop-work-order-on-90m-portage-park-project/"" target=""_blank"" rel=""noopener noreferrer"">The redevelopment of</a> a former Sears in Portage Park is back on.",2022,"4738 West Irving Park Road Chicago, IL","4738 W Irving Park Rd, Chicago, IL 60641, USA","(41.95380249999999, -87.74671909999999, 0.0)",41.95380249999999,-87.74671909999999,0.0
