rank	brokerage	number_of_brokerages	total_doc_amount	
1	The Corcoran Group	4107	$8,747,602,062
2	Compass	5305	$8,618,119,752
3	Douglas Elliman	4198	$7,873,089,765
4	Brown Harris Stevens	2277	$4,106,160,401
5	Sotheby's International Realty	609	$1,678,890,482
6	SERHANT	425	$859,366,729
7	Nest Seekers	392	$520,584,790
8	Keller Williams Realty Landmark	679	$506,584,866
9	CORE	186	$493,706,961
10	Winzone Realty	497	$410,469,830																						
