rank	brokerage	number_of_brokerages	total_doc_amount	
1	The Corcoran Group	2483	$6,440,788,906
2	Douglas Elliman	2770	$6,113,184,349
3	Compass	3127	$5,883,747,139
4	Brown Harris Stevens	1796	$3,474,915,012
5	Sotheby's International Realty	546	$1,526,046,533
6	SERHANT	222	$533,124,413
7	CORE	151	$464,797,961
8	Coldwell Banker Warburg	151	$305,380,208
9	R New York	146	$203,257,510
10	Nest Seekers	111	$196,474,548																						
