,MLS#,Unique,Final Agent/Team,agent_type,TRD Notes,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,SOLD DATE,PRICE,URL,full_address,geo_address,loc,point,lat,lon,altitude
2918,11296767.0,11296767/MG Group Chicago/Listing,MG Group Chicago,Listing,Clean,Townhouse,1802 N Sedgwick St,Chicago,IL,60614.0,2/11/2022,"$890,000",https://www.redfin.com/IL/Chicago/1802-N-Sedgwick-St-60614/unit-2/home/13347119,1802 N Sedgwick St Chicago IL,1802 N Sedgwick St Chicago IL,"1802 N Sedgwick St, Chicago, IL 60614, USA","(41.9149074, -87.63898069999999, 0.0)",41.9149074,-87.63898069999999,0.0
2922,11197904.0,11197904/MG Group Chicago/Buyers,MG Group Chicago,Buyers,Clean,Parking,33 W Ontario St Unit P10-C15,Chicago,IL,60654.0,4/4/2022,"$18,000",https://www.redfin.com/IL/Chicago/33-W-Ontario-St-60654/unit-P10-C15/home/39564488,33 W Ontario St Unit P10-C15 Chicago IL,33 W Ontario St Unit P10-C15 Chicago IL,"33 W Ontario St p10 c15, Chicago, IL 60654, USA","(41.89311439999999, -87.6291864, 0.0)",41.89311439999999,-87.6291864,0.0
2924,11073773.0,11073773/MG Group Chicago/Listing,MG Group Chicago,Listing,Clean,Parking,440 N Mcclurg Ct Unit P-321,Chicago,IL,60611.0,7/23/2021,"$26,000",https://www.redfin.com/IL/Chicago/440-N-McClurg-Ct-60611/unit-P-321/home/52637803,440 N Mcclurg Ct Unit P-321 Chicago IL,440 N Mcclurg Ct Unit P-321 Chicago IL,"440 N McClurg Ct p 321, Chicago, IL 60611, USA","(41.890229, -87.61784899999999, 0.0)",41.890229,-87.61784899999999,0.0
2925,11296778.0,11296778/MG Group Chicago/Listing,MG Group Chicago,Listing,Clean,Condo/Co-op,1242 N Lake Shore Dr #26,Chicago,IL,60610.0,5/16/2022,"$910,000",https://www.redfin.com/IL/Chicago/1242-N-Lake-Shore-Dr-60610/unit-26/home/19003982,1242 N Lake Shore Dr #26 Chicago IL,1242 N Lake Shore Dr #26 Chicago IL,"1242 N Lake Shore Dr. #26, Chicago, IL 60610, USA","(41.9053146, -87.62548249999999, 0.0)",41.9053146,-87.62548249999999,0.0
2930,11066971.0,11066971/Relux International/Listing,Relux International,Listing,Clean,Multi-Family (2-4 Unit),2658 W Argyle St,Chicago,IL,60625.0,7/1/2021,"$720,000",https://www.redfin.com/IL/Chicago/2658-W-Argyle-St-60625/unit-2/home/13490582,2658 W Argyle St Chicago IL,2658 W Argyle St Chicago IL,"2658 W Argyle St, Chicago, IL 60625, USA","(41.9724138, -87.6962056, 0.0)",41.9724138,-87.6962056,0.0
2931,11391708.0,11391708/MG Group Chicago/Buyer,MG Group Chicago,Buyer,Fixed,,4750 N Magnolia AVE 3N,Chicago,IL,,,"$435,000",,4750 N Magnolia AVE 3N Chicago IL,4750 N Magnolia AVE 3N Chicago IL,"4750 N Magnolia Ave #3n, Chicago, IL 60640, USA","(41.968583, -87.661445, 0.0)",41.968583,-87.661445,0.0
2932,11379644.0,11379644/MG Group Chicago/List,MG Group Chicago,List,Fixed,,3600 N LAKE SHORE DR 2711,Chicago,IL,,,"$194,500",,3600 N LAKE SHORE DR 2711 Chicago IL,3600 N LAKE SHORE DR 2711 Chicago IL,"3600 N Lake Shore Dr. APT 2711, Chicago, IL 60613, USA","(41.9490472, -87.6442679, 0.0)",41.9490472,-87.6442679,0.0
2933,11372580.0,11372580/MG Group Chicago/List,MG Group Chicago,List,Fixed,,2007 W CHURCHILL ST 304,Chicago,IL,,,"$570,000",,2007 W CHURCHILL ST 304 Chicago IL,2007 W CHURCHILL ST 304 Chicago IL,"2007 W Churchill St APT 304, Chicago, IL 60647, USA","(41.9144896, -87.67806519999999, 0.0)",41.9144896,-87.67806519999999,0.0
2934,11372232.0,11372232/MG Group Chicago/Buyer,MG Group Chicago,Buyer,Fixed,,1001 W Madison ST 608,Chicago,IL,,,"$450,000",,1001 W Madison ST 608 Chicago IL,1001 W Madison ST 608 Chicago IL,"1001 W Madison St APT 608, Chicago, IL 60607, USA","(41.8814121, -87.6525036, 0.0)",41.8814121,-87.6525036,0.0
2935,11364674.0,11364674/MG Group Chicago/List,MG Group Chicago,List,Fixed,,5137 N LINCOLN AVE 1N,Chicago,IL,,,"$140,000",,5137 N LINCOLN AVE 1N Chicago IL,5137 N LINCOLN AVE 1N Chicago IL,"5137 N Lincoln Ave #1n, Chicago, IL 60625, USA","(41.9751373, -87.6921059, 0.0)",41.9751373,-87.6921059,0.0
2936,11363443.0,11363443/MG Group Chicago/Buyer,MG Group Chicago,Buyer,Fixed,,900 N LAKE SHORE DR 1604,Chicago,IL,,,"$290,000",,900 N LAKE SHORE DR 1604 Chicago IL,900 N LAKE SHORE DR 1604 Chicago IL,"900 N Lake Shore Dr. APT 1604, Chicago, IL 60611, USA","(41.8996853, -87.6196674, 0.0)",41.8996853,-87.6196674,0.0
2937,11360018.0,11360018/MG Group Chicago/List,MG Group Chicago,List,Fixed,,5133 N KENMORE AVE 3N,Chicago,IL,,,"$465,000",,5133 N KENMORE AVE 3N Chicago IL,5133 N KENMORE AVE 3N Chicago IL,"5133 N Kenmore Ave #3n, Chicago, IL 60640, USA","(41.9762397, -87.655965, 0.0)",41.9762397,-87.655965,0.0
2938,11353563.0,11353563/MG Group Chicago/List,MG Group Chicago,List,Fixed,,9525 S Bell AVE,Chicago,IL,,,"$478,000",,9525 S Bell AVE Chicago IL,9525 S Bell AVE Chicago IL,"9525 S Bell Ave, Chicago, IL 60643, USA","(41.7201509, -87.6781355, 0.0)",41.7201509,-87.6781355,0.0
2939,11352547.0,11352547/MG Group Chicago/List,MG Group Chicago,List,Fixed,,1445 N State PKWY 1203,Chicago,IL,,,"$229,900",,1445 N State PKWY 1203 Chicago IL,1445 N State PKWY 1203 Chicago IL,"1445 N State Pkwy APT 1203, Chicago, IL 60610, USA","(41.9092164, -87.6284196, 0.0)",41.9092164,-87.6284196,0.0
2940,11352515.0,11352515/MG Group Chicago/List,MG Group Chicago,List,Fixed,,2352 W Bloomingdale AVE 1E,Chicago,IL,,,"$432,500",,2352 W Bloomingdale AVE 1E Chicago IL,2352 W Bloomingdale AVE 1E Chicago IL,"2352 W Bloomingdale Ave #1e, Chicago, IL 60647, USA","(41.9141439, -87.68688689999999, 0.0)",41.9141439,-87.68688689999999,0.0
2941,11352475.0,11352475/MG Group Chicago/List,MG Group Chicago,List,Fixed,,2831 N Halsted ST 4N,Chicago,IL,,,"$820,000",,2831 N Halsted ST 4N Chicago IL,2831 N Halsted ST 4N Chicago IL,"2831 N Halsted St #4n, Chicago, IL 60657, USA","(41.9337407, -87.6487461, 0.0)",41.9337407,-87.6487461,0.0
2942,11352466.0,11352466/MG Group Chicago/List,MG Group Chicago,List,Fixed,,3550 N Lake Shore DR 1620,Chicago,IL,,,"$230,000",,3550 N Lake Shore DR 1620 Chicago IL,3550 N Lake Shore DR 1620 Chicago IL,"3550 N Lake Shore Dr. APT 1620, Chicago, IL 60657, USA","(41.9479739, -87.6437777, 0.0)",41.9479739,-87.6437777,0.0
2943,11350359.0,11350359/MG Group Chicago/Buyer,MG Group Chicago,Buyer,Fixed,,4024 W Cornelia AVE,Chicago,IL,,,"$618,500",,4024 W Cornelia AVE Chicago IL,4024 W Cornelia AVE Chicago IL,"4024 W Cornelia Ave, Chicago, IL 60641, USA","(41.9449677, -87.72847809999999, 0.0)",41.9449677,-87.72847809999999,0.0
