rank	brokerage	number_of_brokerages	total_doc_amount	
1	Off Market	11465	$12,823,236,224
2	The Corcoran Group	4107	$8,747,602,062
3	Compass	5305	$8,618,119,752
4	Douglas Elliman	4198	$7,873,089,765
5	Brown Harris Stevens	2277	$4,106,160,401
6	Sotheby's International Realty	609	$1,678,890,482
7	SERHANT	425	$859,366,729
8	Nest Seekers	392	$520,584,790
9	Keller Williams Realty Landmark	679	$506,584,866
10	CORE	186	$493,706,961																							
