Company name,Category,Address new HQ,"Size of new HQ, in sf",Address old HQ,"Difference in size between old and new HQ, in sf","Subleasing HQ? If yes, name of sublessor ",Date TRD wrote about HQ shift ,Link to story
Procept BioRobotics,"Office, R&D","150-160 Baytech Drive, San Jose",About 158K sf,"900 Island Drive, Redwood City",About 110K sf,No,01.06.2022,https://therealdeal.com/sanfrancisco/2022/01/06/redwood-city-robotics-company-leases-158k-sf-for-new-san-jose-hq/
Graphite Bio ,"Office, life science","233 East Grand Avenue, South San Francisco",85K sf,"201 Haskins Way, South San Francisco",66K sf,No,01.27.2022,https://therealdeal.com/sanfrancisco/2022/01/27/gene-editing-firm-signs-85k-sf-lease-to-relocate-expand-south-sf-headquarters/
Iconiq Capital,Office,"300 Mission Street, San Francisco",About 89K sf,"394 Pacific Avenue, San Francisco",About 43K sf,Yes; Autodesk. Sublease is for 9.5 years ,06.07.2022,https://therealdeal.com/sanfrancisco/2022/06/07/iconiq-capital-moves-hq-across-sfs-financial-district/
Pure Storage ,Office ,"2555 and 2565 Augustine Drive, Santa Clara",About 330K sf,"650 Castro Street, Mountain View",About 80K sf,Yes; Analog Devices. Sublease is for about 8 years,06.06.2022,https://therealdeal.com/sanfrancisco/2022/06/06/pure-storage-takes-330k-sf-in-santa-clara-sublease/
Eikon Therapeutics,"Office, life science","30 Rollins Road, Millbrae",About 285K sf ,"3929 Point Eden Way, Hayward ",About 213K sf,No,06.17.2022,https://www.businesswire.com/news/home/20220616005375/en/
Allay Therapeutics,"Office, life science","2720 Zanker Road, San Jose ",50K sf,"4040 Campbell Avenue, Menlo Park",N/A ,No,01.06.2022,https://therealdeal.com/sanfrancisco/2022/01/06/san-jose-life-science-conversion-play-lands-first-new-tenant-in-a-year/
Sephora,Office,"350 Mission Street, San Francisco ",286K sf,"525 Market Street, San Francisco",Negative 23K sf ,Yes; Salesforce ,01.14.2022,https://therealdeal.com/sanfrancisco/2022/01/14/sephora-takes-286k-sf-in-sf-citys-biggest-covid-era-office-lease/
Farella Braun + Martel,Office,"1 Bush Street, San Francisco",40K sf ,"235 Montgomery Street, San Francisco",Negative 85K sf,No ,06.06.2022,https://therealdeal.com/sanfrancisco/2022/06/06/farella-braun-martel-to-downsize-hq-in-san-francisco/
Ripple ,Office,"600 Battery Street, San Francisco",130K sf,"315 Montgomery Street, San Francisco",N/A ,No,05.03.2022,https://therealdeal.com/sanfrancisco/2022/05/03/blockchain-outfit-takes-130k-sf-near-embarcadero/
Splunk ,Office,"250 Brannan Street, San Francisco",About 100K sf,"270 Brannan Street, San Francisco",Negative 115K sf ,No ,05.09.2022,https://therealdeal.com/sanfrancisco/2022/05/09/splunk-vacates-sf-headquarters-trims-100k-sf-in-move-next-door/
23andMe,Office,"349 Oyster Point Boulevard, South San Francisco",About 65K sf,"223 North Mathilda Avenue, Sunnyvale",Negative 90K sf,No,06.10.2022,https://therealdeal.com/sanfrancisco/2022/06/10/23andme-shrinks-with-hq-move-to-south-sf/
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
